职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
设计经理/主管, 15, 3, 设计, 高端设计职位, 名传, 上海, 大专, 50, 成长型, 电子商务 · 数据服务
设计经理/主管, 14, 3, 设计, 高端设计职位, 墨齐, 深圳, 本科, 15, 成长型, 移动互联网 · 教育
设计经理/主管, 14, 3, 设计, 高端设计职位, 蓝月亮, 广州, 本科, 2000, 成熟型, 生活服务
设计经理/主管, 20, 5, 设计, 高端设计职位, 明源软件, 武汉, 大专, 500, 上市公, 移动互联网 · 企业服务
设计经理/主管, 9, 3, 设计, 高端设计职位, 对酒当歌, 深圳, 本科, 150, 成长型, 电子商务 · O2O
设计经理/主管, 16, 3, 设计, 高端设计职位, 哇噻WOW, 北京, 本科, 15, 初创型, 移动互联网
设计经理/主管, 12, 不, 设计, 高端设计职位, 领耀东方, 深圳, 学历不限, 150, 上市公, 硬件
设计经理/主管, 20, 3, 设计, 高端设计职位, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
设计经理/主管, 13, 3, 设计, 高端设计职位, 灵通传媒, 苏州, 本科, 50, 初创型, 广告营销 · 文化娱乐
设计经理/主管, 12, 3, 设计, 高端设计职位, 它它, 上海, 大专, 15, 初创型, 移动互联网 · 文化娱乐
设计经理/主管, 7, 3, 设计, 高端设计职位, 烟台网亿网络, 烟台, 学历不限, 50, 初创型, 移动互联网 · 电子商务
设计经理/主管, 12, 3, 设计, 高端设计职位, 淘德网, 佛山, 本科, 15, 初创型, 电子商务
设计经理/主管, 16, 3, 设计, 高端设计职位, 全民贷, 上海, 本科, 15, 成长型, 移动互联网 · 金融
设计经理/主管, 15, 3, 设计, 高端设计职位, 响巢看看, 深圳, 本科, 150, 成长型, 移动互联网 · 文化娱乐
设计经理/主管, 10, 不, 设计, 高端设计职位, 启之发信息科技, 杭州, 学历不限, 15, 初创型, O2O
设计经理/主管, 10, 不, 设计, 高端设计职位, 启之发信息科技, 杭州, 学历不限, 15, 初创型, O2O
设计经理/主管, 10, 不, 设计, 高端设计职位, 启之发信息科技, 杭州, 学历不限, 15, 初创型, O2O
