职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
设计总监, 22, 3, 设计, 高端设计职位, 创新谷, 深圳, 本科, 150, 初创型, 移动互联网
设计总监, 12, 3, 设计, 高端设计职位, 好唱, 重庆, 本科, 150, 成长型, 移动互联网
设计总监, 12, 3, 设计, 高端设计职位, 盛果网络, 成都, 大专, 15, 初创型, 移动互联网 · 电子商务
设计总监/主美, 20, 不, 设计, 高端设计职位, 四楼无限, 深圳, 大专, 15, 成长型, 移动互联网 · 游戏
设计总监, 13, 3, 设计, 高端设计职位, 对酒当歌, 深圳, 本科, 150, 成长型, 电子商务 · O2O
设计总监, 25, 5, 设计, 高端设计职位, 华融道, 上海, 大专, 50, 成长型, 金融
设计总监, 25, 3, 设计, 高端设计职位, 二手汇, 太原, 本科, 150, 成熟型, 移动互联网
设计总监, 37, 5, 设计, 高端设计职位, 杭州铭师堂教育科技, 杭州, 本科, 150, 成长型, 移动互联网
设计总监, 22, 5, 设计, 视觉设计, 坏男孩, 深圳, 本科, 150, 成长型, 移动互联网
设计总监, 22, 3, 设计, 高端设计职位, 华尔街见闻, 上海, 本科, 50, 成长型, 金融 · 移动互联网
设计总监, 7, 3, 设计, 高端设计职位, 深度传媒, 青岛, 大专, 150, 成长型, 移动互联网 · 文化娱乐
设计总监, 24, 不, 设计, 视觉设计, 鹏晟网络科技, 深圳, 学历不限, 15, 初创型, 移动互联网 · 生活服务
设计总监, 40, 5, 设计, 高端设计职位, 中融金, 北京, 本科, 150, 上市公, 金融
设计总监, 30, 5, 设计, 高端设计职位, 名片全能王, 上海, 本科, 150, 成长型, 移动互联网
设计总监, 32, 5, 设计, 高端设计职位, 知趣, 上海, 本科, 500, 成熟型, 移动互联网 · 电子商务
设计总监, 32, 不, 设计, 视觉设计, 广州冠鹏信息技术有限公司, 广州, 学历不限, 50, 成长型, 移动互联网
设计总监, 11, 3, 设计, 视觉设计, 正邦创意, 北京, 本科, 500, 成熟型, 移动互联网 · 广告营销
设计总监, 12, 3, 设计, 高端设计职位, 炉石游戏, 南京, 大专, 15, 初创型, 游戏 · 移动互联网
设计总监, 22, 5, 设计, 高端设计职位, 艾佳生活, 南京, 本科, 50, 初创型, 电子商务
设计总监, 13, 3, 设计, 视觉设计, 资味网, 杭州, 本科, 50, 成长型, 移动互联网 · 电子商务
设计总监, 12, 3, 设计, 高端设计职位, 氢斗士, 深圳, 学历不限, 15, 初创型, 移动互联网 · 广告营销
设计总监, 32, 5, 设计, 高端设计职位, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
设计总监, 32, 5, 设计, 高端设计职位, 行方, 上海, 本科, 15, 初创型, 移动互联网 · 企业服务
设计总监, 12, 3, 设计, 高端设计职位, 广州天橙, 桂林, 大专, 150, 成长型, 其他
设计总监, 7, 3, 设计, 高端设计职位, 懒猪理财, 西安, 大专, 15, 初创型, 移动互联网 · 金融
设计总监, 14, 5, 设计, 高端设计职位, 融贯资讯, 青岛, 大专, 150, 成长型, 电子商务 · 医疗健康
设计总监, 12, 5, 设计, 高端设计职位, 卓游科技, 广州, 本科, 15, 初创型, 移动互联网 · 游戏
设计总监, 15, 1, 设计, 视觉设计, 口袋兼职, 广州, 大专, 50, 成长型, 移动互联网 · 招聘
设计总监, 25, 5, 设计, 高端设计职位, 中融金, 北京, 本科, 150, 上市公, 金融
设计总监, 7, 1, 设计, 高端设计职位, 微通, 东莞, 本科, 15, 初创型, 移动互联网 · 电子商务
设计总监, 9, 3, 设计, 高端设计职位, 云匠科技, 大连, 本科, 15, 初创型, 移动互联网 · 企业服务
设计总监, 9, 1, 设计, 高端设计职位, 山景信息技术, 青岛, 大专, 15, 初创型, 移动互联网 · 电子商务
设计总监, 17, 3, 设计, 高端设计职位, 能良通讯技术, 上海, 本科, 150, 成长型, 电子商务
设计总监, 25, 5, 设计, 高端设计职位, 返利网, 上海, 本科, 500, 成熟型, 电子商务
设计总监, 7, 1, 设计, 高端设计职位, 三只狐狸, 上海, 本科, 15, 初创型, 广告营销 · 文化娱乐
设计总监, 10, 不, 设计, 高端设计职位, 启之发信息科技, 杭州, 学历不限, 15, 初创型, O2O
设计总监, 15, 3, 设计, 高端设计职位, 封面新闻, 成都, 本科, 150, 初创型, 移动互联网
设计总监, 15, 3, 设计, 视觉设计, 云印技术, 深圳, 本科, 50, 成长型, O2O
设计总监, 37, 5, 设计, 视觉设计, 地平线机器人, 北京, 硕士, 15, 初创型, 移动互联网 · 硬件
设计总监, 15, 3, 设计, 高端设计职位, 七月, 成都, 学历不限, 15, 初创型, 移动互联网 · 社交网络
设计总监, 12, 5, 设计, 高端设计职位, 优纳文创, 杭州, 本科, 15, 初创型, 广告营销
设计总监, 22, 1, 设计, 高端设计职位, 杭州至美, 杭州, 大专, 50, 初创型, 电子商务
设计总监, 10, 不, 设计, 高端设计职位, 启之发信息科技, 杭州, 学历不限, 15, 初创型, O2O
设计总监, 4, 3, 设计, 视觉设计, 众美, 成都, 本科, 15, 初创型, 移动互联网 · 教育
设计总监, 22, 5, 设计, 高端设计职位, 超控, 重庆, 大专, 50, 初创型, 移动互联网 · O2O
设计总监, 15, 5, 设计, 高端设计职位, 药房网商城, 上海, 本科, 15, 初创型, 电子商务 · 医疗健康
设计总监, 20, 3, 设计, 高端设计职位, 点读科技, 杭州, 本科, 50, 成长型, 移动互联网 · 电子商务
设计总监, 15, 1, 设计, 视觉设计, 鹭会, 厦门, 本科, 15, 初创型, O2O · 医疗健康
设计总监, 12, 3, 设计, 高端设计职位, 广州天橙, 南京, 大专, 150, 成长型, 其他
设计总监, 9, 3, 设计, 高端设计职位, 湖北远成, 武汉, 本科, 500, 初创型, 电子商务 · 广告营销
设计总监, 11, 3, 设计, 高端设计职位, 长春吉原生物, 深圳, 本科, 50, 成长型, 医疗健康
设计总监, 27, 5, 设计, 视觉设计, 返利网, 上海, 本科, 500, 成熟型, 电子商务
设计总监, 12, 3, 设计, 高端设计职位, Fun+, 深圳, 大专, 50, 初创型, 移动互联网
设计总监, 13, 3, 设计, 高端设计职位, 逐极设计, 上海, 本科, 15, 初创型, 移动互联网
设计总监, 10, 3, 设计, 高端设计职位, 锦云&middot;月光宝盒, 深圳, 大专, 50, 初创型, 移动互联网 · 电子商务
设计总监, 22, 5, 设计, 高端设计职位, 电鳗互动传媒, 上海, 本科, 15, 初创型, 移动互联网 · 广告营销
设计总监, 22, 3, 设计, 交互设计, 嘟云科技, 杭州, 本科, 15, 初创型, 移动互联网 · 教育
设计总监, 20, 3, 设计, 高端设计职位, 宅米, 上海, 本科, 500, 成长型, O2O
设计总监, 30, 10年以, 设计, 高端设计职位, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
设计总监, 22, 5, 设计, 高端设计职位, 药房网商城, 上海, 本科, 15, 初创型, 电子商务 · 医疗健康
设计总监, 17, 5, 设计, 高端设计职位, 奥狮数位, 上海, 本科, 50, 成长型, 移动互联网 · 广告营销
设计总监, 29, 3, 设计, 高端设计职位, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
设计总监, 27, 5, 设计, 高端设计职位, 同程旅游, 苏州, 本科, 2000, 成熟型, 移动互联网 · 旅游
设计总监, 14, 5, 设计, 高端设计职位, 安讯科技, 南京, 本科, 150, 成长型, 移动互联网 · 金融
设计总监, 37, 3, 技术, 前端开发, 平安行, 上海, 本科, 500, 成熟型, 移动互联网 · 电子商务
设计总监, 9, 3, 设计, 高端设计职位, 远城科技, 武汉, 本科, 500, 初创型, 其他
设计总监, 11, 1, 设计, 高端设计职位, 暴风TV, 深圳, 本科, 150, 成长型, 移动互联网 · 硬件
设计总监, 18, 5, 设计, 高端设计职位, iTrip爱去自由(原澳乐网）, 成都, 本科, 150, 成长型, 旅游
设计总监, 11, 5, 设计, 高端设计职位, 小川科技, 杭州, 本科, 15, 初创型, 移动互联网
设计总监, 37, 3, 技术, 前端开发, 唯为, 上海, 本科, 500, 成熟型, 电子商务 · O2O
设计总监, 9, 3, 设计, 高端设计职位, 蓝图传播, 青岛, 学历不限, 15, 初创型, 企业服务 · 广告营销
设计总监, 22, 5, 设计, 高端设计职位, 艺术网, 上海, 大专, 150, 初创型, 移动互联网
设计总监, 30, 5, 设计, 高端设计职位, 返利网, 上海, 本科, 500, 成熟型, 电子商务
设计总监, 9, 1, 设计, 高端设计职位, 团贷网, 东莞, 大专, 500, 成长型, 金融
设计总监, 7, 3, 设计, 高端设计职位, 中物华商, 合肥, 大专, 150, 上市公, 移动互联网 · O2O
