职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
用户研究经理, 30, 3, 产品, 产品经理, 探探, 北京, 本科, 150, 成长型, 移动互联网 · 文化娱乐
用户研究经理/主管, 12, 1, 设计, 高端设计职位, 千里马招标网, 北京, 大专, 150, 成长型, 电子商务 · 企业服务
用户研究经理/主管, 18, 1, 设计, 高端设计职位, 人人行, 北京, 本科, 500, 成熟型, 移动互联网 · 金融
用户研究经理/主管, 11, 1, 设计, 高端设计职位, ickey, 上海, 本科, 150, 成长型, 电子商务
用户研究总监, 72, 5, 设计, 高端设计职位, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
用户研究总监, 23, 5, 设计, 高端设计职位, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
用户研究主管, 9, 3, 设计, 用户研究, 猪八戒网, 重庆, 本科, 500, 成熟型, 电子商务 · 生活服务
用户研究经理, 22, 5, 市场与销售, 市场/营销, 分期乐, 深圳, 本科, 500, 成熟型, 移动互联网
用户研究总监, 75, 5, 设计, 高端设计职位, 青岛智维, 青岛, 本科, 15, 初创型, 招聘
用户研究主管, 25, 不, 运营, 运营, 搜狐媒体, 北京, 本科, 2000, 上市公, 移动互联网 · 广告营销
用户研究总监, 17, 1, 设计, 高端设计职位, 唯奥设计, 深圳, 大专, 15, 初创型, 移动互联网
用户研究经理, 17, 3, 设计, 用户研究, 相宜本草, 上海, 大专, 2000, 成熟型, 电子商务
用户研究经理/主管, 20, 3, 设计, 高端设计职位, 北京紫马财行投资管理有限公司, 北京, 本科, 150, 成长型, 金融
高级用户研究经理, 17, 5, 市场与销售, 市场/营销, 腾讯, 深圳, 本科, 2000, 上市公, 移动互联网  · 游戏
呼叫中心主管/经理, 9, 1, 运营, 客服, 人人行, 石家庄, 学历不限, 500, 成熟型, 移动互联网 · 金融
用户研究总监, 20, 5, 设计, 用户研究, MassThinker, 上海, 学历不限, 15, 初创型, 移动互联网 · 企业服务
开发总监, 40, 5, 技术, 后端开发, 超客网络, 北京, 本科, 500, 成熟型, 社交网络
用研主管, 15, 3, 设计, 用户研究, 东软集团, 成都, 大专, 2000, 上市公, 金融
用户研究经理, 27, 5, 设计, 用户研究, 找钢网, 上海, 本科, 500, 成熟型, 电子商务
呼叫中心主管/经理, 11, 3, 运营, 客服, 人人行, 北京, 本科, 500, 成熟型, 移动互联网 · 金融
淘宝客服主管, 6, 1, 运营, 运营, 百词斩, 成都, 本科, 50, 成长型, 移动互联网 · 教育
供应链经理/总监, 11, 5, 市场与销售, 供应链, 3W Coffee, 深圳, 大专, 15, 成长型, 移动互联网 · 招聘
运维开发经理, 27, 5, 技术, 运维, OPPO, 深圳, 本科, 2000, 成熟型, 移动互联网
客户总监, 30, 5, 产品, 高端产品职位, 麦子金服, 上海, 本科, 150, 成长型, 移动互联网 · 金融
产品总监, 30, 5, 产品, 高端产品职位, 天会皓闻, 上海, 本科, 50, 成长型, 移动互联网
产品总监, 32, 5, 产品, 高端产品职位, 天会皓闻, 上海, 本科, 50, 成长型, 移动互联网
绩效考核主管 \ 经理, 13, 3, 职能, 人力资源, 房多多, 上海, 本科, 2000, 成熟型, 移动互联网 · O2O
营运总监, 22, 10年以, 运营, 高端运营职位, 3W Coffee, 深圳, 本科, 15, 成长型, 移动互联网 · 招聘
移动开发总监, 25, 3, 技术, 高端技术职位, 西瓜理财, 上海, 本科, 15, 初创型, 移动互联网 · 金融
总监助理, 4, 不, 职能, 行政, 掌维科技, 杭州, 大专, 15, 初创型, 移动互联网 · 文化娱乐
招聘主管/经理, 9, 3, 职能, 人力资源, 天会皓闻, 上海, 大专, 50, 成长型, 移动互联网
资深经理, 20, 5, 市场与销售, 市场/营销, 灵犀金融, 杭州, 本科, 150, 上市公, 移动互联网 · 金融
业务总监, 22, 3, 金融, 高端金融职位, 国信泰九, 深圳, 本科, 500, 初创型, 金融
投资经理, 15, 1, 金融, 投融资, 风车金融, 深圳, 本科, 15, 初创型, 移动互联网
产品总监, 40, 3, 产品, 高端产品职位, 爱屋吉屋, 上海, 本科, 2000, 成熟型, 移动互联网
业务总监, 13, 3, 市场与销售, 销售, 汇能基金, 深圳, 大专, 150, 成长型, 金融
广告客户主管/经理, 8, 3, 市场与销售, 市场/营销, eDoctor, 上海, 大专, 150, 成长型, 医疗健康 · 广告营销
用户研究经理/主管, 11, 3, 设计, 高端设计职位, 芭田集团, 深圳, 大专, 2000, 上市公, 企业服务
产品总监, 30, 3, 产品, 高端产品职位, 脸脸, 杭州, 本科, 50, 成长型, 移动互联网 · O2O
内容主管/经理, 12, 5, 运营, 编辑, 点乐, 北京, 大专, 150, 成长型, 移动互联网 · 广告营销
技术经理/主管, 22, 不, 技术, 高端技术职位, 逑美科技(上海), 上海, 本科, 500, 成熟型, 移动互联网
项目总监（银行项目）, 20, 5, 技术, 高端技术职位, 中科汇联, 北京, 本科, 150, 成长型, 企业服务
总监助理, 3, 1, 职能, 行政, 普马克, 南京, 大专, 150, 初创型, 移动互联网 · 电子商务
大客户总监/经理, 7, 3, 市场与销售, 销售, Testin云测, 北京, 学历不限, 150, 成长型, 移动互联网
媒介主管, 15, 3, 市场与销售, 公关, 风车金融, 深圳, 本科, 15, 初创型, 移动互联网
媒介经理, 15, 3, 市场与销售, 公关, 风车金融, 深圳, 本科, 15, 初创型, 移动互联网
培训主管, 12, 3, 职能, 人力资源, ickey, 上海, 本科, 150, 成长型, 电子商务
绩效经理, 17, 5, 职能, 人力资源, 人人行, 北京, 本科, 500, 成熟型, 移动互联网 · 金融
营运总监, 15, 5, 市场与销售, 供应链, 罗计物流, 北京, 本科, 150, 成熟型, 移动互联网 · O2O
内容审核经理/主管, 11, 3, 运营, 客服, 人人行, 北京, 本科, 500, 成熟型, 移动互联网 · 金融
招商经理, 15, 5, 市场与销售, 采购, 卖客疯APP（宝尊电商旗下，纳斯达克上市公司）, 上海, 学历不限, 500, 上市公, 移动互联网 · 电子商务
客户主管/经理, 11, 3, 市场与销售, 市场/营销, 领先贷, 上海, 大专, 150, 初创型, 金融
高级策划经理/主管, 15, 5, 运营, 运营, 聚贸, 杭州, 大专, 150, 成长型, 金融 · 电子商务
组织发展主管, 6, 1, 职能, 人力资源, 千里马招标网, 北京, 大专, 150, 成长型, 电子商务 · 企业服务
薪酬主管, 6, 1, 职能, 人力资源, EZbuy, 上海, 本科, 150, 成长型, 电子商务 · 生活服务
产品总监, 12, 3, 产品, 产品经理, 一准网, 上海, 本科, 15, 初创型, 电子商务 · 分类信息
薪酬经理, 10, 3, 职能, 人力资源, EZbuy, 上海, 本科, 150, 成长型, 电子商务 · 生活服务
薪资福利经理, 12, 3, 职能, 人力资源, 爱屋吉屋, 上海, 本科, 2000, 成熟型, 移动互联网
测试主管/经理(西安), 20, 5, 技术, 测试, 数云, 西安, 本科, 150, 成长型, 企业服务 · 数据服务
技术经理, 40, 3, 技术, 高端技术职位, 千里马招标网, 北京, 大专, 150, 成长型, 电子商务 · 企业服务
产品主管/经理, 12, 1, 产品, 产品经理, 好实再商贸（深圳）有限公司, 深圳, 大专, 150, 成长型, 电子商务 · O2O
项目总监, 21, 3, 技术, 项目管理, ideabinder, 北京, 本科, 50, 初创型, 移动互联网 · 企业服务
采购总监, 15, 5, 市场与销售, 采购, 如涵电商, 杭州, 大专, 500, 成长型, 电子商务
仓库主管, 5, 不, 市场与销售, 供应链, 礼物说, 北京, 学历不限, 50, 成长型, 移动互联网 · 电子商务
媒介经理, 11, 3, 市场与销售, 公关, DataEye, 北京, 本科, 50, 成长型, 移动互联网 · 游戏
招商经理, 9, 1, 市场与销售, 销售, 智富金融, 上海, 大专, 2000, 成熟型, 金融
会计经理, 20, 10年以, 职能, 财务, 汇通天下, 北京, 本科, 500, 成熟型, 移动互联网 · 数据服务
员工关系主管/经理, 7, 1, 职能, 人力资源, 南极人, 上海, 大专, 150, 上市公, 电子商务 · O2O
销售主管/总监, 22, 3, 市场与销售, 销售, 麦子金服, 上海, 本科, 150, 成长型, 移动互联网 · 金融
大客户经理, 7, 1, 市场与销售, 销售, 中科汇联, 济南, 本科, 150, 成长型, 企业服务
赛事执行经理/总监, 12, 3, 市场与销售, 市场/营销, 大象科技, 广州, 大专, 50, 成长型, 移动互联网
社区产品总监, 30, 5, 产品, 高端产品职位, 明源云客, 深圳, 本科, 2000, 上市公, 移动互联网 · 企业服务
测试主管, 20, 5, 技术, 高端技术职位, ickey, 上海, 大专, 150, 成长型, 电子商务
投资总监/高级经理, 25, 3, 金融, 高端金融职位, 创意板, 广州, 本科, 15, 成长型, 移动互联网 · 金融
招商经理, 9, 3, 市场与销售, 市场/营销, 大象科技, 广州, 大专, 50, 成长型, 移动互联网
供应链总监, 22, 10年以, 市场与销售, 供应链, 3W Coffee, 深圳, 大专, 15, 成长型, 移动互联网 · 招聘
主管会计, 9, 5, 职能, 财务, 点乐, 北京, 大专, 150, 成长型, 移动互联网 · 广告营销
采购主管/经理, 15, 1, 市场与销售, 采购, 路路由, 上海, 大专, 150, 成长型, 移动互联网 · O2O
培训主管, 7, 1, 职能, 人力资源, 华邦股份, 深圳, 大专, 150, 初创型, 移动互联网 · 数据服务
运营主管/经理, 8, 3, 运营, 运营, 易积电器, 广州, 本科, 150, 成熟型, 移动互联网 · 电子商务
大客户经理, 6, 3, 市场与销售, 销售, 3W Coffee, 北京, 大专, 15, 成长型, 移动互联网 · 招聘
移动云—用户研究经理, 21, 3, 设计, 用户研究, 迅雷, 深圳, 本科, 500, 上市公, 移动互联网
行政主管/经理, 6, 3, 职能, 行政, 中大凯旋, 广州, 大专, 50, 成长型, 电子商务
薪酬主管, 10, 3, 职能, 人力资源, 卖客疯APP（宝尊电商旗下，纳斯达克上市公司）, 上海, 本科, 500, 上市公, 移动互联网 · 电子商务
策划专员/主管/经理, 12, 3, 市场与销售, 市场/营销, 巨涟金融, 上海, 本科, 50, 成长型, 金融
编辑主管, 5, 3, 运营, 编辑, 康泽药业, 广州, 学历不限, 500, 上市公, 电子商务 · 其他
MIG05-高级用户研究经理（深圳）, 23, 3, 市场与销售, 市场/营销, 腾讯, 深圳, 本科, 2000, 上市公, 移动互联网  · 游戏
大客户经理, 7, 3, 市场与销售, 销售, 中科汇联, 上海, 本科, 150, 成长型, 企业服务
产品总监, 25, 3, 产品, 高端产品职位, 知藏, 北京, 本科, 15, 成长型, 移动互联网
产品总监, 27, 5, 产品, 产品经理, 西瓜理财, 上海, 本科, 15, 初创型, 移动互联网 · 金融
客服总监, 15, 3, 运营, 客服, 盟大集团, 东莞, 本科, 150, 成熟型, 移动互联网 · 电子商务
品牌公关经理, 15, 3, 市场与销售, 公关, 天会皓闻, 上海, 本科, 50, 成长型, 移动互联网
