职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
硬件交互设计师, 11, 1, 设计, 交互设计, 联想利泰, 北京, 大专, 500, 初创型, 移动互联网 · 招聘
硬件交互设计师, 4, 1, 设计, 交互设计, 安信思拓, 北京, 大专, 15, 初创型, 硬件
硬件交互设计师, 1, 不, 设计, 交互设计, BiBang Tech, 西安, 学历不限, 15, 初创型, 数据服务 · 硬件
硬件交互设计师, 20, 3, 设计, 交互设计, 海尔, 青岛, 本科, 2000, 上市公, 电子商务 · 其他
设计, 15, 5, 设计, 交互设计, 智慧芽, 苏州, 本科, 150, 成长型, 移动互联网
硬件交互设计师, 40, 不, 设计, 交互设计, 思创科技, 北京, 本科, 15, 初创型, 电子商务
空间设计师, 15, 3, 设计, 视觉设计, OPPO, 深圳, 本科, 2000, 成熟型, 移动互联网
高级设计师, 10, 1, 设计, 高端设计职位, 挖豆app, 厦门, 本科, 15, 成长型, 移动互联网
设计Leader, 22, 3, 设计, 高端设计职位, 创新谷, 深圳, 学历不限, 150, 初创型, 移动互联网
设计师, 15, 1, 设计, 视觉设计, 房多多, 上海, 本科, 2000, 成熟型, 移动互联网  · 电子商务
高级设计师, 22, 3, 设计, 视觉设计, 房多多, 上海, 本科, 2000, 成熟型, 移动互联网  · 电子商务
安防规划设计师, 17, 5, 设计, 高端设计职位, 大横琴科技, 珠海, 本科, 50, 成长型, 企业服务 · 数据服务
人像设计师, 5, 不, 设计, 视觉设计, 落地创意, 武汉, 大专, 150, 成长型, 电子商务 · 数据服务
设计师, 4, 不, 设计, 高端设计职位, 物联传感, 深圳, 大专, 500, 成长型, 电子商务 · 硬件
资深设计师（电商）, 7, 3, 设计, 视觉设计, 易积电器, 广州, 大专, 150, 成熟型, 移动互联网 · 电子商务
高级设计师, 6, 3, 设计, 高端设计职位, 西安际宇星, 西安, 学历不限, 15, 初创型, 移动互联网
高级设计师, 20, 3, 设计, 高端设计职位, 一号货车, 上海, 大专, 500, 成长型, 移动互联网 · O2O
食品包装设计师, 11, 3, 设计, 视觉设计, 两鲜, 上海, 大专, 150, 成长型, 电子商务
设计师, 6, 3, 设计, 视觉设计, 233网校, 长沙, 大专, 150, 初创型, 移动互联网 · 教育
高级设计师, 10, 1, 设计, 视觉设计, 心宝一百, 北京, 大专, 50, 成长型, 电子商务
主设计师, 15, 3, 设计, 视觉设计, Voyageone, 上海, 本科, 150, 成长型, 电子商务
设计师助理（动画）, 2, 应届毕业, 设计, 视觉设计, 墨齐, 深圳, 本科, 15, 成长型, 移动互联网 · 教育
高级设计师, 14, 5, 设计, 视觉设计, 维拓利亚, 深圳, 本科, 15, 初创型, 数据服务 · 其他
AE设计师, 11, 1, 设计, 视觉设计, 泛微, 上海, 大专, 500, 成熟型, 移动互联网 · 企业服务
资深设计师, 7, 3, 设计, 视觉设计, 星爵互动, 合肥, 本科, 15, 初创型, 移动互联网
旅行设计师（欧洲）, 12, 不, 运营, 编辑, 指南猫, 上海, 学历不限, 15, 成长型, 移动互联网 · 旅游
旅行设计师（北美）, 11, 不, 运营, 编辑, 指南猫, 上海, 学历不限, 15, 成长型, 移动互联网 · 旅游
习题设计师, 11, 3, 运营, 编辑, 洋葱数学, 北京, 本科, 50, 成长型, 移动互联网 · 教育
包装设计师, 6, 5, 设计, 视觉设计, 宠宠熊, 上海, 大专, 150, 成长型, 电子商务
主设计师（平面设计师）, 15, 3, 产品, 高端产品职位, Voyageone, 上海, 本科, 150, 成长型, 电子商务
旅行设计师（日本）, 12, 不, 运营, 编辑, 指南猫, 上海, 学历不限, 15, 成长型, 移动互联网 · 旅游
设计师, 7, 3, 设计, 视觉设计, 大骏文化, 上海, 大专, 50, 上市公, 文化娱乐
资深网站设计师, 11, 1, 产品, 产品设计师, 两鲜, 上海, 大专, 150, 成长型, 电子商务
旅行设计师（东南亚）, 12, 不, 运营, 编辑, 指南猫, 上海, 学历不限, 15, 成长型, 移动互联网 · 旅游
高级设计师, 12, 1, 设计, 视觉设计, 师徒部落, 广州, 大专, 50, 初创型, 移动互联网 · 社交网络
动态设计师, 15, 1, 设计, 视觉设计, 妙计旅行, 北京, 本科, 50, 成长型, 旅游
运营设计师, 30, 3, 设计, 视觉设计, 房多多, 上海, 本科, 2000, 成熟型, 移动互联网 · O2O
美术编辑设计师（AI）, 7, 1, 设计, 视觉设计, POP时尚网络机构, 上海, 大专, 500, 成长型, 移动互联网 · 电子商务
图文编辑设计师, 6, 1, 运营, 编辑, 蓝月亮, 广州, 大专, 2000, 成熟型, 生活服务
特效设计师, 9, 1, 设计, 视觉设计, 多拍科技, 深圳, 学历不限, 15, 初创型, 移动互联网 · 社交网络
助理设计师, 9, 3, 产品, 产品设计师, 招商自贸商城, 深圳, 本科, 2000, 成熟型, 电子商务 · O2O
资深设计师, 8, 3, 设计, 视觉设计, 引导美, 深圳, 大专, 150, 初创型, 移动互联网 · 电子商务
三维设计师, 5, 1, 设计, 视觉设计, 易家纺, 杭州, 大专, 15, 初创型, 电子商务
高级设计师, 11, 1, 设计, 高端设计职位, 招商自贸商城, 深圳, 本科, 2000, 成熟型, 电子商务 · O2O
高级设计师, 19, 3, 设计, 视觉设计, 威阔（Trustlook）, 杭州, 本科, 15, 初创型, 移动互联网
包装设计师, 12, 不, 设计, 视觉设计, 吃饭儿, 北京, 本科, 150, 成长型, 电子商务 · 企业服务
资深设计师, 11, 3, 设计, 视觉设计, 星密码集团, 成都, 本科, 150, 成长型, 移动互联网 · 电子商务
眼镜设计师, 14, 1, 设计, 视觉设计, 明月眼镜, 上海, 本科, 500, 成长型, O2O · 医疗健康
设计师, 6, 1, 设计, 视觉设计, 御泥坊, 长沙, 大专, 500, 成长型, 电子商务
时尚设计师, 17, 3, 设计, 高端设计职位, Tapole, 深圳, 学历不限, 15, 初创型, 电子商务 · O2O
淘宝天猫设计师, 11, 3, 设计, 视觉设计, 正邦创意, 上海, 大专, 500, 成熟型, 移动互联网 · 广告营销
设计师, 12, 3, 设计, 高端设计职位, 亿瞻健康, 上海, 本科, 15, 初创型, 移动互联网 · 医疗健康
视频设计师, 12, 不, 设计, 视觉设计, TP-LINK, 深圳, 本科, 2000, 成熟型, 硬件
设计师, 4, 不, 设计, 视觉设计, AltaMob, 郑州, 学历不限, 15, 初创型, 移动互联网
空间设计师, 5, 不, 设计, 视觉设计, 课外喵, 广州, 大专, 50, 成长型, O2O · 教育
资深设计师, 12, 3, 设计, 视觉设计, 金时堂科技, 深圳, 大专, 50, 成长型, 电子商务 · 社交网络
插画设计师（动画/道具）, 11, 不, 设计, 视觉设计, MiLook, 上海, 学历不限, 15, 初创型, 移动互联网 · 文化娱乐
空间设计师, 7, 1, 设计, 视觉设计, TT快车, 深圳, 大专, 150, 成长型, 移动互联网 · O2O
资深运营设计师, 22, 3, 设计, 视觉设计, 房多多, 上海, 本科, 2000, 成熟型, 移动互联网 · O2O
外包装设计师, 7, 1, 设计, 视觉设计, 十月妈咪, 上海, 本科, 500, 成长型, 电子商务
插画设计师, 8, 1, 设计, 视觉设计, 善金科技, 合肥, 大专, 150, 初创型, 移动互联网 · O2O
资深互动设计师, 7, 1, 设计, 视觉设计, 扬悦博众, 广州, 本科, 50, 初创型, 移动互联网 · 企业服务
资深设计师（互动／平面）, 6, 3, 设计, 视觉设计, 华扬联众数字技术股份有限公司, 长沙, 大专, 2000, 成熟型, 移动互联网 · 广告营销
高级设计师, 6, 1年以, 设计, 视觉设计, 威阔（Trustlook）, 杭州, 本科, 15, 初创型, 移动互联网
UX设计师, 13, 5, 设计, 视觉设计, 旺旺集团火热招聘, 上海, 大专, 2000, 成熟型, 电子商务 · 社交网络
UE设计师, 22, 3, 设计, 交互设计, 云鸟科技, 北京, 本科, 150, 成长型, 移动互联网 · O2O
资深电商设计师, 20, 5, 设计, 视觉设计, 正邦创意, 上海, 大专, 500, 成熟型, 移动互联网 · 广告营销
GUI设计师, 6, 1, 设计, 视觉设计, 启云软件, 合肥, 大专, 50, 初创型, 移动互联网
UI 设计师, 15, 1, 设计, 视觉设计, Dingtone, 杭州, 本科, 50, 成熟型, 移动互联网 · 社交网络
游戏动作设计师, 12, 3, 设计, 视觉设计, 七月科技, 杭州, 大专, 15, 初创型, 游戏
