职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
用户研究员, 15, 1, 设计, 用户研究, 人人行, 北京, 本科, 500, 成熟型, 移动互联网 · 金融
用户研究员, 19, 3, 设计, 用户研究, 卡咪网络, 杭州, 本科, 50, 成长型, 移动互联网
用户研究员, 12, 1, 设计, 用户研究, 卡咪网络, 杭州, 本科, 50, 成长型, 移动互联网
用户研究员, 15, 1, 设计, 用户研究, 卡车之家, 北京, 本科, 150, 成长型, 移动互联网
用户研究员, 20, 3, 设计, 用户研究, GET, 北京, 本科, 50, 成长型, 移动互联网 · O2O
用户研究员/数据分析师, 15, 1, 产品, 产品经理, 信壹网络, 深圳, 本科, 50, 成熟型, 移动互联网
用户研究员, 18, 5, 设计, 用户研究, DEEP深度沟通, 深圳, 本科, 50, 成长型, 企业服务
用户研究员, 7, 1, 设计, 用户研究, 美柚, 厦门, 本科, 150, 成熟型, 移动互联网
用户研究员（实习生）, 1, 不, 设计, 用户研究, 大白, 杭州, 学历不限, 15, 初创型, 移动互联网 · O2O
用户研究员, 4, 不, 设计, 用户研究, 导领科技, 杭州, 本科, 15, 成长型, 移动互联网 · 教育
用户研究员, 15, 1, 设计, 用户研究, 一起作业网, 北京, 本科, 150, 成熟型, 移动互联网 · 教育
用户研究员, 9, 3, 设计, 用户研究, 伊飒尔, 深圳, 本科, 50, 成长型, 移动互联网
用户研究员, 8, 3, 设计, 用户研究, 创维研发总部, 深圳, 本科, 2000, 上市公, 硬件
用户研究员, 1, 不, 设计, 用户研究, ViewsTap, 宁波, 大专, 15, 初创型, 数据服务
用户研究员, 9, 3, 设计, 用户研究, 伊飒尔, 佛山, 本科, 50, 成长型, 移动互联网
用户研究员, 5, 不, 设计, 用户研究, 伊飒尔, 广州, 本科, 50, 成长型, 移动互联网
用户研究员, 12, 1, 设计, 用户研究, 银创科技, 北京, 本科, 150, 初创型, 金融
用户研究员, 16, 3, 设计, 用户研究, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
用户研究员, 12, 1, 设计, 用户研究, 步步高教育电子有限公司, 东莞, 本科, 500, 成熟型, 教育
用户研究员, 6, 1, 设计, 用户研究, 拉维斯, 福州, 大专, 50, 成长型, 移动互联网 · 文化娱乐
用户研究员, 9, 1, 设计, 用户研究, 虎鱼网络, 广州, 本科, 15, 初创型, 移动互联网 · 数据服务
用户研究员, 7, 不, 设计, 用户研究, 众融普惠, 北京, 本科, 15, 初创型, 金融 · 企业服务
高级用户研究员, 27, 3, 设计, 用户研究, 沪江, 上海, 本科, 500, 成熟型, 移动互联网 · 教育
用户研究员, 16, 5, 设计, 用户研究, 日立咨询中国研发中心, 深圳, 大专, 150, 成长型, 移动互联网 · 企业服务
用户研究员, 22, 3, 设计, 用户研究, e调研, 北京, 硕士, 15, 初创型, 移动互联网 · 数据服务
用户研究员, 7, 1, 设计, 用户研究, 同程旅游, 苏州, 大专, 2000, 成熟型, 移动互联网 · 旅游
用户研究员, 12, 3, 设计, 用户研究, 创维, 天津, 本科, 150, 初创型, 移动互联网 · O2O
用户研究员, 5, 应届毕业, 设计, 用户研究, 京东金融, 北京, 本科, 2000, 上市公, 金融
用户研究员, 14, 3, 设计, 用户研究, 好买车, 上海, 本科, 15, 成长型, 电子商务 · O2O
用户研究员, 11, 1, 设计, 用户研究, 跨界科技, 深圳, 本科, 50, 成长型, 移动互联网 · 金融
用户研究员, 11, 1, 设计, 用户研究, 管客365, 广州, 大专, 15, 初创型, 电子商务
用户研究员, 15, 3, 设计, 用户研究, 宝宝树, 北京, 本科, 500, 成熟型, 社交网络
用户研究员, 30, 3, 设计, 用户研究, 广联达, 北京, 学历不限, 2000, 上市公, 数据服务
用户研究员, 18, 1, 设计, 用户研究, 京东商城, 北京, 本科, 2000, 上市公, 电子商务
用户研究员, 9, 1, 设计, 用户研究, 千合医疗, 北京, 本科, 15, 初创型, 医疗健康
用户研究员, 22, 1, 设计, 用户研究, 腾讯科技有限公司, 深圳, 本科, 2000, 初创型, 移动互联网 · 游戏
用户研究员, 4, 不, 设计, 用户研究, 地虎, 北京, 学历不限, 15, 初创型, 电子商务
用户研究员, 6, 不, 设计, 用户研究, RDDO, 广州, 学历不限, 15, 初创型, 企业服务
用户研究员, 2, 不, 设计, 用户研究, 伊飒尔, 北京, 本科, 50, 成长型, 移动互联网
用户研究员, 7, 1, 设计, 用户研究, 数字新思, 北京, 本科, 15, 初创型, 数据服务
