职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
广告设计师, 8, 不, 设计, 视觉设计, 两鲜, 上海, 大专, 150, 成长型, 电子商务
广告设计师, 11, 3, 设计, 视觉设计, 恺英网络, 上海, 学历不限, 500, 上市公, 移动互联网 · 游戏
广告设计, 5, 1, 设计, 视觉设计, 广州棒谷网络科技有限公司, 广州, 大专, 150, 成长型, 电子商务
广告设计师, 16, 3, 设计, 视觉设计, 小河理财, 上海, 大专, 150, 初创型, 金融
广告设计师, 4, 1, 设计, 视觉设计, 美柚, 厦门, 本科, 150, 成熟型, 移动互联网
广告设计/手游, 8, 1, 设计, 视觉设计, 恺英网络, 上海, 大专, 500, 上市公, 移动互联网 · 游戏
广告设计师, 6, 不, 设计, 视觉设计, 木仓科技, 武汉, 学历不限, 150, 成熟型, 移动互联网
广告设计师, 7, 1, 设计, 视觉设计, 上海就近网络技术有限公司, 上海, 大专, 50, 初创型, 移动互联网 · 电子商务
广告设计师, 10, 1, 设计, 视觉设计, 悠泊, 北京, 大专, 15, 初创型, 移动互联网 · 生活服务
广告设计师, 4, 1, 设计, 视觉设计, 钛铂新媒体, 广州, 学历不限, 150, 成长型, 广告营销
广告设计师, 4, 不, 设计, 视觉设计, 际嘉公关, 上海, 大专, 15, 初创型, 广告营销 · 其他
广告设计, 6, 1, 设计, 视觉设计, 卷皮, 深圳, 本科, 500, 成长型, 电子商务
广告设计师, 4, 1, 设计, 视觉设计, 好友聚, 杭州, 学历不限, 15, 初创型, 社交网络 · O2O
广告设计师, 11, 1, 设计, 视觉设计, 多盟, 上海, 本科, 150, 成长型, 移动互联网 · 广告营销
广告设计师, 15, 不, 设计, 视觉设计, 骏梦游戏, 上海, 学历不限, 150, 上市公, 游戏
广告设计师, 6, 不, 设计, 视觉设计, 寰创科技, 杭州, 学历不限, 15, 初创型, 社交网络 · 旅游
广告设计师, 6, 3, 设计, 视觉设计, 猫咪爱上鱼, 南京, 本科, 15, 初创型, O2O · 数据服务
广告设计师, 3, 1, 设计, 视觉设计, 大秦互动, 西安, 大专, 15, 初创型, 移动互联网
广告设计师, 6, 1, 设计, 视觉设计, 木仓科技, 武汉, 大专, 50, 成熟型, 移动互联网
广告设计师, 6, 1, 设计, 视觉设计, 木仓科技, 武汉, 大专, 50, 成熟型, 移动互联网
广告设计师（广州）, 5, 1, 设计, 视觉设计, 正邦创意, 广州, 大专, 500, 成熟型, 移动互联网 · 广告营销
广告设计师, 8, 1, 设计, 视觉设计, 归墟电子, 上海, 本科, 15, 初创型, 移动互联网 · 其他
广告设计师（偏手游方向）, 10, 1, 设计, 视觉设计, 掌视亿通, 北京, 本科, 50, 成长型, 移动互联网 · 文化娱乐
广告设计师, 12, 1, 设计, 视觉设计, 威观信息科技, 上海, 学历不限, 15, 初创型, 移动互联网 · O2O
广告设计师, 12, 3, 设计, 视觉设计, 安沃传媒, 北京, 大专, 150, 成熟型, 移动互联网 · 广告营销
广告设计师, 7, 1, 设计, 视觉设计, 冰吉网络, 广州, 大专, 15, 初创型, 移动互联网 · 电子商务
广告设计师, 7, 1年以, 设计, 视觉设计, 梅高大数据, 上海, 本科, 15, 初创型, 移动互联网 · 数据服务
广告设计师, 6, 1, 设计, 视觉设计, 英威诺, 深圳, 大专, 150, 成长型, 移动互联网 · 数据服务
广告设计师, 31, 不, 设计, 视觉设计, 佰市行（华东）有限公司, 上海, 本科, 50, 成长型, O2O · 数据服务
广告设计师, 15, 不, 设计, 视觉设计, 杨桃科技, 北京, 本科, 15, 初创型, 移动互联网 · 广告营销
广告设计师, 6, 1, 设计, 视觉设计, Joymap, 上海, 学历不限, 15, 初创型, 移动互联网 · O2O
广告设计师, 9, 1, 设计, 视觉设计, 魔利互通, 上海, 本科, 50, 成长型, 移动互联网
广告设计师, 6, 不, 设计, 视觉设计, 新逸居, 重庆, 学历不限, 50, 初创型, O2O · 生活服务
广告设计师, 5, 1, 设计, 视觉设计, 龙腾中东, 福州, 本科, 50, 初创型, 移动互联网 · 游戏
广告设计师, 7, 1, 设计, 视觉设计, 熊猫叶, 上海, 学历不限, 150, 成长型, 电子商务 · 医疗健康
广告设计师, 6, 不, 设计, 视觉设计, 禾云生活, 上海, 学历不限, 15, 初创型, 移动互联网 · 生活服务
广告设计师, 6, 1, 设计, 视觉设计, 爱牙, 深圳, 学历不限, 50, 成长型, 移动互联网 · 医疗健康
广告设计师, 4, 1, 设计, 视觉设计, 汇美HOOME, 广州, 学历不限, 150, 成长型, 电子商务 · O2O
广告设计师, 11, 3, 设计, 视觉设计, Fun+, 深圳, 大专, 50, 初创型, 移动互联网
广告设计师, 6, 1, 设计, 视觉设计, 臻域合众, 北京, 本科, 150, 上市公, 移动互联网 · 游戏
广告设计师, 5, 1, 设计, 视觉设计, 嵊灿科技, 上海, 大专, 150, 成长型, 移动互联网 · 电子商务
广告设计师, 3, 不, 设计, 视觉设计, 掌游科技, 武汉, 大专, 50, 初创型, 移动互联网 · 游戏
广告设计师, 15, 应届毕业, 设计, 视觉设计, 智明星通, 北京, 学历不限, 500, 上市公, 移动互联网 · 游戏
广告设计师, 4, 不, 设计, 视觉设计, 奇谷文化, 上海, 学历不限, 15, 初创型, 移动互联网 · 广告营销
广告设计师/美指, 7, 3, 设计, 视觉设计, 广州天橙, 长沙, 大专, 150, 成长型, 其他
广告设计师, 8, 不, 设计, 视觉设计, Adsame, 上海, 学历不限, 150, 成熟型, 移动互联网 · 数据服务
广告设计师, 6, 1, 设计, 视觉设计, WBB沃巴博, 上海, 本科, 15, 初创型, 广告营销
广告设计师, 1, 1, 设计, 视觉设计, GUYS旅行, 成都, 本科, 15, 初创型, 电子商务 · 旅游
广告设计师, 12, 1, 设计, 视觉设计, 趣乐科技（百万琴友家园）, 北京, 本科, 15, 成长型, 移动互联网 · 硬件
广告设计师, 12, 3, 设计, 视觉设计, 宝将科技, 苏州, 大专, 150, 成长型, 移动互联网 · 游戏
广告设计师, 11, 1, 设计, 视觉设计, 海航通信, 北京, 本科, 150, 成长型, 移动互联网 · 生活服务
广告设计师, 9, 3, 设计, 视觉设计, 寻美客公司, 北京, 学历不限, 15, 初创型, 文化娱乐 · 其他
广告设计师, 10, 1, 设计, 视觉设计, 链家地产, 北京, 本科, 2000, 成熟型, 移动互联网 · O2O
广告设计师, 9, 不, 设计, 视觉设计, 柯慧网络, 上海, 学历不限, 15, 初创型, 游戏
广告设计师, 8, 1, 设计, 视觉设计, 寻美客公司, 北京, 学历不限, 15, 初创型, 文化娱乐 · 其他
广告设计师, 6, 1, 设计, 视觉设计, 重庆当午广告公司, 重庆, 大专, 15, 初创型, 移动互联网 · 社交网络
广告设计师（平面设计师）, 6, 1, 设计, 视觉设计, 有米科技, 广州, 大专, 150, 上市公, 移动互联网 · 广告营销
广告设计师, 9, 1, 设计, 视觉设计, 小飞侠, 北京, 大专, 50, 成长型, 移动互联网 · 硬件
广告设计师, 9, 3, 设计, 视觉设计, 时尚集团, 北京, 本科, 500, 成熟型, 文化娱乐
广告设计, 6, 1, 设计, 视觉设计, 快手看片, 上海, 大专, 50, 成长型, 移动互联网
广告设计师, 12, 5, 设计, 视觉设计, ADAO道原, 北京, 本科, 50, 初创型, 广告营销
广告设计师, 6, 不, 设计, 视觉设计, 亿马联盟, 北京, 学历不限, 50, 成长型, 游戏
广告设计师, 6, 1, 设计, 视觉设计, 卓力数码, 广州, 大专, 15, 初创型, 移动互联网 · 广告营销
广告设计师, 9, 1, 设计, 视觉设计, 常客, 北京, 本科, 50, 成长型, 移动互联网
广告设计师, 4, 1, 设计, 视觉设计, 南京环昊文化传媒有限公司, 南京, 大专, 15, 初创型, 移动互联网 · 广告营销
广告设计师, 6, 3, 设计, 视觉设计, 乌托家, 广州, 大专, 50, 成长型, 移动互联网 · 电子商务
广告设计师, 7, 1, 设计, 视觉设计, 创动诚讯, 北京, 学历不限, 50, 成长型, 广告营销 · 文化娱乐
广告设计师, 2, 5, 设计, 视觉设计, 英迈格文化传媒有限公司, 北京, 本科, 15, 初创型, 文化娱乐
广告设计师, 8, 1, 设计, 视觉设计, 常客, 北京, 本科, 50, 成长型, 移动互联网
广告设计师, 9, 1, 设计, 视觉设计, 文呈国际, 北京, 学历不限, 15, 初创型, 企业服务 · 广告营销
广告设计师, 7, 不, 设计, 视觉设计, Leadhug, 北京, 学历不限, 50, 成长型, 移动互联网 · 广告营销
广告设计师, 18, 5, 设计, 视觉设计, 瓦雷拉数据, 上海, 本科, 150, 成长型, 数据服务
广告设计师, 12, 3, 设计, 视觉设计, ADAO道原, 北京, 本科, 50, 初创型, 广告营销
广告设计师, 7, 1, 设计, 视觉设计, 雪润传播, 北京, 本科, 150, 成长型, 广告营销
广告设计师, 9, 1, 设计, 视觉设计, OASIS GAMES绿洲游戏, 北京, 大专, 150, 成长型, 移动互联网
广告设计师, 6, 1, 设计, 视觉设计, 爱拍原创, 广州, 大专, 150, 成熟型, 文化娱乐
广告设计师, 5, 不, 设计, 视觉设计, Tukmob(土壳移动), 上海, 学历不限, 15, 初创型, 游戏 · 广告营销
