职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
APP设计师, 15, 1, 设计, 视觉设计, 快抢车, 杭州, 大专, 50, 成长型, 移动互联网
APP设计师, 6, 1, 产品, 产品设计师, 房小二网, 沈阳, 大专, 150, 成长型, 文化娱乐
APP设计师, 8, 1, 设计, 视觉设计, 天使女人花, 武汉, 学历不限, 500, 成熟型, 电子商务 · 医疗健康
APP设计师, 15, 1, 设计, 视觉设计, 火球科技, 杭州, 学历不限, 15, 初创型, 移动互联网 · 电子商务
APP设计师, 15, 3, 设计, 视觉设计, 瑛麒动漫, 上海, 本科, 15, 成长型, 移动互联网 · 文化娱乐
APP设计师, 16, 1, 设计, 视觉设计, 驴徒网, 上海, 大专, 50, 成长型, 电子商务 · 社交网络
APP设计师, 10, 1, 设计, 视觉设计, 嗨美极, 杭州, 大专, 15, 成长型, 电子商务
APP设计师, 14, 3, 设计, 视觉设计, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
APP设计师, 7, 3, 设计, 视觉设计, 车太闲app, 宁波, 本科, 15, 初创型, 移动互联网 · 社交网络
APP设计师, 22, 1, 设计, 视觉设计, 一号货车, 上海, 本科, 500, 成长型, 移动互联网 · O2O
app设计师, 22, 3, 设计, 视觉设计, 威阔（Trustlook）, 杭州, 本科, 15, 初创型, 移动互联网
APP设计师, 17, 3, 设计, 视觉设计, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
APP设计师, 11, 不, 设计, 视觉设计, 山东五洲奕, 济南, 学历不限, 15, 初创型, 移动互联网 · 广告营销
APP设计师, 8, 3, 设计, 视觉设计, 爱智游, 成都, 本科, 15, 初创型, 教育 · 游戏
APP设计师, 11, 1, 设计, 视觉设计, 友江集团, 济南, 大专, 50, 上市公, 移动互联网
APP设计师, 6, 1, 设计, 视觉设计, 开趣, 苏州, 学历不限, 15, 初创型, 移动互联网 · 医疗健康
APP设计师, 16, 3, 设计, 视觉设计, 你有药, 上海, 本科, 15, 成长型, 移动互联网 · 医疗健康
APP设计师, 18, 1, 设计, 视觉设计, 威阔（Trustlook）, 杭州, 大专, 15, 初创型, 移动互联网
APP设计师, 9, 不, 设计, 视觉设计, 礼物约, 南京, 学历不限, 15, 初创型, 移动互联网 · 社交网络
APP设计师, 6, 1, 设计, 视觉设计, 安企金融, 合肥, 大专, 15, 初创型, 金融
APP设计师, 8, 1年以, 设计, 视觉设计, 星火国际教育集团, 东莞, 本科, 2000, 成熟型, 教育
APP设计师, 1, 不, 设计, 视觉设计, 折腾科技, 吉安, 本科, 15, 初创型, 移动互联网 · 文化娱乐
APP设计师, 17, 3, 设计, 视觉设计, 杭州必盈金融信息服务有限公司, 杭州, 大专, 15, 初创型, 金融
APP设计师, 3, 1, 设计, 视觉设计, 云杰, 菏泽, 学历不限, 15, 初创型, 电子商务 · O2O
APP设计师, 7, 1, 设计, 视觉设计, 子涵科技, 秦皇岛, 大专, 15, 初创型, 企业服务
APP设计师, 20, 3, 设计, 视觉设计, 神交, 广州, 本科, 15, 初创型, 移动互联网 · 社交网络
APP设计师, 10, 1, 设计, 视觉设计, 永伦金融, 上海, 大专, 150, 初创型, 移动互联网 · 金融
APP设计师, 6, 1, 设计, 视觉设计, 拾盐, 苏州, 大专, 15, 初创型, 移动互联网 · 社交网络
APP设计师, 7, 3, 设计, 视觉设计, 山东瀚讯, 青岛, 大专, 50, 成长型, 教育
