职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
Flash设计师, 5, 1, 设计, 视觉设计, 太平洋网络科技有限公司, 广州, 大专, 500, 上市公, 电子商务 · 生活服务
Flash设计师, 9, 不, 设计, 视觉设计, 5399, 广州, 学历不限, 15, 初创型, 游戏
Flash设计师, 9, 1, 设计, 视觉设计, 艾艺设计, 上海, 大专, 50, 初创型, 移动互联网
Flash设计师, 7, 1, 设计, 视觉设计, 深圳蜂与鸟, 深圳, 大专, 15, 初创型, 移动互联网 · 电子商务
Flash设计师, 9, 1, 设计, 视觉设计, Gridsum 国双, 广州, 本科, 500, 成熟型, 数据服务
Flash设计师（移动多媒体设计）, 4, 不, 设计, 视觉设计, POCO.CN, 广州, 大专, 150, 成长型, 移动互联网 · 文化娱乐
Flash设计师, 5, 3, 设计, 视觉设计, 大咔科技, 成都, 大专, 15, 成长型, 移动互联网 · 金融
Flash设计师, 6, 1, 设计, 视觉设计, 素宏网络, 杭州, 大专, 50, 初创型, 游戏
Flash设计师, 11, 3, 设计, 视觉设计, 金刚蚁机器人, 深圳, 本科, 15, 初创型, 硬件
Flash设计师, 2, 不, 设计, 视觉设计, 数拓科技, 西安, 学历不限, 50, 初创型, 移动互联网
Flash设计师, 9, 1, 设计, 视觉设计, 金塔山集团, 东莞, 本科, 150, 初创型, 移动互联网 · 教育
Flash设计师, 7, 1, 技术, 前端开发, 女神, 杭州, 学历不限, 15, 初创型, 移动互联网
Flash设计师, 4, 应届毕业, 设计, 视觉设计, 上海旅烨, 上海, 学历不限, 150, 成熟型, 移动互联网
Flash设计师, 4, 不, 设计, 视觉设计, 幼稚原创, 深圳, 大专, 15, 初创型, 移动互联网 · 教育
Flash设计师, 5, 1, 设计, 视觉设计, 八仙广告, 杭州, 大专, 50, 成长型, 移动互联网 · 企业服务
Flash设计师（二维动画）, 12, 3, 设计, 视觉设计, 启沃石油, 广州, 本科, 500, 初创型, 电子商务
Flash设计师, 19, 3, 设计, 视觉设计, 爱奇艺, 上海, 本科, 2000, 成熟型, 广告营销 · 文化娱乐
Flash设计师, 4, 不, 设计, 视觉设计, vv3c家电助手, 杭州, 学历不限, 50, 初创型, 移动互联网 · 数据服务
Flash设计师, 4, 不, 设计, 视觉设计, 好未来（原学而思）, 天津, 大专, 2000, 上市公, 移动互联网 · 教育
Flash设计师, 7, 1, 设计, 视觉设计, 壹读, 北京, 学历不限, 50, 成长型, 文化娱乐
Flash设计师（二维动画）, 12, 1, 技术, 前端开发, 互联网金融, 广州, 大专, 500, 初创型, 金融 · 移动互联网
Flash设计师, 8, 1, 设计, 视觉设计, 知学云, 深圳, 本科, 150, 成长型, 企业服务
Flash设计师, 6, 不, 设计, 视觉设计, 学科网, 北京, 大专, 500, 成长型, 移动互联网
Flash设计师, 6, 3, 设计, 视觉设计, 印帮网, 成都, 学历不限, 15, 初创型, 电子商务 · 广告营销
Flash设计师, 7, 1, 设计, 视觉设计, 荷仙菇生物科技, 北京, 大专, 15, 初创型, 医疗健康
Flash设计师, 7, 不, 设计, 视觉设计, 星火国际传媒集团, 济南, 学历不限, 500, 初创型, 教育
Flash设计师, 4, 不, 设计, 视觉设计, 乐范传媒, 上海, 学历不限, 15, 初创型, 移动互联网 · 文化娱乐
Flash设计师, 4, 不, 设计, 视觉设计, 原创动力, 广州, 学历不限, 150, 成长型, 文化娱乐
Flash设计师, 12, 3, 设计, 视觉设计, 三人行广告, 广州, 大专, 150, 成长型, 企业服务 · 广告营销
Flash设计师, 6, 1, 设计, 视觉设计, 爱乐奇, 上海, 大专, 50, 成熟型, 移动互联网 · 教育
Flash设计师, 3, 应届毕业, 设计, 视觉设计, 郑州简意科技, 郑州, 学历不限, 15, 初创型, 移动互联网 · 数据服务
Flash设计师, 4, 不, 设计, 视觉设计, 第1车市, 上海, 本科, 50, 初创型, 文化娱乐
Flash设计师, 6, 3, 设计, 视觉设计, 中软国际, 西安, 本科, 2000, 上市公, 移动互联网
Flash设计师, 7, 1, 设计, 视觉设计, 锐势互动, 广州, 本科, 15, 初创型, 移动互联网 · 广告营销
Flash设计师, 8, 1, 设计, 视觉设计, 华会科技, 深圳, 本科, 15, 初创型, 移动互联网 · 电子商务
Flash设计师, 9, 1, 设计, 视觉设计, 凯奇谷（北京）信息技术有限公司, 北京, 学历不限, 150, 成长型, 移动互联网 · 游戏
Flash设计师, 4, 1, 设计, 视觉设计, 宝延科技(天津), 天津, 大专, 15, 初创型, 移动互联网 · 硬件
Flash设计师, 12, 不, 设计, 视觉设计, 爱奇艺, 上海, 本科, 2000, 成熟型, 广告营销 · 文化娱乐
Flash设计师, 4, 不, 设计, 视觉设计, ISART, 沈阳, 学历不限, 15, 初创型, 移动互联网 · 社交网络
Flash设计师, 6, 不, 设计, 视觉设计, 杭州朗极, 杭州, 学历不限, 15, 上市公, 文化娱乐
Flash设计师, 6, 1, 设计, 视觉设计, 主动教育, 成都, 大专, 150, 初创型, 教育 · 移动互联网
Flash设计师, 12, 3, 设计, 视觉设计, 普瑞眼科医院集团, 上海, 大专, 2000, 成熟型, 移动互联网 · 医疗健康
Flash设计师, 8, 1, 设计, 视觉设计, 笑长视, 深圳, 学历不限, 15, 初创型, 移动互联网 · 电子商务
Flash设计师, 7, 不, 设计, 视觉设计, 北京苹果知科技有限公司, 北京, 学历不限, 15, 初创型, 移动互联网 · 硬件
Flash设计师, 7, 1, 设计, 视觉设计, 汇智博纳, 北京, 学历不限, 15, 初创型, 移动互联网 · 教育
Flash设计师, 24, 3, 设计, 视觉设计, 仁立, 北京, 大专, 2000, 成熟型, 移动互联网 · 金融
Flash设计师, 8, 1, 设计, 视觉设计, 我爱美商城, 广州, 大专, 50, 初创型, 电子商务
Flash设计师, 6, 1, 设计, 视觉设计, 灵点奇迹, 深圳, 本科, 15, 初创型, 文化娱乐 · 广告营销
Flash设计师, 4, 不, 设计, 视觉设计, 未来视界, 北京, 大专, 15, 初创型, 文化娱乐
Flash设计师, 11, 3, 设计, 视觉设计, 神州普惠, 北京, 学历不限, 150, 成长型, 移动互联网 · 数据服务
Flash设计师, 1, 不, 设计, 视觉设计, TCL北研中心, 北京, 本科, 2000, 上市公, 电子商务
Flash设计师, 11, 1, 设计, 视觉设计, 软通动力, 北京, 大专, 2000, 上市公, 移动互联网 · 企业服务
Flash设计师, 9, 不, 设计, 视觉设计, 仁厚敬诚, 北京, 学历不限, 15, 初创型, 移动互联网 · 教育
Flash设计师, 6, 不, 设计, 视觉设计, 飞碟说, 上海, 学历不限, 50, 成长型, 移动互联网
Flash设计师, 10, 1, 设计, 视觉设计, 极秀, 北京, 本科, 15, 初创型, 移动互联网 · 文化娱乐
Flash设计师, 6, 不, 设计, 视觉设计, 中传了得, 北京, 学历不限, 15, 初创型, 移动互联网 · O2O
Flash设计师, 9, 1, 设计, 视觉设计, 上海卡睿微, 上海, 本科, 50, 初创型, 文化娱乐
Flash设计师, 6, 1, 设计, 视觉设计, 追趣游戏, 北京, 学历不限, 50, 初创型, 移动互联网 · 游戏
Flash设计师, 7, 1, 设计, 视觉设计, 录客, 北京, 大专, 15, 初创型, 文化娱乐
Flash设计师, 9, 1, 设计, 视觉设计, 720云, 北京, 大专, 15, 初创型, 移动互联网 · O2O
Flash设计师, 7, 1, 设计, 视觉设计, 秘银, 北京, 本科, 15, 成长型, 移动互联网 · 金融
Flash设计师, 22, 1, 设计, 视觉设计, 英富森, 北京, 本科, 2000, 初创型, 移动互联网 · 电子商务
Flash设计师, 15, 3, 设计, 视觉设计, 蓝星教育, 北京, 本科, 150, 初创型, 教育
Flash设计师, 11, 1, 设计, 视觉设计, 国信美投 Meritros, 北京, 大专, 15, 初创型, 移动互联网 · 企业服务
Flash设计师, 12, 1, 设计, 视觉设计, 宜信公司, 北京, 本科, 2000, 成熟型, 移动互联网 · 金融
Flash设计师, 14, 1, 设计, 视觉设计, 北京天融信公司, 北京, 本科, 2000, 上市公, 信息安全
Flash设计师, 7, 1, 设计, 视觉设计, 优购网, 北京, 大专, 500, 成熟型, 电子商务
Flash设计师, 13, 3, 设计, 视觉设计, 建亿通, 北京, 本科, 150, 成长型, 移动互联网 · 金融
Flash设计师, 11, 1, 设计, 视觉设计, 软通动力, 北京, 大专, 2000, 上市公, 移动互联网 · 企业服务
Flash设计师, 15, 3, 设计, 视觉设计, 蓝星教育, 北京, 本科, 150, 初创型, 教育
Flash设计师, 13, 1, 设计, 视觉设计, 软通动力, 北京, 大专, 2000, 上市公, 移动互联网 · 企业服务
Flash设计师, 22, 3, 设计, 视觉设计, 英富森, 北京, 本科, 2000, 初创型, 移动互联网 · 电子商务
Flash设计师, 9, 1, 设计, 视觉设计, 四九游, 广州, 大专, 150, 成长型, 游戏 · 旅游
Flash设计师, 19, 3, 设计, 视觉设计, 南电科技, 北京, 本科, 2000, 成熟型, 电子商务 · 数据服务
Flash设计师, 13, 1, 设计, 视觉设计, 软通动力, 北京, 大专, 2000, 上市公, 移动互联网 · 企业服务
Flash设计师, 11, 1, 设计, 视觉设计, 宜信公司, 北京, 本科, 2000, 成熟型, 移动互联网 · 金融
