职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
游戏动作, 11, 不, 设计, 视觉设计, 四楼无限, 深圳, 大专, 15, 成长型, 移动互联网 · 游戏
游戏动作, 12, 1年以, 设计, 视觉设计, 第七天堂, 深圳, 大专, 15, 成长型, 移动互联网 · 游戏
游戏动作, 9, 1, 设计, 视觉设计, 仙境乐网, 北京, 大专, 50, 成长型, 移动互联网 · 游戏
游戏动作, 9, 1, 设计, 视觉设计, 句多网络, 上海, 大专, 15, 初创型, 游戏
游戏动作, 4, 1, 设计, 视觉设计, 北京其卡通动画公司, 北京, 大专, 50, 成长型, 文化娱乐
游戏动作, 15, 不, 设计, 视觉设计, 深圳比麟科技, 深圳, 大专, 15, 成长型, 移动互联网 · 游戏
游戏动作, 6, 不, 设计, 视觉设计, 七月科技, 杭州, 学历不限, 15, 初创型, 游戏
游戏动作, 12, 1, 设计, 视觉设计, 上海敬游软件, 上海, 大专, 50, 成长型, 游戏
游戏动作, 12, 1, 设计, 视觉设计, 趣上科技, 深圳, 大专, 15, 初创型, 移动互联网 · 游戏
游戏动作, 12, 不, 设计, 视觉设计, 众游, 北京, 学历不限, 15, 初创型, 移动互联网 · 游戏
游戏动作, 7, 1, 设计, 视觉设计, 合肥乐堂动漫, 合肥, 大专, 150, 初创型, 游戏
游戏动作, 6, 不, 设计, 视觉设计, C2fun, 苏州, 学历不限, 50, 成长型, 移动互联网 · 游戏
游戏动作, 11, 1, 设计, 视觉设计, 大家游戏, 北京, 大专, 50, 成长型, 游戏
游戏动作, 5, 1, 设计, 视觉设计, 合肥乐堂动漫, 合肥, 大专, 150, 初创型, 游戏
游戏动作, 6, 1, 设计, 视觉设计, icon, 广州, 本科, 15, 初创型, 移动互联网 · 游戏
游戏动作, 4, 不, 设计, 视觉设计, 秀宝软件, 武汉, 大专, 50, 初创型, 移动互联网 · 电子商务
游戏动作, 7, 1, 设计, 视觉设计, 零境网络, 上海, 学历不限, 50, 成长型, 游戏
游戏动作, 4, 1, 设计, 视觉设计, 江西大麦互娱, 南昌, 大专, 150, 上市公, 移动互联网 · 游戏
游戏动作, 9, 1, 设计, 视觉设计, 编程猫, 深圳, 学历不限, 15, 初创型, 移动互联网 · 教育
游戏动作, 6, 1, 设计, 视觉设计, 武汉大地兄弟科技有限公司, 武汉, 学历不限, 15, 初创型, 游戏 · 移动互联网
游戏动作, 9, 3, 设计, 视觉设计, 麒翼, 杭州, 学历不限, 15, 成长型, 移动互联网 · 游戏
游戏动作, 9, 1, 设计, 视觉设计, 觉醒, 深圳, 学历不限, 50, 成长型, 游戏
游戏动作, 10, 1, 设计, 视觉设计, 觉醒, 深圳, 大专, 50, 成长型, 游戏
游戏动作, 5, 1, 设计, 视觉设计, 漫乐科技有限公司, 成都, 大专, 15, 初创型, 游戏
游戏动作, 6, 1, 设计, 视觉设计, 爆米花网络, 福州, 大专, 15, 初创型, 移动互联网 · 游戏
游戏动作, 6, 不, 设计, 视觉设计, 飞鱼科技, 厦门, 学历不限, 150, 上市公, 游戏
游戏动作, 4, 不, 设计, 视觉设计, G lab, 上海, 学历不限, 15, 成长型, 移动互联网 · 硬件
游戏动作, 8, 不, 设计, 视觉设计, G lab, 上海, 学历不限, 15, 成长型, 移动互联网 · 硬件
游戏动作, 6, 1, 设计, 视觉设计, 酷软软件, 成都, 本科, 15, 初创型, 移动互联网
游戏动作, 4, 不, 设计, 视觉设计, 南京小西网络, 南京, 学历不限, 15, 成长型, 游戏
游戏动作, 4, 1, 设计, 视觉设计, 苏州随身玩, 苏州, 大专, 15, 成长型, 移动互联网 · 游戏
游戏动作, 10, 1, 设计, 视觉设计, 盖娅互娱, 北京, 大专, 150, 初创型, 移动互联网 · 游戏
游戏动作, 6, 1, 设计, 视觉设计, 山东动量影视技术有限公司, 济南, 学历不限, 15, 初创型, 移动互联网 · 游戏
游戏动作, 13, 1, 设计, 视觉设计, 无忧互通, 北京, 本科, 50, 成长型, 游戏
游戏动作, 9, 不, 设计, 视觉设计, 酷橙游戏, 上海, 学历不限, 15, 成长型, 游戏
游戏动作, 9, 1, 设计, 视觉设计, 乐卓, 上海, 学历不限, 50, 成长型, 游戏
游戏动作, 11, 3, 设计, 视觉设计, 骏梦游戏, 上海, 学历不限, 150, 上市公, 游戏
游戏动作, 11, 3, 设计, 视觉设计, 苏州3A游戏, 苏州, 学历不限, 15, 初创型, 游戏
游戏动作, 15, 1, 设计, 视觉设计, 北京魂世界信息技术有限公司, 北京, 本科, 15, 成长型, 游戏
游戏动作, 11, 1, 设计, 视觉设计, 格游网络, 北京, 大专, 15, 初创型, 游戏
游戏动作, 4, 应届毕业, 设计, 视觉设计, 无限时空, 北京, 学历不限, 50, 成熟型, 游戏
游戏动作, 10, 不, 设计, 视觉设计, 逍遥天地, 北京, 学历不限, 15, 成长型, 游戏
