职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
游戏界面设计师, 12, 1, 设计, 视觉设计, 小肚皮App, 北京, 本科, 15, 成长型, 移动互联网
游戏界面设计师, 12, 1, 设计, 视觉设计, 恺英网络, 上海, 本科, 500, 上市公, 移动互联网 · 游戏
游戏界面设计师, 9, 1, 设计, 视觉设计, 仙境乐网, 北京, 大专, 50, 成长型, 移动互联网 · 游戏
游戏界面设计师, 5, 1, 设计, 视觉设计, 赛驰科技, 郑州, 大专, 50, 成长型, 数据服务 · 文化娱乐
游戏界面设计师, 10, 3, 设计, 视觉设计, 弘先网络科技, 广州, 大专, 50, 成长型, 移动互联网 · 游戏
游戏界面设计师, 12, 3, 设计, 视觉设计, 火谷网络, 北京, 大专, 50, 成长型, 移动互联网 · 游戏
游戏界面设计师, 7, 1, 设计, 视觉设计, 聚益科技, 大连, 学历不限, 15, 初创型, 移动互联网 · 数据服务
游戏界面设计师, 12, 1, 设计, 视觉设计, 深圳比麟科技, 深圳, 大专, 15, 成长型, 移动互联网 · 游戏
游戏界面设计师, 9, 1, 设计, 视觉设计, artapp, 武汉, 本科, 15, 初创型, 教育 · 文化娱乐
游戏界面设计师, 6, 1, 设计, 视觉设计, 三川田集团, 广州, 大专, 150, 成熟型, 移动互联网 · 游戏
游戏界面设计师（UI图形界面交互设计）, 7, 不, 设计, 交互设计, 考拉先生, 广州, 学历不限, 150, 成长型, 移动互联网
游戏界面设计师（UI图形界面交互设）, 7, 不, 设计, 视觉设计, 考拉先生, 广州, 学历不限, 150, 成长型, 移动互联网
游戏界面设计师, 6, 1, 设计, 视觉设计, 美任文化, 南京, 大专, 15, 成长型, 游戏 · 文化娱乐
游戏界面设计师, 6, 1, 设计, 视觉设计, 巴思巴, 天津, 学历不限, 15, 初创型, 教育 · 游戏
游戏界面设计师, 6, 不, 设计, 视觉设计, C2fun, 苏州, 大专, 50, 成长型, 移动互联网 · 游戏
游戏界面设计师, 12, 1, 设计, 视觉设计, 创新工场-同趣游戏, 北京, 学历不限, 15, 成长型, 移动互联网 · 游戏
游戏界面设计师, 7, 不, 设计, 视觉设计, 句多网络, 上海, 本科, 15, 初创型, 游戏
游戏界面设计师, 13, 1, 设计, 视觉设计, 上海辰念网络科技有限公司, 上海, 大专, 15, 初创型, 移动互联网 · 游戏
游戏界面设计师, 4, 1年以, 设计, 视觉设计, 漫谷, 重庆, 学历不限, 15, 初创型, 移动互联网 · 游戏
游戏界面设计师, 4, 不, 设计, 视觉设计, Rinzz Mobile Games, 长沙, 大专, 15, 初创型, 移动互联网 · 游戏
游戏界面设计师, 15, 1, 设计, 视觉设计, 女神, 杭州, 学历不限, 15, 初创型, 移动互联网
游戏界面设计师, 6, 应届毕业, 设计, 视觉设计, 句多网络, 上海, 大专, 15, 初创型, 游戏
游戏界面设计师, 11, 1, 设计, 视觉设计, 上海辰念网络科技有限公司, 上海, 本科, 15, 初创型, 移动互联网 · 游戏
游戏界面设计师, 11, 1, 设计, 视觉设计, 广州游爱, 广州, 学历不限, 500, 初创型, 移动互联网
游戏界面设计师, 9, 3, 设计, 视觉设计, TOPGAME, 北京, 大专, 50, 初创型, 游戏
