职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
游戏特效, 12, 1, 设计, 视觉设计, 乐焰网络, 上海, 学历不限, 15, 初创型, 游戏
游戏特效, 13, 不, 设计, 视觉设计, 杭州当歌网络科技有限公司, 杭州, 大专, 15, 初创型, 游戏
游戏特效, 8, 1, 设计, 视觉设计, LuciolaGames, 广州, 学历不限, 15, 初创型, 游戏 · 移动互联网
游戏特效, 7, 1, 设计, 视觉设计, 炉石游戏, 南京, 大专, 15, 初创型, 游戏 · 移动互联网
游戏特效, 4, 1, 设计, 视觉设计, 三生石, 郑州, 大专, 50, 成长型, 移动互联网 · 游戏
游戏特效, 9, 1, 设计, 视觉设计, 句多网络, 上海, 本科, 15, 初创型, 游戏
游戏特效, 11, 1, 设计, 视觉设计, 胡莱游戏, 广州, 学历不限, 500, 初创型, 游戏
游戏特效, 12, 1, 设计, 视觉设计, 趣上科技, 深圳, 大专, 15, 初创型, 移动互联网 · 游戏
游戏特效, 12, 1, 设计, 视觉设计, Weedo, 深圳, 学历不限, 15, 成长型, 移动互联网 · 游戏
游戏特效, 16, 1, 设计, 视觉设计, 火星时代, 上海, 大专, 150, 成长型, 教育 · 游戏
游戏特效, 11, 1, 设计, 视觉设计, 东莞黑洞科技, 广州, 学历不限, 150, 初创型, 游戏
游戏特效（UE3）, 20, 1, 设计, 视觉设计, 远扬信息, 上海, 学历不限, 50, 成长型, 移动互联网 · 企业服务
游戏特效, 6, 不, 设计, 视觉设计, C2fun, 苏州, 学历不限, 50, 成长型, 移动互联网 · 游戏
游戏特效, 7, 1, 设计, 视觉设计, 4399游戏, 厦门, 大专, 2000, 成熟型, 移动互联网 · 游戏
游戏特效, 12, 1, 设计, 视觉设计, top25, 深圳, 大专, 15, 成长型, 游戏
游戏特效, 9, 1, 设计, 视觉设计, 句多网络, 上海, 大专, 15, 初创型, 游戏
游戏特效, 11, 1, 设计, 视觉设计, 菲音游戏, 广州, 大专, 500, 上市公, 游戏
游戏特效, 9, 3, 设计, 视觉设计, 阿拉软件, 杭州, 本科, 500, 上市公, 移动互联网 · 电子商务
游戏特效, 17, 3, 设计, 视觉设计, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
游戏特效, 20, 3, 设计, 视觉设计, 上海展开, 上海, 学历不限, 50, 成长型, 移动互联网 · 游戏
游戏特效, 6, 1, 设计, 视觉设计, 欧维斯科技, 成都, 大专, 15, 初创型, 移动互联网
游戏特效, 9, 1, 设计, 视觉设计, 奥坤世纪, 武汉, 大专, 15, 初创型, 游戏
游戏特效, 5, 1, 设计, 视觉设计, 阿达游戏, 无锡, 大专, 50, 初创型, 移动互联网 · 游戏
游戏特效, 9, 3, 设计, 视觉设计, 阿拉丁云计算, 杭州, 大专, 500, 上市公, 信息安全 · 数据服务
游戏特效, 5, 1, 设计, 视觉设计, 合肥乐堂动漫, 合肥, 大专, 150, 初创型, 游戏
游戏特效, 7, 不, 设计, 视觉设计, 通融财富, 东莞, 学历不限, 15, 初创型, 金融
游戏特效, 9, 1, 设计, 视觉设计, 咪修游戏, 西安, 本科, 15, 初创型, 游戏
游戏特效, 8, 不, 设计, 视觉设计, 艾塔科技, 成都, 学历不限, 15, 初创型, 移动互联网
游戏特效, 12, 1, 设计, 视觉设计, 光线传媒, 北京, 大专, 500, 上市公, 文化娱乐
游戏特效, 7, 1, 设计, 视觉设计, 进画论, 广州, 大专, 50, 成熟型, 其他
游戏特效, 13, 3, 设计, 视觉设计, 6637, 广州, 大专, 50, 初创型, 游戏
游戏特效, 8, 1, 设计, 视觉设计, 悠游乐玩, 深圳, 学历不限, 15, 初创型, 游戏
游戏特效, 11, 不, 设计, 视觉设计, QQ炫舞, 北京, 大专, 150, 成长型, 游戏
游戏特效, 12, 3, 设计, 视觉设计, 觉醒, 深圳, 大专, 50, 成长型, 游戏
游戏特效, 12, 1, 设计, 视觉设计, 觉醒, 深圳, 学历不限, 50, 成长型, 游戏
游戏特效, 6, 1, 设计, 视觉设计, 武汉大地兄弟科技有限公司, 武汉, 学历不限, 15, 初创型, 游戏 · 移动互联网
游戏特效(2D手游), 8, 不, 设计, 视觉设计, 联悦科技, 上海, 学历不限, 15, 初创型, 移动互联网 · 游戏
