职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
网页设计师, 5, 1年以, 设计, 视觉设计, 丸子地球, 杭州, 大专, 15, 成长型, 旅游
网页设计师, 8, 3, 设计, 视觉设计, 落地创意, 武汉, 大专, 150, 成长型, 电子商务 · 数据服务
网页设计师, 7, 1, 设计, 视觉设计, 南京点尚, 南京, 大专, 150, 成长型, 移动互联网 · 电子商务
网页设计师, 15, 3, 设计, 视觉设计, 房多多, 深圳, 本科, 2000, 成熟型, 移动互联网 · O2O
网页设计师, 9, 1, 设计, 视觉设计, 盟大集团, 东莞, 本科, 150, 成熟型, 移动互联网 · 电子商务
网页设计师, 6, 1, 设计, 视觉设计, 万秀科技, 广州, 大专, 50, 成长型, 电子商务 · 旅游
网页设计师, 8, 1, 设计, 视觉设计, 37游戏, 广州, 本科, 500, 上市公, 游戏
网页设计师, 4, 1, 设计, 视觉设计, 时代互联科技有限公司, 珠海, 大专, 50, 成熟型, 移动互联网
网页设计师, 8, 3, 设计, 视觉设计, 中科汇联, 北京, 本科, 150, 成长型, 企业服务
网页设计师, 6, 1, 设计, 视觉设计, 宠宠熊, 上海, 大专, 150, 成长型, 电子商务
网页设计师, 11, 不, 设计, 视觉设计, ickey, 上海, 大专, 150, 成长型, 电子商务
网页设计师, 8, 不, 设计, 视觉设计, 恒信汽车电商, 武汉, 学历不限, 2000, 成熟型, 电子商务
网页设计师, 6, 1, 设计, 视觉设计, 嵊灿科技, 深圳, 大专, 150, 成长型, 移动互联网 · 电子商务
网页设计师, 7, 1, 设计, 视觉设计, 上海晨之科, 上海, 大专, 50, 成长型, 移动互联网 · 游戏
网页设计师, 5, 1, 设计, 视觉设计, 武汉快玩, 武汉, 大专, 15, 初创型, 移动互联网 · 游戏
网页设计师, 7, 1, 设计, 视觉设计, YOHO!有货, 南京, 本科, 500, 成熟型, 电子商务 · 文化娱乐
网页设计师, 9, 1, 设计, 视觉设计, 名城苏州网, 苏州, 大专, 150, 成长型, 电子商务 · 文化娱乐
网页设计师, 9, 不, 设计, 视觉设计, 智慧18, 深圳, 学历不限, 15, 初创型, 移动互联网 · O2O
网页设计师, 9, 1, 设计, 视觉设计, 智沃, 上海, 学历不限, 15, 成长型, 游戏
网页设计师, 10, 3, 设计, 视觉设计, 上海莫凡, 上海, 学历不限, 15, 初创型, 电子商务 · 企业服务
网页设计师, 2, 不, 设计, 视觉设计, 科盾, 长春, 学历不限, 50, 成长型, 移动互联网 · 信息安全
网页设计师, 6, 1, 设计, 视觉设计, 宠宠熊, 上海, 大专, 150, 成长型, 电子商务
网页设计师, 12, 不, 设计, 视觉设计, 东吴在线, 上海, 大专, 15, 初创型, 移动互联网 · 金融
网页设计师, 5, 1, 设计, 视觉设计, 竞网智赢, 长沙, 大专, 500, 成熟型, O2O · 数据服务
网页设计师, 4, 不, 设计, 视觉设计, 双扬科技, 成都, 学历不限, 15, 初创型, 教育
网页设计师, 9, 1, 设计, 视觉设计, 朗诗, 上海, 学历不限, 150, 成长型, 生活服务 · 硬件
网页设计师, 9, 1, 设计, 视觉设计, 游酷网络, 上海, 学历不限, 15, 上市公, 移动互联网 · 游戏
网页设计师, 6, 1, 设计, 视觉设计, 恒瑞网络, 烟台, 大专, 15, 初创型, 移动互联网 · 电子商务
网页设计师, 15, 3, 设计, 视觉设计, 易保利, 深圳, 本科, 50, 成长型, 金融
网页设计师, 6, 1, 设计, 视觉设计, 创业伞, 上海, 大专, 15, 初创型, 企业服务 · O2O
网页设计师, 4, 1, 设计, 视觉设计, 博智营销, 西安, 大专, 15, 初创型, 移动互联网 · 广告营销
网页设计师, 6, 1, 设计, 视觉设计, 凝新, 佛山, 本科, 15, 初创型, 其他 · 企业服务
网页设计师, 5, 不, 设计, 视觉设计, 天行网络, 福州, 学历不限, 15, 初创型, 移动互联网 · 游戏
网页设计师, 15, 1, 设计, 视觉设计, 迎创, 杭州, 本科, 50, 成长型, 移动互联网 · 电子商务
网页设计师, 8, 1, 设计, 视觉设计, 亿达, 深圳, 本科, 2000, 上市公, 移动互联网
网页设计师, 12, 不, 设计, 交互设计, 滚球信息, 上海, 学历不限, 15, 初创型, 移动互联网 · 数据服务
网页设计师, 10, 3, 设计, 视觉设计, 霹雳爸爸, 南京, 本科, 15, 成长型, 电子商务
网页设计师, 6, 1, 设计, 视觉设计, 宠宠熊, 上海, 大专, 150, 成长型, 电子商务
网页设计师, 8, 1, 设计, 视觉设计, 山讯科技, 上海, 学历不限, 50, 上市公, 移动互联网 · 社交网络
网页设计师, 7, 1, 设计, 视觉设计, 环球易购, 深圳, 大专, 500, 上市公, 电子商务
网页设计师, 5, 1, 设计, 视觉设计, 夏浪科技, 珠海, 学历不限, 15, 初创型, 移动互联网 · 电子商务
网页设计师, 4, 应届毕业, 设计, 视觉设计, 昭大网络, 郑州, 大专, 50, 成长型, 电子商务 · 教育
网页设计师, 5, 1, 技术, 前端开发, 广东酷乐, 东莞, 学历不限, 50, 初创型, 游戏 · 文化娱乐
网页设计师, 10, 1, 技术, 前端开发, 韬图教育, 上海, 本科, 50, 成长型, 教育
网页设计师, 8, 3, 设计, 视觉设计, 西游互动, 北京, 大专, 15, 初创型, 移动互联网 · 电子商务
网页设计师, 7, 1, 设计, 视觉设计, 布林特brilliant, 南京, 大专, 50, 初创型, 移动互联网
网页设计师, 5, 1, 设计, 视觉设计, 环融贵金属, 上海, 大专, 150, 初创型, 金融
网页设计师, 10, 3, 设计, 视觉设计, 在首尔, 上海, 学历不限, 15, 成长型, 电子商务 · 旅游
网页设计师, 10, 1, 设计, 视觉设计, 诺亚易捷, 上海, 本科, 150, 成长型, 移动互联网 · 金融
网页设计师, 7, 1, 设计, 视觉设计, 欢聚时代（多玩YY）, 广州, 本科, 2000, 上市公, 移动互联网 · 教育
网页设计师, 6, 3, 设计, 视觉设计, 好网, 西安, 大专, 50, 初创型, 移动互联网 · 电子商务
网页设计师, 8, 不, 设计, 视觉设计, 恒怡程, 南京, 大专, 15, 初创型, 移动互联网 · 电子商务
网页设计师, 11, 不, 设计, 视觉设计, 快课网, 上海, 大专, 15, 初创型, 移动互联网 · 教育
网页设计师, 6, 不, 设计, 视觉设计, 喜柚河南, 郑州, 大专, 15, 初创型, 移动互联网 · 电子商务
网页设计师, 12, 3, 设计, 视觉设计, 云印技术, 深圳, 本科, 50, 成长型, O2O
网页设计师, 4, 1, 设计, 视觉设计, 华元宠物, 杭州, 大专, 150, 成长型, 电子商务
网页设计师, 6, 1, 设计, 视觉设计, 爱特加速器, 厦门, 大专, 50, 成长型, 移动互联网 · O2O
网页设计师, 10, 3, 设计, 视觉设计, 大尚网络, 深圳, 大专, 150, 初创型, 移动互联网
网页设计师, 4, 1, 设计, 视觉设计, 烟台网亿网络, 烟台, 学历不限, 50, 初创型, 移动互联网 · 电子商务
网页设计师, 9, 1, 设计, 视觉设计, 广东酷乐, 东莞, 大专, 50, 初创型, 游戏 · 文化娱乐
网页设计师, 10, 1, 设计, 视觉设计, 神州专车, 天津, 大专, 2000, 上市公, 移动互联网 · 电子商务
网页设计师, 7, 5, 设计, 视觉设计, 安逸软件, 重庆, 大专, 15, 初创型, 电子商务 · 企业服务
网页设计师, 7, 1, 设计, 视觉设计, 车太闲app, 宁波, 本科, 15, 初创型, 移动互联网 · 社交网络
网页设计师（淘宝美工）, 6, 1, 设计, 视觉设计, 大象科技, 广州, 大专, 50, 成长型, 移动互联网
网页设计师, 3, 不, 设计, 视觉设计, 阿甘云, 南京, 学历不限, 15, 初创型, 移动互联网 · 电子商务
网页设计师, 15, 1, 设计, 视觉设计, 隆视传媒, 上海, 学历不限, 15, 初创型, 金融 · 文化娱乐
网页设计师, 4, 不, 设计, 视觉设计, 克瓦拉, 石家庄, 大专, 15, 初创型, 教育 · 生活服务
网页设计师, 6, 不, 设计, 视觉设计, 浙江德发网络科技有限公司, 金华, 大专, 15, 初创型, 移动互联网 · 电子商务
网页设计师, 9, 1, 设计, 视觉设计, 薇凯国际, 上海, 大专, 500, 成熟型, 移动互联网 · 医疗健康
网页设计师, 5, 1, 设计, 视觉设计, 无限动力, 郑州, 大专, 50, 成长型, 移动互联网  · 电子商务
网页设计师, 6, 1, 设计, 视觉设计, 时代互联科技有限公司, 珠海, 大专, 50, 成熟型, 移动互联网
网页设计师, 6, 1, 设计, 视觉设计, 元会, 珠海, 大专, 15, 初创型, 移动互联网 · 电子商务
网页设计师, 12, 1, 设计, 视觉设计, 炫体, 上海, 学历不限, 15, 初创型, 移动互联网 · 社交网络
网页设计师, 4, 1, 设计, 视觉设计, 微精灵, 河源, 学历不限, 50, 成长型, 移动互联网 · 电子商务
网页设计师, 6, 1, 设计, 视觉设计, 爱特众创空间, 厦门, 大专, 50, 成长型, 移动互联网 · 企业服务
网页设计师, 5, 1, 技术, 前端开发, 盼游网, 珠海, 大专, 50, 初创型, 电子商务
网页设计师, 4, 1, 设计, 视觉设计, 淘德网, 佛山, 学历不限, 15, 初创型, 电子商务
网页设计师, 4, 1, 设计, 视觉设计, 安徽省科云网络科技有限公司, 淮南, 学历不限, 15, 初创型, 电子商务
网页设计师, 6, 1, 设计, 视觉设计, 蜂集网, 上海, 大专, 50, 初创型, 移动互联网
网页设计师, 17, 3, 设计, 视觉设计, 上海北辰, 上海, 本科, 15, 初创型, 电子商务 · O2O
网页设计师, 10, 3, 设计, 视觉设计, 广州比呀比信息科技有限公司, 广州, 本科, 15, 成长型, 移动互联网 · 电子商务
网页设计师, 9, 3, 设计, 视觉设计, 万户纳美印刷, 合肥, 大专, 150, 初创型, 电子商务
网页设计师, 10, 3, 设计, 视觉设计, 浙江聚有财, 杭州, 大专, 50, 初创型, 金融
网页设计师, 4, 1, 设计, 视觉设计, 南宁一站网, 南宁, 大专, 150, 初创型, 电子商务
网页设计师, 12, 3, 设计, 视觉设计, 北风网, 上海, 学历不限, 50, 成长型, 教育 · 数据服务
网页设计师, 5, 不, 技术, 前端开发, 联动天下, 佛山, 大专, 15, 初创型, 企业服务 · 数据服务
网页设计师, 11, 1, 设计, 视觉设计, 金苹果教育, 上海, 大专, 50, 初创型, 教育
网页设计师, 8, 1, 设计, 视觉设计, 蜜丝汇, 上海, 本科, 15, 初创型, 移动互联网 · 电子商务
网页设计师, 4, 1, 设计, 视觉设计, 子涵科技, 秦皇岛, 大专, 15, 初创型, 企业服务
网页设计师, 20, 3, 设计, 视觉设计, DEEP深度沟通, 深圳, 大专, 50, 成长型, 企业服务
网页设计师/美工, 6, 1, 设计, 视觉设计, 时代互联科技有限公司, 珠海, 本科, 50, 成熟型, 移动互联网
网页设计师/美工主管, 9, 不, 设计, 视觉设计, 专注于互联网广告营销, 上海, 学历不限, 15, 初创型, 移动互联网 · 广告营销
网页设计师, 5, 1, 技术, 前端开发, 旭海网络, 东莞, 大专, 50, 成长型, 移动互联网
网页设计师, 11, 3, 设计, 视觉设计, 兔狗科技, 杭州, 大专, 500, 成长型, 电子商务
网页设计师, 4, 不, 设计, 视觉设计, 微漫网络, 上海, 本科, 15, 成长型, 移动互联网 · 社交网络
网页设计师, 12, 1, 设计, 视觉设计, 炫体, 上海, 大专, 15, 初创型, 移动互联网 · 社交网络
网页设计师, 11, 1, 设计, 视觉设计, 麦知网, 南京, 大专, 15, 初创型, 移动互联网 · 电子商务
网页设计师, 6, 1, 设计, 视觉设计, 泥鸽靶, 上海, 大专, 15, 初创型, 移动互联网 · 金融
网页设计师, 4, 不, 技术, 前端开发, 逐浪软件, 南昌, 大专, 15, 成长型, 企业服务 · 数据服务
网页设计师, 6, 1, 设计, 视觉设计, 影响力科技, 武汉, 大专, 15, 初创型, 移动互联网 · 企业服务
网页设计师, 5, 不, 设计, 视觉设计, 叁六网络, 广州, 大专, 500, 成熟型, 电子商务 · 数据服务
网页设计师, 7, 1, 设计, 视觉设计, 泥鸽靶, 上海, 大专, 15, 初创型, 移动互联网 · 金融
网页设计师, 4, 不, 设计, 视觉设计, 山景信息技术, 青岛, 大专, 15, 初创型, 移动互联网 · 电子商务
网页设计师, 13, 1, 设计, 视觉设计, 林林文化传播, 上海, 大专, 15, 初创型, 企业服务
网页设计师, 12, 1, 设计, 视觉设计, 奥多科技, 上海, 大专, 50, 成长型, 游戏
网页设计师, 11, 3, 设计, 视觉设计, Activation范思, 上海, 大专, 150, 成长型, 数据服务 · 广告营销
网页设计师, 4, 1, 设计, 视觉设计, 良品电商, 青岛, 大专, 50, 上市公, 移动互联网 · 电子商务
网页设计师, 4, 1年以, 设计, 视觉设计, 良品电商, 青岛, 大专, 50, 上市公, 移动互联网 · 电子商务
网页设计师, 11, 1, 设计, 视觉设计, 远成, 上海, 大专, 2000, 成熟型, 电子商务 · 企业服务
网页设计师, 8, 1, 设计, 视觉设计, 国鼎股份, 杭州, 本科, 50, 初创型, 电子商务 · 金融
网页设计师, 4, 1, 设计, 视觉设计, 米饭网络科技, 三亚, 学历不限, 15, 初创型, 移动互联网 · 其他
网页设计师, 4, 1, 设计, 视觉设计, 楚兴信息科技, 嘉兴, 学历不限, 15, 初创型, 移动互联网 · 电子商务
网页设计师, 6, 1, 设计, 视觉设计, 鼎新软件, 石家庄, 大专, 150, 成熟型, 移动互联网 · 游戏
网页设计师, 6, 1, 设计, 视觉设计, 仕德伟科技, 苏州, 大专, 500, 成熟型, 移动互联网
网页设计师, 6, 1, 设计, 视觉设计, 有戏网络, 武汉, 大专, 50, 成长型, 游戏
网页设计师, 7, 1, 设计, 视觉设计, 盛世控股, 上海, 大专, 50, 初创型, 电子商务 · O2O
网页设计师, 5, 不, 设计, 视觉设计, 青廷科技, 茂名, 大专, 15, 初创型, 移动互联网
网页设计师, 9, 1, 设计, 视觉设计, 房价点评网(克而瑞), 上海, 大专, 500, 上市公, 移动互联网 · O2O
网页设计师, 4, 不, 设计, 视觉设计, 中喜控股, 滨州, 大专, 150, 上市公, 其他
网页设计师, 4, 1, 设计, 视觉设计, 微邻科技, 泉州, 学历不限, 15, 初创型, 移动互联网
网页设计师, 15, 3, 设计, 视觉设计, vivo智能手机互联网中心, 东莞, 本科, 2000, 初创型, 移动互联网
网页设计师, 7, 1, 设计, 视觉设计, 互动体育, 济南, 大专, 15, 初创型, 移动互联网 · 文化娱乐
网页设计师, 9, 1, 设计, 视觉设计, 中国保税网, 深圳, 大专, 15, 初创型, 电子商务 · O2O
网页设计师, 4, 应届毕业, 设计, 视觉设计, 亿超眼镜, 杭州, 大专, 50, 成长型, 电子商务 · O2O
