职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
律师, 6, 1, 职能, 法务, 律团, 深圳, 本科, 15, 初创型, 移动互联网 · O2O
律师, 11, 3, 职能, 法务, 朵拉唛儿, 广州, 本科, 15, 初创型, 文化娱乐
律师, 9, 3, 职能, 法务, 远成集团, 武汉, 大专, 150, 成熟型, 电子商务
律师, 9, 3, 职能, 法务, 远成集团, 武汉, 本科, 150, 成熟型, 电子商务
律师, 30, 3, 职能, 法务, 朗朗时间APP, 深圳, 本科, 15, 初创型, 移动互联网 · 其他
律师, 9, 3, 职能, 法务, 湖北远成, 武汉, 大专, 500, 初创型, 电子商务 · 广告营销
律师, 9, 3, 职能, 法务, 湖北远成, 武汉, 本科, 500, 初创型, 电子商务 · 广告营销
律师, 12, 3, 职能, 法务, 58同城, 北京, 本科, 2000, 上市公, 生活服务 · 分类信息
律师, 15, 1, 金融, 风控, 红缘, 北京, 本科, 15, 初创型, 移动互联网
律师, 15, 不, 职能, 法务, 上海法率, 上海, 本科, 15, 初创型, 移动互联网
律师, 15, 3, 职能, 法务, 叽叽科技, 上海, 本科, 15, 初创型, 移动互联网 · 医疗健康
律师/法务, 6, 不, 金融, 风控, 启创资本, 杭州, 本科, 15, 初创型, 移动互联网 · 企业服务
律师, 6, 1, 职能, 法务, 洪茂科技, 成都, 本科, 15, 初创型, 移动互联网
律师, 6, 3, 职能, 法务, 武汉远成赛创科技有限公司, 武汉, 本科, 500, 初创型, 电子商务
律师, 6, 3, 职能, 法务, 远城科技, 武汉, 本科, 500, 初创型, 其他
律师（武昌区）, 9, 3, 职能, 法务, 远成集团, 武汉, 本科, 150, 成熟型, 电子商务
律师, 11, 3, 职能, 法务, 湖北远成, 武汉, 本科, 500, 初创型, 电子商务 · 广告营销
律师, 9, 3, 职能, 法务, 湖北远成, 武汉, 本科, 500, 初创型, 电子商务 · 广告营销
律师, 8, 3, 职能, 法务, 武汉远成赛创科技有限公司, 武汉, 大专, 500, 初创型, 电子商务
律师/法务, 6, 不, 金融, 风控, 网创科技, 杭州, 本科, 50, 初创型, 移动互联网 · 社交网络
律师, 15, 不, 职能, 法务, 法邦鼎盛, 北京, 学历不限, 50, 初创型, 其他
律师, 1, 10年以, 金融, 风控, 四吉移动, 北京, 博士, 500, 成熟型, 移动互联网
律师, 7, 5, 职能, 法务, 武汉远成赛创科技有限公司, 武汉, 本科, 500, 初创型, 电子商务
律师, 7, 1, 金融, 风控, 长金所, 北京, 本科, 500, 初创型, O2O · 金融
律师, 12, 3, 职能, 法务, 知投（股权众筹家）, 北京, 本科, 50, 成长型, 移动互联网 · 金融
律师, 30, 3, 金融, 风控, 奇虎360金融, 北京, 本科, 500, 上市公, 金融 · 其他
律师, 12, 5, 金融, 风控, 华赢咨询, 北京, 本科, 150, 初创型, 金融 · 招聘
律师, 7, 3, 职能, 法务, 浩东律所, 北京, 本科, 500, 初创型, 其他
律师, 12, 1, 职能, 法务, 中安德信（北京）, 北京, 本科, 50, 成长型, 移动互联网 · 企业服务
合作律师, 7, 1, 职能, 法务, 洪茂科技, 深圳, 本科, 15, 初创型, 移动互联网
律师, 6, 10年以, 职能, 法务, 湖北远成, 武汉, 本科, 500, 初创型, 电子商务 · 广告营销
企业律师, 11, 5, 职能, 法务, 湖北远成, 武汉, 大专, 500, 初创型, 电子商务 · 广告营销
律师用户运营, 4, 应届毕业, 运营, 运营, 中顾集团, 济南, 大专, 150, 上市公, 移动互联网 · 广告营销
基金律师, 17, 3, 职能, 法务, 律师平台, 北京, 本科, 15, 成长型, 移动互联网 · 文化娱乐
内控律师, 12, 3, 金融, 风控, 北京全域技术, 北京, 本科, 50, 成长型, 医疗健康 · 数据服务
基金法务律师, 20, 3, 职能, 法务, 金魔方, 深圳, 本科, 15, 初创型, 金融
实习律师, 1, 不, 职能, 法务, 及时及予, 北京, 本科, 50, 初创型, 移动互联网 · 游戏
专职律师, 1, 1, 职能, 法务, 上海海耀律所, 上海, 本科, 15, 初创型, 生活服务 · 其他
律师顾问, 20, 3, 职能, 法务, 精益资本, 上海, 本科, 15, 初创型, 金融 · 数据服务
