职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
专利, 15, 3, 职能, 法务, 聚励云机械, 杭州, 大专, 15, 成长型, 移动互联网 · 其他
专利, 12, 1, 职能, 法务, 有品 PICOOC, 北京, 本科, 50, 成长型, 移动互联网
专利, 3, 1年以, 职能, 法务, 华诺星空, 长沙, 大专, 150, 成长型, 硬件 · 其他
专利工程师, 11, 1, 职能, 法务, 妙计旅行, 北京, 本科, 50, 成长型, 旅游
专利工程师, 22, 3, 职能, 法务, 幻世网络, 厦门, 本科, 50, 成长型, 移动互联网
专利工程师, 13, 不, 职能, 法务, 智慧芽, 苏州, 本科, 150, 成长型, 移动互联网
专利工程师, 9, 1, 职能, 法务, 世纪鼎点, 北京, 本科, 50, 成长型, 文化娱乐
高级专利, 17, 5, 职能, 法务, 有品 PICOOC, 北京, 本科, 50, 成长型, 移动互联网
专利工程师, 15, 1, 职能, 法务, 北京智能管家科技有限公司, 北京, 本科, 150, 成长型, 硬件
专利, 22, 5, 职能, 法务, 网易, 北京, 本科, 2000, 上市公, 数据服务 · 文化娱乐
专利, 5, 应届毕业, 职能, 法务, 同达信恒, 北京, 硕士, 150, 成长型, 企业服务 · 数据服务
专利工程师, 15, 1, 职能, 法务, 智圈, 深圳, 本科, 15, 初创型, O2O
专利代理人, 6, 1, 职能, 法务, 权大师 智慧商标搜索注册平台, 北京, 硕士, 15, 初创型, 移动互联网
专利工程师, 17, 5, 职能, 法务, SenseTime, 深圳, 本科, 50, 成长型, 移动互联网
专利工程师, 17, 5, 职能, 法务, SenseTime, 深圳, 本科, 150, 成长型, 移动互联网
专利工程师, 15, 1, 职能, 法务, 步步高教育电子有限公司, 东莞, 本科, 500, 成熟型, 教育
专利工程师, 12, 1, 职能, 法务, 智物联, 深圳, 本科, 50, 成长型, 移动互联网 · 企业服务
专利专员, 7, 不, 职能, 法务, 好未来（原学而思）, 北京, 本科, 2000, 上市公, 移动互联网 · 教育
专利工程师, 12, 不, 职能, 法务, GFT, 上海, 本科, 15, 成长型, 金融 · 数据服务
专利工程师, 12, 不, 职能, 法务, GFT, 上海, 本科, 15, 成长型, 移动互联网 · 金融
专利工程师, 6, 不, 职能, 法务, 北京微乎科技有限公司, 北京, 本科, 15, 初创型, 信息安全
专利工程师, 12, 1, 职能, 法务, 赛亿科技, 深圳, 大专, 150, 成熟型, 移动互联网 · 数据服务
专利工程师, 10, 1, , 专利, 轻客智能, 北京, 本科, 50, 成长型, 硬件
专利工程师, 6, 1, 职能, 法务, 博士科技, 广州, 本科, 150, 初创型, 移动互联网 · O2O
高级专利工程师, 8, 3, 职能, 法务, 安天, 哈尔滨, 学历不限, 150, 成长型, 信息安全
专利工程师, 7, 不, 职能, 法务, CosBeauty, 深圳, 本科, 50, 成长型, 移动互联网 · 硬件
专利工程师, 7, 1, 职能, 法务, 宝码钱包, 上海, 本科, 15, 初创型, 移动互联网 · 金融
专利专员, 3, 不, 技术, 硬件开发, 天津听海, 天津, 大专, 15, 初创型, 移动互联网 · 企业服务
专利工程师, 22, 3, 职能, 法务, 元达律师事务所, 上海, 本科, 150, 成长型, 其他
专利工程师(料理电器事业部), 7, 不, 职能, 法务, 九阳, 杭州, 本科, 2000, 上市公, 生活服务  · 硬件
资深专利代理人, 17, 3, 职能, 法务, 智圈, 深圳, 本科, 15, 初创型, O2O
知识产权与专利, 15, 5, 职能, 法务, 有品 PICOOC, 北京, 本科, 50, 成长型, 移动互联网
专利律师, 11, 3, 金融, 风控, 亿航创世科技（广州分公司）, 广州, 大专, 150, 成长型, 移动互联网 · 硬件
专利项目助理（文案）, 6, 不, 职能, 法务, 北京科慧远咨询有限公司, 北京, 本科, 15, 初创型, 企业服务
专利代理人, 15, 1, , 投资顾问, 中细软, 北京, 本科, 500, 成熟型, 移动互联网 · 电子商务
专利律师, 11, 3, 金融, 风控, 亿航智能无人机Ehang, 广州, 大专, 150, 成长型, 移动互联网 · 硬件
专利/项目申报专员, 6, 1, 职能, 法务, 易起来, 深圳, 大专, 50, 初创型, 移动互联网 · 硬件
专利数据产品经理, 10, 不, 产品, 产品经理, 智慧芽, 苏州, 本科, 150, 成长型, 移动互联网
专利主管, 17, 5, 职能, 法务, 猎豹移动, 北京, 本科, 500, 上市公, 移动互联网 · 信息安全
专利代理工程师, 22, 不, 技术, 高端技术职位, 港专深圳, 深圳, 硕士, 150, 成长型, 其他
专利数据产品经理, 12, 3, 产品, 产品经理, 智慧芽, 苏州, 本科, 150, 成长型, 移动互联网
2016校招——专利专员, 4, 应届毕业, 职能, 法务, 好未来（原学而思）, 北京, 本科, 2000, 上市公, 移动互联网 · 教育
知识产权/专利律师, 8, 1, 职能, 法务, 亿航创世科技（广州分公司）, 广州, 大专, 150, 成长型, 移动互联网 · 硬件
专利工程师-海外留学生职位, 9, 应届毕业, 技术, 硬件开发, 海信多媒体研发中心, 青岛, 本科, 50, 成长型, 硬件
知识产权/专利律师, 8, 1, 职能, 法务, 亿航智能无人机Ehang, 广州, 大专, 150, 成长型, 移动互联网 · 硬件
急聘专利部总监/经理, 22, 10年以, 市场与销售, 市场/营销, 尚标知识产权企业, 上海, 大专, 50, 初创型, 企业服务
