职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
数据产品经理, 22, 3, 产品, 产品经理, 房多多, 上海, 本科, 2000, 成熟型, 移动互联网 · O2O
数据产品经理, 15, 不, 产品, 产品经理, 名传, 上海, 学历不限, 50, 成长型, 电子商务 · 数据服务
数据产品经理, 19, 3, 产品, 产品经理, 汽车之家, 北京, 本科, 2000, 上市公, 移动互联网 · 文化娱乐
数据产品经理, 21, 3, 产品, 产品经理, 汽车之家, 北京, 本科, 2000, 上市公, 移动互联网 · 文化娱乐
数据产品经理, 22, 3, 产品, 产品经理, 考拉FM, 北京, 学历不限, 500, 成长型, 移动互联网
数据产品经理, 15, 不, 产品, 产品经理, 极光推送, 深圳, 本科, 50, 成长型, 移动互联网 · 金融
数据产品经理, 22, 3, 产品, 产品经理, 360, 北京, 本科, 2000, 上市公, 移动互联网 · 游戏
数据产品经理, 17, 1, 产品, 产品经理, 一号货车, 上海, 本科, 500, 成长型, 移动互联网 · O2O
数据产品经理, 20, 3, 产品, 产品经理, 美团外卖, 北京, 本科, 2000, 成熟型, 移动互联网 · O2O
数据产品经理, 15, 1, 产品, 产品经理, 贝贝网, 杭州, 本科, 500, 成熟型, 电子商务
数据产品经理, 20, 3, 产品, 产品经理, 美团外卖, 北京, 本科, 2000, 成熟型, 移动互联网 · O2O
数据产品经理, 15, 1, 产品, 产品经理, 神州佳教, 北京, 本科, 50, 成长型, 移动互联网 · 教育
数据产品经理, 20, 3, 产品, 产品经理, 阿里巴巴移动事业群, 广州, 本科, 2000, 上市公, 移动互联网
数据产品经理/总监, 27, 3, 产品, 产品经理, DataEye, 深圳, 本科, 50, 成长型, 移动互联网 · 游戏
数据产品经理, 22, 1, 产品, 产品经理, 网金控股, 广州, 本科, 150, 成长型, 移动互联网 · 金融
数据产品经理, 23, 不, 产品, 产品经理, 汽车之家, 北京, 学历不限, 2000, 上市公, 移动互联网 · 文化娱乐
数据产品经理, 20, 1, 产品, 产品经理, 寻牛, 北京, 本科, 50, 成长型, 移动互联网 · 金融
数据产品经理, 21, 3, 产品, 产品经理, 沪江, 上海, 本科, 500, 成熟型, 移动互联网 · 教育
数据产品经理, 25, 3, 技术, dba, 返利网, 上海, 本科, 500, 成熟型, 电子商务
数据产品经理（风控）, 22, 3, 产品, 产品经理, 宜信公司, 北京, 本科, 2000, 成熟型, 移动互联网 · 金融
数据产品经理, 12, 1, 产品, 产品经理, 兼职猫, 广州, 大专, 150, 成长型, 移动互联网  · O2O
数据产品经理, 15, 1, 产品, 产品经理, 普惠金融, 北京, 本科, 2000, 成长型, 金融
数据产品经理, 26, 3, 产品, 产品经理, 百分点, 北京, 本科, 500, 成熟型, 数据服务
高级数据产品经理, 25, 3, 产品, 产品经理, 汽车之家, 北京, 本科, 2000, 上市公, 移动互联网 · 文化娱乐
数据产品经理, 15, 1, 产品, 产品经理, 爱上租, 杭州, 本科, 500, 初创型, 移动互联网 · O2O
数据产品经理, 18, 1, 产品, 产品经理, 正邦创意, 北京, 本科, 500, 成熟型, 移动互联网 · 广告营销
产品经理-数据, 20, 1, 产品, 产品经理, 美团网, 北京, 本科, 2000, 成熟型, 移动互联网 · O2O
数据产品经理, 15, 1, 产品, 产品经理, 珠海筑巢, 珠海, 本科, 15, 初创型, 移动互联网 · 电子商务
数据产品经理, 20, 1, 产品, 产品经理, 易车公司, 北京, 大专, 2000, 上市公, 移动互联网 · 电子商务
数据产品经理, 24, 1, 产品, 产品经理, 学霸君, 北京, 本科, 150, 成长型, 移动互联网 · 教育
数据产品经理, 15, 1, 产品, 产品经理, 58同城, 北京, 本科, 2000, 上市公, 生活服务 · 分类信息
数据产品经理, 15, 1, 产品, 产品经理, 云帆世纪, 深圳, 本科, 50, 成长型, 数据服务
数据高级产品经理, 25, 3, 产品, 产品经理, 天天用车, 北京, 本科, 150, 成熟型, 移动互联网
数据产品经理, 22, 3, 技术, dba, 返利网, 上海, 本科, 500, 成熟型, 电子商务
数据产品经理, 32, 3, 产品, 产品经理, 悦美网, 北京, 本科, 50, 成长型, 移动互联网 · O2O
数据产品经理, 20, 1, 产品, 产品经理, 美团网, 北京, 本科, 2000, 成熟型, 移动互联网 · O2O
数据产品经理, 22, 3, 产品, 产品经理, 丁丁租房, 北京, 本科, 2000, 成熟型, 移动互联网
数据产品经理, 22, 1, 产品, 产品经理, 泰一奇点, 北京, 本科, 15, 成长型, 移动互联网
数据产品经理, 25, 3, 产品, 产品经理, 返利网, 上海, 本科, 150, 成熟型, 电子商务
数据产品经理, 15, 3, 产品, 产品经理, 云智数据, 深圳, 本科, 15, 初创型, O2O
数据产品经理, 25, 3, 产品, 产品经理, 上海眯客, 上海, 本科, 150, 成长型, 移动互联网 · O2O
数据产品经理, 15, 3, 产品, 产品经理, 小美快购, 杭州, 本科, 150, 成长型, 移动互联网 · O2O
数据产品经理, 22, 不, 产品, 产品经理, 多点Dmall, 北京, 学历不限, 500, 初创型, 电子商务 · O2O
数据产品经理, 20, 3, 产品, 产品经理, umeng, 北京, 本科, 150, 成熟型, 移动互联网 · 社交网络
数据产品经理, 20, 3, 产品, 产品经理, 58同城, 北京, 本科, 2000, 上市公, 生活服务 · 分类信息
数据产品经理, 13, 1, 产品, 产品经理, 银汉, 广州, 大专, 500, 成长型, 移动互联网 · 游戏
数据产品经理, 22, 3, 产品, 产品经理, 优分期, 北京, 本科, 500, 成长型, 电子商务 · 金融
数据产品经理, 10, 不, 产品, 产品经理, 动脉网, 重庆, 本科, 15, 初创型, 移动互联网 · 医疗健康
数据产品经理, 15, 3, 产品, 产品经理, Camera360, 成都, 本科, 150, 成长型, 移动互联网
数据产品经理, 20, 3, 产品, 产品经理, 一起作业网, 北京, 本科, 150, 成熟型, 移动互联网 · 教育
数据产品经理, 22, 3, 产品, 产品经理, 丁丁租房, 北京, 本科, 2000, 成熟型, 移动互联网
数据产品经理, 11, 1, 产品, 产品经理, 舜飞科技, 广州, 本科, 50, 成长型, 移动互联网
数据产品经理, 20, 3, 产品, 产品经理, 淡蓝网Blued, 北京, 本科, 50, 成长型, 移动互联网 · 社交网络
数据产品经理, 15, 3, 产品, 产品经理, 浙江执御信息技术有限公司, 杭州, 大专, 150, 成长型, 移动互联网 · 数据服务
数据产品经理, 20, 3, 产品, 产品经理, 国信创新, 北京, 本科, 150, 成长型, 移动互联网
数据产品经理, 11, 3, 产品, 产品经理, 发源地, 上海, 大专, 15, 初创型, 企业服务 · 数据服务
数据产品经理, 20, 3, 产品, 产品经理, 唯品会, 广州, 本科, 2000, 上市公, 电子商务
数据产品经理, 15, 3, 产品, 产品经理, 大北农集团, 北京, 本科, 2000, 上市公, 金融 · 移动互联网
数据产品经理, 20, 5, 产品, 产品经理, 苏宁云商, 南京, 本科, 2000, 上市公, O2O
数据产品经理, 30, 3, 产品, 产品经理, 鸿冠物流, 深圳, 学历不限, 150, 成熟型, O2O · 生活服务
数据产品经理, 22, 3, 产品, 产品经理, 猎豹移动, 北京, 本科, 500, 上市公, 移动互联网 · 信息安全
数据产品经理, 11, 1, 产品, 产品经理, OFashion, 北京, 本科, 50, 成长型, 移动互联网 · 电子商务
数据产品经理, 17, 3, 产品, 产品经理, 盛川康健, 北京, 大专, 150, 成长型, 移动互联网
数据产品经理, 20, 1, 产品, 产品经理, 微智全景, 北京, 本科, 150, 成长型, 移动互联网  · O2O
数据产品经理, 16, 3, 产品, 产品经理, 金螳螂企业集团, 苏州, 本科, 2000, 上市公, O2O
数据产品经理, 22, 1, 产品, 产品经理, 美团网, 北京, 本科, 2000, 成熟型, 移动互联网 · O2O
数据产品经理, 30, 5, 产品, 产品经理, 风奇科技, 北京, 本科, 15, 初创型, 移动互联网
数据产品经理, 23, 3, 产品, 产品经理, 酷传, 北京, 本科, 15, 成长型, 移动互联网
数据产品经理, 8, 1, 产品, 产品经理, 央视网（中国网络电视台）, 北京, 本科, 500, 成熟型, 移动互联网 · 文化娱乐
数据产品经理, 20, 3, 产品, 产品经理, 国信创新, 北京, 本科, 150, 成长型, 移动互联网
数据产品经理, 11, 3, 产品, 产品经理, 网易, 北京, 本科, 2000, 上市公, 数据服务 · 文化娱乐
数据产品经理, 20, 3, 产品, 产品经理, 中国网库, 北京, 学历不限, 500, 上市公, 电子商务 · 企业服务
数据产品经理, 12, 3, 产品, 产品经理, 北京灵集科技有限公司, 北京, 本科, 50, 成长型, 移动互联网 · 数据服务
数据产品经理, 20, 3, 产品, 产品经理, 金葵花网络, 北京, 大专, 50, 成长型, 金融
数据产品经理, 16, 3, 产品, 产品经理, e代驾, 北京, 本科, 500, 成熟型, 移动互联网 · O2O
数据产品经理, 15, 1, 产品, 产品经理, 一码证, 深圳, 本科, 15, 初创型, 移动互联网 · 数据服务
数据产品经理, 22, 5, 产品, 产品经理, 宜信公司, 北京, 本科, 2000, 成熟型, 移动互联网 · 金融
数据产品经理, 22, 3, 产品, 产品经理, 宜信公司, 北京, 本科, 2000, 成熟型, 移动互联网 · 金融
数据产品经理, 22, 3, 产品, 产品经理, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
汽车网数据产品经理, 10, 1, 产品, 产品经理, 太平洋网络科技有限公司, 广州, 本科, 500, 上市公, 电子商务 · 生活服务
数据产品经理, 20, 3, 产品, 产品经理, 宁芙数据, 北京, 本科, 50, 成长型, 移动互联网 · 数据服务
数据产品经理, 25, 3, 产品, 产品经理, 知藏, 北京, 本科, 15, 初创型, 移动互联网
数据产品经理, 30, 5, 产品, 产品经理, 广发证券, 深圳, 硕士, 2000, 上市公, 金融
数据产品经理, 15, 3, 产品, 产品经理, 莲子数据, 杭州, 本科, 15, 初创型, 移动互联网 · 数据服务
数据产品经理, 15, 3, 产品, 产品经理, 人人车, 北京, 本科, 500, 成熟型, O2O
数据产品经理, 20, 1, 产品, 产品经理, 车语传媒, 北京, 本科, 500, 成长型, 移动互联网 · O2O
数据产品经理, 17, 3, 产品, 产品经理, 百融金服, 北京, 本科, 50, 成长型, 金融 · 数据服务
数据产品经理, 22, 3, 产品, 产品经理, 一点资讯, 北京, 本科, 150, 成熟型, 移动互联网
数据产品经理, 14, 1, 产品, 产品经理, 陌陌, 北京, 本科, 150, 上市公, 社交网络
数据产品经理, 21, 1, 产品, 产品经理, TalkingData, 北京, 本科, 150, 成熟型, 移动互联网
资深数据产品经理, 15, 3, 产品, 产品经理, 智慧芽, 苏州, 本科, 150, 成长型, 移动互联网
数据产品经理, 22, 3, 产品, 产品经理, 直订网, 北京, 大专, 50, 初创型, 移动互联网 · 生活服务
数据产品经理, 18, 1, 产品, 产品经理, 美团网, 北京, 本科, 2000, 成熟型, 移动互联网 · O2O
数据产品经理, 16, 1, 产品, 产品经理, 美团网, 北京, 本科, 2000, 成熟型, 移动互联网 · O2O
数据产品经理, 22, 3, 产品, 产品经理, 物美商业集团, 北京, 本科, 2000, 初创型, 其他
数据产品经理, 23, 3, 产品, 产品经理, 爱上旅游, 上海, 本科, 50, 成长型, 移动互联网 · 旅游
数据产品经理, 15, 1, 产品, 产品经理, 又一车, 上海, 本科, 50, 成长型, O2O
数据产品经理, 21, 3, 产品, 产品经理, 京东商城, 北京, 本科, 2000, 上市公, 电子商务
数据产品经理, 7, 1, 产品, 产品经理, 潇湘书院, 武汉, 大专, 50, 成熟型, 移动互联网
数据产品经理, 14, 不, 产品, 产品经理, 同程旅游, 苏州, 大专, 2000, 成熟型, 移动互联网 · 旅游
数据产品经理, 22, 3, 产品, 产品经理, 英富森, 北京, 本科, 2000, 初创型, 移动互联网 · 电子商务
数据产品经理, 22, 3, 产品, 产品经理, 阿里巴巴移动事业群, 广州, 硕士, 2000, 上市公, 移动互联网
数据产品经理, 15, 1, 产品, 产品经理, 车来了, 北京, 本科, 150, 成长型, 移动互联网 · 数据服务
高级数据产品经理, 22, 3, 产品, 高端产品职位, 闻天下, 北京, 本科, 15, 初创型, 移动互联网 · 文化娱乐
数据产品经理, 17, 3, 产品, 产品经理, 金融界网站（互联网证券）, 北京, 本科, 500, 上市公, 金融 · 文化娱乐
数据产品经理, 20, 3, 产品, 产品经理, 房链众筹, 北京, 本科, 50, 成长型, 移动互联网
数据产品经理, 14, 1, 产品, 产品经理, 陌陌, 北京, 本科, 150, 上市公, 社交网络
数据产品经理, 20, 5, 产品, 产品经理, 中国网库, 北京, 本科, 500, 上市公, 电子商务
数据产品经理（云计算）, 30, 3, 产品, 产品经理, 南电科技, 北京, 本科, 2000, 成熟型, 电子商务 · 数据服务
数据产品经理, 9, 1, 运营, 运营, 集合号, 北京, 本科, 15, 成长型, 移动互联网 · 企业服务
数据产品经理, 20, 5, 产品, 产品经理, 深圳市泰久信息系统股份有限公司, 深圳, 大专, 500, 成熟型, 移动互联网 · 金融
数据产品经理, 15, 3, 产品, 产品经理, 京东商城, 北京, 本科, 2000, 上市公, 电子商务
