职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
游戏策划, 15, 3, 产品, 产品经理, 仙境乐网, 北京, 本科, 50, 成长型, 移动互联网 · 游戏
游戏策划, 12, 1, 产品, 产品经理, 小心眼, 深圳, 大专, 15, 初创型, 移动互联网 · 医疗健康
游戏策划, 6, 1, 产品, 产品经理, 启云软件, 合肥, 本科, 50, 初创型, 移动互联网
游戏策划, 15, 1, 产品, 产品经理, 凡游funyou, 杭州, 本科, 15, 初创型, 游戏
游戏策划, 15, 1, 产品, 产品经理, 深圳比麟科技, 深圳, 大专, 15, 成长型, 移动互联网 · 游戏
游戏策划, 4, 不, 产品, 产品经理, 游道易（南京）, 南京, 大专, 150, 成长型, 移动互联网
游戏策划, 4, 1, 产品, 产品经理, 奥多科技, 上海, 大专, 50, 成长型, 游戏
游戏策划（系统）, 9, 不, 产品, 产品经理, 第七天堂, 深圳, 大专, 15, 成长型, 移动互联网 · 游戏
游戏策划（数值）, 12, 1, 产品, 产品经理, 第七天堂, 深圳, 本科, 15, 成长型, 移动互联网 · 游戏
游戏策划, 6, 不, 设计, 用户研究, GDEGAME, 上海, 本科, 150, 成长型, 游戏
游戏策划, 22, 3, 产品, 产品经理, 句多网络, 上海, 本科, 15, 初创型, 游戏
游戏策划, 12, 3, 产品, 产品经理, 句多网络, 上海, 本科, 15, 初创型, 游戏
游戏策划, 9, 1, 产品, 产品经理, 奥多科技, 上海, 大专, 50, 成长型, 游戏
游戏策划, 9, 3, 产品, 产品经理, 创意板, 广州, 大专, 15, 成长型, 移动互联网 · 金融
游戏策划, 10, 3, 产品, 产品经理, 漫聚信息, 上海, 大专, 15, 初创型, 移动互联网 · 游戏
游戏策划, 12, 3, 产品, 产品经理, 句多网络, 上海, 本科, 15, 初创型, 游戏
游戏策划, 15, 1, 产品, 产品经理, 句多网络, 上海, 本科, 15, 初创型, 游戏
游戏策划, 16, 1, 产品, 产品经理, 墨橙, 杭州, 学历不限, 15, 初创型, 游戏
游戏策划, 9, 1, 产品, 产品经理, 有乐游戏, 上海, 大专, 50, 初创型, 移动互联网 · 游戏
游戏策划, 5, 不, 产品, 产品经理, 启云软件, 合肥, 大专, 50, 初创型, 移动互联网
游戏策划, 11, 不, 产品, 产品经理, 多益网络成都公司, 成都, 学历不限, 500, 成熟型, 移动互联网 · 游戏
游戏策划, 22, 3, 产品, 产品经理, 腾讯, 深圳, 本科, 2000, 上市公, 移动互联网  · 游戏
