职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
无线产品设计师, 27, 3, 产品, 产品设计师, 和创科技, 杭州, 本科, 2000, 上市公, 移动互联网
无线产品设计师（报销面试车费）, 12, 1, 产品, 产品设计师, 么么直播, 上海, 大专, 50, 成长型, 移动互联网 · 社交网络
无线产品设计师, 12, 1, 产品, 产品设计师, 纵横天下, 福州, 本科, 50, 成长型, 移动互联网 · 电子商务
无线产品设计师, 12, 1, 产品, 产品设计师, 周百通科技, 广州, 本科, 15, 成长型, 移动互联网 · O2O
无线产品设计师, 6, 1, 产品, 产品设计师, 吃喝惠州, 惠州, 学历不限, 15, 初创型, 移动互联网
无线产品设计师, 21, 3, 产品, 产品设计师, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
无线产品设计师, 9, 1, 产品, 产品设计师, 讯点三维, 杭州, 本科, 15, 初创型, 数据服务 · 硬件
无线产品设计师, 22, 1, 产品, 产品设计师, 脆饼旅行, 杭州, 本科, 15, 成长型, 移动互联网 · 旅游
无线产品设计师, 27, 3, 产品, 产品设计师, 和创科技, 北京, 本科, 2000, 上市公, 移动互联网
无线产品设计师, 12, 3, 产品, 产品设计师, 中彩在线, 北京, 本科, 150, 成长型, 电子商务 · 金融
无线产品设计师, 11, 1, 产品, 产品设计师, 毛遂网, 上海, 学历不限, 15, 初创型, 招聘
无线产品设计师, 13, 1, 产品, 产品设计师, 龙席, 杭州, 学历不限, 150, 成长型, 电子商务
无线产品设计师, 5, 1, 产品, 产品设计师, 爱加公司, 南宁, 大专, 50, 初创型, O2O
无线产品设计师, 7, 1, 产品, 产品设计师, 漫联, 北京, 大专, 15, 成长型, 游戏 · 文化娱乐
无线产品设计师, 11, 3, 产品, 产品设计师, 奇象理财, 北京, 大专, 15, 初创型, 移动互联网 · 金融
无线产品设计师, 10, 1, 产品, 产品设计师, 麦豆科技, 北京, 大专, 50, 成长型, 移动互联网
无线产品设计师, 17, 3, 产品, 产品设计师, 凯斯美, 北京, 学历不限, 15, 初创型, 移动互联网 · O2O
无线产品设计师, 11, 1, 产品, 产品设计师, 见达网络, 上海, 学历不限, 15, 成长型, 移动互联网 · 电子商务
无线产品设计师, 10, 1, 产品, 产品设计师, 巴乐兔, 上海, 大专, 50, 初创型, 移动互联网
无线产品设计师, 20, 不, 产品, 产品设计师, 融360, 北京, 本科, 500, 成熟型, 移动互联网 · 金融
无线产品设计师, 12, 1, 产品, 产品设计师, 织天网络, 杭州, 学历不限, 15, 初创型, 移动互联网 · O2O
无线产品设计师, 12, 1, 产品, 产品设计师, 北京画画的人科技有限公司, 北京, 学历不限, 15, 初创型, 移动互联网 · 社交网络
无线产品设计师, 7, 1, 产品, 产品设计师, 上海鲁朗网络科技有限公司, 上海, 学历不限, 150, 初创型, 移动互联网 · 游戏
无线产品设计师, 7, 不, 产品, 产品设计师, 妈妈外卖, 厦门, 学历不限, 15, 初创型, O2O
无线产品设计师, 6, 1, 产品, 产品设计师, 优蓓教育, 郑州, 本科, 50, 成长型, 移动互联网 · 教育
无线产品设计师, 9, 1, 产品, 产品设计师, 京瑞, 成都, 大专, 15, 初创型, 移动互联网 · 电子商务
无线产品设计师, 12, 1, 产品, 产品设计师, 鸡窝网, 北京, 本科, 15, 初创型, 移动互联网 · 电子商务
无线产品设计师, 10, 不, 产品, 产品设计师, 宣牛网络, 杭州, 大专, 15, 初创型, 移动互联网 · 电子商务
无线产品设计师, 11, 3, 产品, 产品设计师, 植华品牌设计公司, 深圳, 大专, 15, 初创型, 电子商务 · 其他
无线产品设计师, 8, 3, 产品, 产品设计师, 油联石化, 北京, 本科, 50, 初创型, 移动互联网
无线产品设计师, 10, 1, 产品, 产品设计师, 知网, 北京, 本科, 2000, 上市公, 移动互联网 · 电子商务
无线产品设计师, 10, 不, 产品, 产品设计师, 魔方盒子, 北京, 学历不限, 15, 初创型, 移动互联网 · 电子商务
无线产品设计师, 22, 3, 产品, 产品设计师, 今聿科技, 北京, 本科, 15, 初创型, 电子商务 · 移动互联网
无线产品设计师, 22, 3, 产品, 产品设计师, 安邦保险集团 邦融汇, 北京, 本科, 2000, 成熟型, 金融
无线产品设计师, 17, 1, 产品, 产品设计师, 139ME, 北京, 学历不限, 15, 初创型, 移动互联网
无线产品设计师, 9, 1, 产品, 产品设计师, 轩然教育科技, 北京, 大专, 15, 初创型, 移动互联网 · 教育
无线产品设计师（康桥e家）, 9, 1, 产品, 产品设计师, 康桥网络, 深圳, 本科, 15, 初创型, 移动互联网 · 医疗健康
无线产品设计师, 7, 1, 产品, 产品设计师, 云狐时代, 北京, 本科, 150, 成长型, 移动互联网
无线产品设计师, 12, 1年以, 产品, 产品设计师, 嘉芸汇, 北京, 学历不限, 15, 初创型, 企业服务
无线产品设计师, 15, 3, 产品, 产品设计师, 北京九龙蓝海科技有限公司, 北京, 大专, 150, 成长型, 移动互联网
无线产品设计师, 9, 1年以, 产品, 产品设计师, 北京首映时光科技有限公司, 北京, 本科, 15, 成长型, 移动互联网
设计, 15, 5, 设计, 交互设计, 智慧芽, 苏州, 本科, 150, 成长型, 移动互联网
空间设计师, 15, 3, 设计, 视觉设计, OPPO, 深圳, 本科, 2000, 成熟型, 移动互联网
高级设计师, 10, 1, 设计, 高端设计职位, 挖豆app, 厦门, 本科, 15, 成长型, 移动互联网
设计Leader, 22, 3, 设计, 高端设计职位, 创新谷, 深圳, 学历不限, 150, 初创型, 移动互联网
设计师, 15, 1, 设计, 视觉设计, 房多多, 上海, 本科, 2000, 成熟型, 移动互联网  · 电子商务
产品包装设计, 11, 1, 设计, 视觉设计, 猛联科技, 广州, 本科, 15, 初创型, 移动互联网
高级设计师, 22, 3, 设计, 视觉设计, 房多多, 上海, 本科, 2000, 成熟型, 移动互联网  · 电子商务
产品包装设计, 6, 5, 设计, 视觉设计, 宠宠熊, 上海, 大专, 150, 成长型, 电子商务
安防规划设计师, 17, 5, 设计, 高端设计职位, 大横琴科技, 珠海, 本科, 50, 成长型, 企业服务 · 数据服务
人像设计师, 5, 不, 设计, 视觉设计, 落地创意, 武汉, 大专, 150, 成长型, 电子商务 · 数据服务
产品包装设计, 6, 3, 设计, 视觉设计, 宠宠熊, 上海, 本科, 150, 成长型, 电子商务
设计师, 4, 不, 设计, 高端设计职位, 物联传感, 深圳, 大专, 500, 成长型, 电子商务 · 硬件
资深设计师（电商）, 7, 3, 设计, 视觉设计, 易积电器, 广州, 大专, 150, 成熟型, 移动互联网 · 电子商务
高级设计师, 6, 3, 设计, 高端设计职位, 西安际宇星, 西安, 学历不限, 15, 初创型, 移动互联网
高级设计师, 20, 3, 设计, 高端设计职位, 一号货车, 上海, 大专, 500, 成长型, 移动互联网 · O2O
食品包装设计师, 11, 3, 设计, 视觉设计, 两鲜, 上海, 大专, 150, 成长型, 电子商务
设计产品专员, 9, 1, 运营, 运营, 特赞|Tezign, 上海, 本科, 15, 初创型, 移动互联网
高级设计师, 10, 1, 设计, 视觉设计, 心宝一百, 北京, 大专, 50, 成长型, 电子商务
主设计师, 15, 3, 设计, 视觉设计, Voyageone, 上海, 本科, 150, 成长型, 电子商务
设计师, 6, 3, 设计, 视觉设计, 233网校, 长沙, 大专, 150, 初创型, 移动互联网 · 教育
AE设计师, 11, 1, 设计, 视觉设计, 泛微, 上海, 大专, 500, 成熟型, 移动互联网 · 企业服务
高级设计师, 14, 5, 设计, 视觉设计, 维拓利亚, 深圳, 本科, 15, 初创型, 数据服务 · 其他
设计师助理（动画）, 2, 应届毕业, 设计, 视觉设计, 墨齐, 深圳, 本科, 15, 成长型, 移动互联网 · 教育
旅行设计师（欧洲）, 12, 不, 运营, 编辑, 指南猫, 上海, 学历不限, 15, 成长型, 移动互联网 · 旅游
资深设计师, 7, 3, 设计, 视觉设计, 星爵互动, 合肥, 本科, 15, 初创型, 移动互联网
旅行设计师（北美）, 11, 不, 运营, 编辑, 指南猫, 上海, 学历不限, 15, 成长型, 移动互联网 · 旅游
主设计师（平面设计师）, 15, 3, 产品, 高端产品职位, Voyageone, 上海, 本科, 150, 成长型, 电子商务
包装设计师, 6, 5, 设计, 视觉设计, 宠宠熊, 上海, 大专, 150, 成长型, 电子商务
习题设计师, 11, 3, 运营, 编辑, 洋葱数学, 北京, 本科, 50, 成长型, 移动互联网 · 教育
资深网站设计师, 11, 1, 产品, 产品设计师, 两鲜, 上海, 大专, 150, 成长型, 电子商务
设计师, 7, 3, 设计, 视觉设计, 大骏文化, 上海, 大专, 50, 上市公, 文化娱乐
运营设计师, 30, 3, 设计, 视觉设计, 房多多, 上海, 本科, 2000, 成熟型, 移动互联网 · O2O
无线产品, 7, 不, 产品, 产品设计师, 威势空天, 成都, 本科, 15, 初创型, 信息安全 · 硬件
美术编辑设计师（AI）, 7, 1, 设计, 视觉设计, POP时尚网络机构, 上海, 大专, 500, 成长型, 移动互联网 · 电子商务
旅行设计师（日本）, 12, 不, 运营, 编辑, 指南猫, 上海, 学历不限, 15, 成长型, 移动互联网 · 旅游
旅行设计师（东南亚）, 12, 不, 运营, 编辑, 指南猫, 上海, 学历不限, 15, 成长型, 移动互联网 · 旅游
图文编辑设计师, 6, 1, 运营, 编辑, 蓝月亮, 广州, 大专, 2000, 成熟型, 生活服务
三维设计师, 5, 1, 设计, 视觉设计, 易家纺, 杭州, 大专, 15, 初创型, 电子商务
特效设计师, 9, 1, 设计, 视觉设计, 多拍科技, 深圳, 学历不限, 15, 初创型, 移动互联网 · 社交网络
高级设计师, 12, 1, 设计, 视觉设计, 师徒部落, 广州, 大专, 50, 初创型, 移动互联网 · 社交网络
动态设计师, 15, 1, 设计, 视觉设计, 妙计旅行, 北京, 本科, 50, 成长型, 旅游
助理设计师, 9, 3, 产品, 产品设计师, 招商自贸商城, 深圳, 本科, 2000, 成熟型, 电子商务 · O2O
资深设计师, 8, 3, 设计, 视觉设计, 引导美, 深圳, 大专, 150, 初创型, 移动互联网 · 电子商务
高级设计师, 11, 1, 设计, 高端设计职位, 招商自贸商城, 深圳, 本科, 2000, 成熟型, 电子商务 · O2O
高级设计师, 19, 3, 设计, 视觉设计, 威阔（Trustlook）, 杭州, 本科, 15, 初创型, 移动互联网
眼镜设计师, 14, 1, 设计, 视觉设计, 明月眼镜, 上海, 本科, 500, 成长型, O2O · 医疗健康
淘宝天猫设计师, 11, 3, 设计, 视觉设计, 正邦创意, 上海, 大专, 500, 成熟型, 移动互联网 · 广告营销
包装设计师, 12, 不, 设计, 视觉设计, 吃饭儿, 北京, 本科, 150, 成长型, 电子商务 · 企业服务
设计师, 6, 1, 设计, 视觉设计, 御泥坊, 长沙, 大专, 500, 成长型, 电子商务
资深设计师, 11, 3, 设计, 视觉设计, 星密码集团, 成都, 本科, 150, 成长型, 移动互联网 · 电子商务
时尚设计师, 17, 3, 设计, 高端设计职位, Tapole, 深圳, 学历不限, 15, 初创型, 电子商务 · O2O
空间设计师, 5, 不, 设计, 视觉设计, 课外喵, 广州, 大专, 50, 成长型, O2O · 教育
设计师, 12, 3, 设计, 高端设计职位, 亿瞻健康, 上海, 本科, 15, 初创型, 移动互联网 · 医疗健康
资深运营设计师, 22, 3, 设计, 视觉设计, 房多多, 上海, 本科, 2000, 成熟型, 移动互联网 · O2O
设计师, 4, 不, 设计, 视觉设计, AltaMob, 郑州, 学历不限, 15, 初创型, 移动互联网
视频设计师, 12, 不, 设计, 视觉设计, TP-LINK, 深圳, 本科, 2000, 成熟型, 硬件
插画设计师, 8, 1, 设计, 视觉设计, 善金科技, 合肥, 大专, 150, 初创型, 移动互联网 · O2O
外包装设计师, 7, 1, 设计, 视觉设计, 十月妈咪, 上海, 本科, 500, 成长型, 电子商务
插画设计师（动画/道具）, 11, 不, 设计, 视觉设计, MiLook, 上海, 学历不限, 15, 初创型, 移动互联网 · 文化娱乐
空间设计师, 7, 1, 设计, 视觉设计, TT快车, 深圳, 大专, 150, 成长型, 移动互联网 · O2O
资深设计师, 12, 3, 设计, 视觉设计, 金时堂科技, 深圳, 大专, 50, 成长型, 电子商务 · 社交网络
门店设计师, 5, 1, 设计, 视觉设计, 广东三维家信息科技有限公司, 梅州, 大专, 150, 成长型, 移动互联网 · 硬件
UX设计师, 13, 5, 设计, 视觉设计, 旺旺集团火热招聘, 上海, 大专, 2000, 成熟型, 电子商务 · 社交网络
资深互动设计师, 7, 1, 设计, 视觉设计, 扬悦博众, 广州, 本科, 50, 初创型, 移动互联网 · 企业服务
GUI设计师, 6, 1, 设计, 视觉设计, 启云软件, 合肥, 大专, 50, 初创型, 移动互联网
UE设计师, 22, 3, 设计, 交互设计, 云鸟科技, 北京, 本科, 150, 成长型, 移动互联网 · O2O
资深电商设计师, 20, 5, 设计, 视觉设计, 正邦创意, 上海, 大专, 500, 成熟型, 移动互联网 · 广告营销
UI 设计师, 15, 1, 设计, 视觉设计, Dingtone, 杭州, 本科, 50, 成熟型, 移动互联网 · 社交网络
资深设计师（互动／平面）, 6, 3, 设计, 视觉设计, 华扬联众数字技术股份有限公司, 长沙, 大专, 2000, 成熟型, 移动互联网 · 广告营销
资深空间设计师, 7, 1, 设计, 视觉设计, 申众茂林, 上海, 本科, 150, 初创型, 企业服务 · 广告营销
游戏动作设计师, 12, 3, 设计, 视觉设计, 七月科技, 杭州, 大专, 15, 初创型, 游戏
