职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
Ruby开发工程师, 12, 1, 技术, 后端开发, 电视淘宝, 杭州, 本科, 50, 成长型, 电子商务
Ruby开发工程师, 9, 1, 技术, 后端开发, 悠云, 成都, 本科, 15, 初创型, 移动互联网 · 数据服务
Ruby, 20, 1, 技术, 后端开发, WHOSV, 上海, 本科, 15, 初创型, 移动互联网
Ruby开发工程师, 22, 不, 技术, 后端开发, DJI大疆创新, 深圳, 本科, 2000, 初创型, 移动互联网 · 硬件
Ruby, 15, 3, 技术, 后端开发, RCC上海分公司, 上海, 本科, 500, 初创型, 企业服务
Ruby工程师, 15, 1, 技术, 后端开发, 大搜车, 杭州, 本科, 500, 成熟型, 移动互联网 · O2O
Ruby研发工程师, 15, 3, 技术, 后端开发, RCC上海分公司, 上海, 本科, 500, 初创型, 企业服务
Ruby, 20, 1, 技术, 后端开发, 好奇心日报, 北京, 本科, 50, 成长型, 移动互联网 · 文化娱乐
Ruby开发工程师, 18, 1, 技术, 后端开发, 著巢网, 上海, 学历不限, 15, 初创型, 广告营销 · 分类信息
Ruby开发工程师, 22, 1, 技术, 后端开发, MOGE, 北京, 大专, 15, 初创型, 移动互联网 · 教育
Ruby开发工程师, 9, 1, 技术, 后端开发, 折800网, 成都, 本科, 500, 成熟型, 移动互联网 · 电子商务
Ruby开发工程师, 11, 1, 技术, 后端开发, 网化商城, 武汉, 本科, 50, 成长型, 企业服务
Ruby, 15, 不, 技术, 后端开发, 趣住啊, 上海, 本科, 15, 初创型, 移动互联网 · 旅游
Ruby, 11, 1, 技术, 后端开发, 趣住啊, 上海, 本科, 15, 初创型, 移动互联网 · 旅游
Ruby, 8, 应届毕业, 技术, 后端开发, 丫扑留学, 武汉, 大专, 15, 初创型, 移动互联网 · 教育
Ruby研发工程师（公司网站研发运营）, 20, 1, 技术, 后端开发, RCC上海分公司, 上海, 大专, 500, 初创型, 企业服务
Ruby研发工程师, 22, 1年以, 技术, 后端开发, RCC上海分公司, 上海, 本科, 500, 初创型, 企业服务
Ruby, 8, 1, 技术, 后端开发, 汉拓, 青岛, 本科, 15, 初创型, 移动互联网 · O2O
Ruby, 12, 1, 技术, 后端开发, 嗅嗅, 杭州, 本科, 15, 初创型, 移动互联网 · 企业服务
Ruby开发工程师, 15, 1, 技术, 后端开发, 爱点击, 北京, 本科, 150, 成熟型, 移动互联网 · 广告营销
Ruby, 17, 3, 技术, 后端开发, 嗅嗅, 杭州, 本科, 15, 初创型, 移动互联网 · 企业服务
Ruby开发工程师, 15, 1, 技术, 后端开发, 杭州鼎洪, 杭州, 大专, 15, 初创型, 电子商务 · 数据服务
Ruby, 15, 1, 技术, 后端开发, 天星资本, 北京, 大专, 150, 成长型, 移动互联网 · 金融
Ruby, 20, 不, 技术, 后端开发, FORK, 北京, 学历不限, 15, 成长型, 移动互联网 · 社交网络
Ruby, 12, 1, 技术, 后端开发, 留美盒子, 上海, 本科, 15, 初创型, 移动互联网 · O2O
Ruby开发, 10, 1, 技术, 后端开发, 云庐数据, 武汉, 学历不限, 50, 成长型, 移动互联网 · 数据服务
Ruby开发工程师, 15, 1, 技术, 后端开发, 友好速搭, 深圳, 学历不限, 15, 初创型, 企业服务 · 电子商务
Ruby, 10, 1, 技术, 后端开发, 文思海辉, 青岛, 学历不限, 2000, 上市公, 电子商务 · 金融
Ruby, 15, 3, 技术, 后端开发, 埃普沃, 西安, 本科, 15, 初创型, 企业服务
Ruby, 15, 1, 技术, 后端开发, 正青春咨询公司, 北京, 学历不限, 15, 初创型, 移动互联网 · 金融
Ruby研发工程师, 15, 1年以, 技术, 后端开发, RCC上海分公司, 上海, 本科, 500, 初创型, 企业服务
Ruby工程师, 15, 3, 技术, 后端开发, RCC上海分公司, 上海, 本科, 500, 初创型, 企业服务
Ruby, 12, 1, 技术, 后端开发, EVENTOR, 北京, 本科, 15, 初创型, 移动互联网 · 文化娱乐
Ruby, 20, 不, 技术, 后端开发, 牛男网, 上海, 学历不限, 15, 成长型, 移动互联网
Ruby, 7, 不, 技术, 后端开发, 采恬, 南昌, 学历不限, 15, 初创型, 电子商务 · O2O
Ruby开发工程师, 22, 不, 技术, 后端开发, SenseTime, 北京, 本科, 150, 成长型, 移动互联网
Ruby, 11, 不, 技术, 后端开发, Anker, 长沙, 大专, 150, 初创型, 电子商务
Ruby开发工程师, 9, 1, 技术, 后端开发, 折800网, 成都, 本科, 500, 成熟型, 移动互联网 · 电子商务
Ruby, 19, 3, 技术, 后端开发, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
Ruby开发工程师, 6, 1, 技术, 后端开发, 武汉安天, 武汉, 本科, 50, 成长型, 移动互联网
Ruby开发工程师, 12, 1, 技术, 后端开发, 艾道, 广州, 学历不限, 15, 初创型, 移动互联网 · 数据服务
Ruby, 12, 3, 技术, 后端开发, Anker, 长沙, 本科, 150, 初创型, 电子商务
Ruby, 15, 1, 技术, 后端开发, 惟锐科技, 杭州, 大专, 150, 成长型, 移动互联网 · 信息安全
Ruby, 7, 1, 技术, 后端开发, 柯莱特, 上海, 学历不限, 2000, 成熟型, 企业服务 · 金融
Ruby开发工程师, 22, 不, 技术, 后端开发, 两把刷子, 北京, 大专, 150, 成长型, O2O
ruby开发工程师, 15, 1, 技术, 后端开发, RCC上海分公司, 上海, 本科, 500, 初创型, 企业服务
Ruby, 12, 1, 技术, 后端开发, 聚源金融, 杭州, 本科, 15, 初创型, 金融 · 数据服务
Ruby Developer, 15, 3, 技术, 后端开发, ThoughtWorks, 西安, 学历不限, 150, 成长型, 企业服务
Ruby, 11, 3, 技术, 后端开发, 途途旅游网, 西安, 本科, 50, 成长型, 电子商务 · 旅游
Ruby, 17, 3, 技术, 后端开发, 上海网络, 上海, 学历不限, 150, 成长型, 移动互联网 · 电子商务
Ruby开发工程师, 19, 1, 技术, 后端开发, 开通金融, 北京, 本科, 15, 初创型, 金融
Ruby, 15, 1, 技术, 后端开发, 天车网络, 杭州, 学历不限, 15, 初创型, 移动互联网 · O2O
Ruby, 10, 1, 技术, 后端开发, 数库科技, 广州, 大专, 50, 初创型, 金融 · 数据服务
Ruby, 9, 1, 技术, 后端开发, 上海品米信息科技有限公司, 上海, 本科, 15, 初创型, 移动互联网 · O2O
Ruby研发工程师, 15, 不, 技术, 后端开发, RCC上海分公司, 上海, 大专, 500, 初创型, 企业服务
Ruby工程师, 30, 3, 技术, 后端开发, 有米科技, 深圳, 学历不限, 150, 上市公, 移动互联网 · 广告营销
Ruby, 23, 3, 技术, 后端开发, 你有药, 上海, 本科, 15, 成长型, 移动互联网 · 医疗健康
Ruby, 7, 1, 技术, 后端开发, 途客邦科技, 杭州, 大专, 15, 初创型, 移动互联网
Ruby, 16, 3, 技术, 后端开发, 全民贷, 上海, 本科, 15, 成长型, 移动互联网 · 金融
Ruby, 17, 1, 技术, 后端开发, 持创, 武汉, 学历不限, 50, 成长型, 移动互联网
Ruby, 12, 不, 技术, 后端开发, 上海品米信息科技有限公司, 上海, 本科, 15, 初创型, 移动互联网 · O2O
Ruby, 20, 1, 技术, 后端开发, ulaiber, 广州, 大专, 15, 初创型, 电子商务 · O2O
Ruby工程师, 10, 1, 技术, 后端开发, 学壹传媒, 广州, 大专, 50, 初创型, 移动互联网 · 文化娱乐
Ruby, 15, 1, 技术, 后端开发, 上海翼成, 上海, 大专, 150, 初创型, 移动互联网 · 电子商务
ruby工程师, 12, 1, 技术, 后端开发, 千帆渡留学网, 成都, 本科, 15, 初创型, O2O · 教育
Ruby开发工程师, 5, 应届毕业, 技术, 后端开发, 速溶360, 上海, 本科, 15, 成长型, 移动互联网 · 社交网络
Ruby, 19, 1, 技术, 后端开发, e袋洗, 北京, 本科, 500, 成长型, O2O
Ruby, 12, 1, 技术, 后端开发, 阳光小袋鼠, 南京, 大专, 15, 成长型, O2O · 移动互联网
Ruby工程师, 13, 1, 技术, 后端开发, 茂田, 深圳, 本科, 500, 初创型, 移动互联网 · O2O
Ruby, 20, 3, 技术, 后端开发, TS, 上海, 大专, 150, 成长型, 数据服务 · 其他
Ruby 开发工程师, 18, 3, 技术, 后端开发, 住百家, 北京, 本科, 150, 成熟型, O2O · 旅游
Ruby, 19, 1, 技术, 后端开发, 天厚投资 Tophold, 上海, 本科, 15, 初创型, 金融
Ruby工程师, 9, 3, 技术, 后端开发, 云农科技, 成都, 本科, 150, 初创型, 移动互联网
Ruby研发工程师, 10, 1, 技术, 后端开发, Lankr, 上海, 学历不限, 15, 初创型, 移动互联网 · 企业服务
Ruby, 12, 1, 技术, 后端开发, 创联互通, 成都, 大专, 15, 初创型, 移动互联网 · 电子商务
Ruby开发工程师, 19, 3, 技术, 后端开发, 健视网络, 上海, 学历不限, 15, 初创型, 移动互联网 · 社交网络
Ruby, 15, 1, 技术, 后端开发, 雪橙, 北京, 本科, 15, 成长型, 移动互联网
Ruby工程师, 15, 1, 技术, 后端开发, Owhat, 北京, 本科, 15, 成长型, 移动互联网 · O2O
Ruby工程师, 15, 1, 技术, 后端开发, 旺田信息, 上海, 学历不限, 15, 初创型, 企业服务 · 数据服务
Ruby, 11, 1, 技术, 后端开发, 博彦科技, 上海, 大专, 500, 上市公, 企业服务 · 招聘
Ruby开发工程师, 22, 1, 技术, 后端开发, MOGE, 北京, 本科, 15, 初创型, 移动互联网 · 教育
ruby开发, 22, 1, 技术, 后端开发, 米聘, 深圳, 本科, 15, 初创型, 招聘
Ruby, 9, 不, 技术, 后端开发, 云深网络, 上海, 大专, 15, 成长型, 移动互联网 · 硬件
Ruby开发工程师, 15, 1, 技术, 后端开发, 药给力, 北京, 大专, 50, 成长型, 移动互联网 · 医疗健康
Ruby, 14, 3, 技术, 后端开发, 筹道股权, 上海, 学历不限, 15, 初创型, 移动互联网 · 金融
Ruby, 15, 1年以, 技术, 后端开发, 大鱼自助游, 北京, 本科, 50, 成长型, 旅游
Ruby, 20, 不, 技术, 后端开发, 牛咖, 上海, 学历不限, 15, 初创型, 移动互联网 · 社交网络
Ruby, 17, 3, 技术, 后端开发, 爵士网络, 北京, 大专, 50, 初创型, 移动互联网
Ruby, 20, 1, 技术, 后端开发, 持创, 武汉, 学历不限, 50, 成长型, 移动互联网 · 电子商务
Ruby工程师（实习）, 4, 不, 技术, 后端开发, 黑格科技, 北京, 本科, 50, 成长型, 企业服务
Ruby 工程师, 16, 不, 技术, 后端开发, 金数据, 西安, 学历不限, 15, 初创型, 企业服务
Ruby, 17, 3, 技术, 后端开发, 魔幻蓝天, 北京, 大专, 50, 初创型, 企业服务 · 广告营销
Ruby, 7, 不, 技术, 后端开发, 北京小栗科技, 北京, 本科, 15, 初创型, 电子商务 · 企业服务
Ruby, 18, 不, 技术, 后端开发, Metalab, 上海, 本科, 15, 初创型, 企业服务
Ruby, 20, 1, 技术, 后端开发, ulaiber, 深圳, 学历不限, 15, 初创型, 电子商务 · O2O
Ruby, 15, 1, 技术, 后端开发, 会展邦, 北京, 学历不限, 15, 初创型, 移动互联网
Ruby开发, 7, 不, 技术, 后端开发, Beansmile, 广州, 学历不限, 15, 初创型, 移动互联网 · 企业服务
Ruby, 19, 不, 技术, 后端开发, 幻腾, 北京, 学历不限, 15, 成长型, 移动互联网 · 硬件
Ruby开发工程师, 12, 1, 技术, 后端开发, 医云健康, 上海, 本科, 50, 成长型, 医疗健康
Ruby开发工程师, 30, 3, 技术, 后端开发, 有米科技, 深圳, 学历不限, 150, 上市公, 移动互联网 · 广告营销
Ruby开发工程师, 15, 3, 技术, 后端开发, 顺文科技, 杭州, 本科, 15, 初创型, 移动互联网 · 金融
Ruby开发工程师, 12, 1, 技术, 后端开发, 医云健康, 上海, 本科, 50, 成长型, 医疗健康
Ruby工程师, 15, 1, 技术, 后端开发, 简单心理, 北京, 学历不限, 15, 初创型, 移动互联网 · 医疗健康
Ruby开发工程师, 22, 1, 技术, 后端开发, 动吧体育, 北京, 本科, 15, 成长型, 移动互联网 · 文化娱乐
Ruby开发工程师, 15, 1, 技术, 后端开发, 天星资本, 北京, 大专, 150, 成长型, 移动互联网 · 金融
Ruby, 15, 3, 技术, 后端开发, Accenture, 大连, 学历不限, 2000, 上市公, 企业服务
Ruby开发工程师, 15, 不, 技术, 后端开发, 触景无限, 北京, 本科, 15, 成长型, 移动互联网 · 旅游
Ruby, 15, 不, 技术, 后端开发, 凡布, 北京, 学历不限, 15, 初创型, 电子商务 · O2O
Ruby, 9, 不, 技术, 后端开发, 塔倍思, 南京, 本科, 50, 初创型, 移动互联网 · 广告营销
Ruby, 19, 不, 技术, 后端开发, 幻腾, 北京, 学历不限, 15, 成长型, 移动互联网 · 硬件
Ruby（服务端开发工程师）, 12, 1, 技术, 后端开发, 米莱珠宝, 广州, 本科, 150, 成长型, 电子商务 · 社交网络
Ruby工程师, 12, 1, 技术, 后端开发, 卡得万利, 上海, 大专, 150, 成长型, 金融
Ruby, 20, 1, 技术, 后端开发, 优融, 深圳, 本科, 15, 初创型, 电子商务 · O2O
初级Ruby工程师, 7, 1, 技术, 后端开发, 杭州安存正信, 杭州, 学历不限, 15, 初创型, 移动互联网 · 信息安全
高级 Ruby 工程师, 20, 1, 技术, 后端开发, 杭州安存正信, 杭州, 学历不限, 15, 初创型, 移动互联网 · 信息安全
Ruby, 20, 1, 技术, 后端开发, 墨凡, 北京, 本科, 15, 初创型, O2O · 教育
Ruby开发工程师, 15, 1, 技术, 后端开发, 六行君通, 北京, 学历不限, 50, 上市公, 移动互联网 · 金融
ruby开发, 12, 1, 技术, 前端开发, 优购网, 北京, 大专, 500, 成熟型, 电子商务
Ruby, 15, 1, 技术, 后端开发, 荣之联, 北京, 大专, 500, 上市公, 企业服务 · 数据服务
Ruby, 11, 1, 技术, 后端开发, 企酷, 上海, 大专, 15, 初创型, 移动互联网 · 金融
中级Ruby工程师, 14, 1, 技术, 后端开发, 杭州安存正信, 杭州, 学历不限, 15, 初创型, 移动互联网 · 信息安全
Ruby, 12, 1, 技术, 后端开发, 上海品米信息科技有限公司, 上海, 本科, 15, 初创型, 移动互联网 · O2O
高级Ruby工程师, 20, 1, 技术, 后端开发, 薄荷, 上海, 本科, 50, 成长型, 移动互联网 · 电子商务
Ruby工程师, 22, 1, 技术, 后端开发, 财说 - 北京昊乐科技有限公司, 北京, 学历不限, 50, 成熟型, 金融
Ruby开发, 12, 1, 技术, 后端开发, 优购网, 北京, 大专, 500, 成熟型, 电子商务
Ruby开发工程师, 22, 1, 技术, 后端开发, 易美健, 北京, 本科, 15, 初创型, 金融 · 医疗健康
Ruby Developer, 15, 3, 技术, 后端开发, 苜蓿科技, 西安, 学历不限, 15, 初创型, 移动互联网 · 数据服务
Ruby开发工程师, 12, 不, 技术, 后端开发, 得音, 上海, 学历不限, 15, 初创型, 电子商务
Ruby开发工程师, 15, 1, 技术, 后端开发, 竞彩258, 北京, 学历不限, 50, 初创型, 电子商务 · 文化娱乐
Ruby开发工程师, 11, 不, 技术, 后端开发, 聚微, 北京, 学历不限, 15, 初创型, 移动互联网 · 数据服务
Ruby开发工程师, 12, 不, 技术, 后端开发, 上海添创, 上海, 学历不限, 15, 初创型, 移动互联网 · 数据服务
Ruby, 20, 3, 技术, 后端开发, 牛男网, 上海, 学历不限, 15, 成长型, 移动互联网
Ruby, 15, 1, 技术, 后端开发, 彩球网, 北京, 本科, 15, 成长型, 移动互联网 · 数据服务
Ruby 工程师, 16, 不, 技术, 后端开发, 金数据, 成都, 学历不限, 15, 初创型, 企业服务
Ruby 软件工程师, 8, 1, 技术, 后端开发, 蓝拓电商, 长沙, 本科, 50, 成长型, 电子商务
Ruby开发工程师, 22, 1, 技术, 后端开发, 公众通铭, 北京, 本科, 15, 初创型, 移动互联网 · 教育
Ruby开发工程师, 9, 1, 技术, 后端开发, 喜马拉雅FM, 上海, 本科, 150, 成长型, 移动互联网 · 文化娱乐
Ruby工程师, 20, 不, 技术, 后端开发, 华兴资本, 北京, 学历不限, 50, 初创型, 金融
Ruby 开发, 15, 1, 技术, 后端开发, 阳光公采, 北京, 学历不限, 50, 初创型, 移动互联网 · 分类信息
Ruby高级研发工程师, 20, 1, 技术, 后端开发, RCC上海分公司, 上海, 本科, 500, 初创型, 企业服务
Ruby高级工程师, 22, 不, 技术, 后端开发, OneAPM 蓝海讯通, 北京, 学历不限, 150, 成熟型, 企业服务 · 数据服务
Ruby, 22, 3, 技术, 后端开发, 卡拉丁汽车, 北京, 本科, 500, 成长型, O2O
Ruby工程师, 11, 1, 技术, 后端开发, 广东泛爱众, 深圳, 大专, 50, 成长型, 教育
Ruby, 17, 1, 技术, 后端开发, 追追漫画, 北京, 学历不限, 15, 成长型, 移动互联网 · 社交网络
Ruby, 25, 1, 技术, 后端开发, 联袂科技, 北京, 本科, 15, 成长型, 数据服务 · 广告营销
高级Ruby开发工程师, 35, 3, 技术, 后端开发, FreeWheel, 北京, 本科, 150, 上市公, 企业服务 · 数据服务
