职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
运维实施人员（西宁）, 5, 1, 技术, 运维, 西部资信, 西宁, 本科, 50, 初创型, 移动互联网 · 企业服务
运维项目经理, 6, 3, 技术, 项目管理, 西部资信, 兰州, 大专, 50, 初创型, 移动互联网 · 企业服务
运维实施人员, 5, 1, 技术, 运维, 西部资信, 兰州, 大专, 50, 初创型, 移动互联网 · 企业服务
运维项目经理（银川）, 7, 1, 技术, 运维, 西部资信, 银川, 本科, 50, 初创型, 移动互联网 · 企业服务
运维实施人员, 5, 1, 技术, 运维, 西部资信, 银川, 本科, 50, 初创型, 移动互联网 · 企业服务
运维实施人员（呼和浩特）, 5, 1, 技术, 运维, 西部资信, 呼和浩特, 大专, 50, 初创型, 移动互联网 · 企业服务
运维实施人员, 5, 1, 技术, 运维, 西部资信, 呼和浩特, 大专, 50, 初创型, 移动互联网 · 企业服务
运维项目经理（贵阳）, 6, 1, 技术, 运维, 西部资信, 贵阳, 本科, 50, 初创型, 移动互联网 · 企业服务
软件研发工程师（网络爬虫方向）, 6, 1, 技术, 运维, 西部资信, 西安, 本科, 50, 初创型, 移动互联网 · 企业服务
解决方案工程师, 6, 1, 技术, 企业软件, 西部资信, 西安, 本科, 50, 初创型, 移动互联网 · 企业服务
运维项目经理, 6, 1, 技术, 运维, 西部资信, 兰州, 大专, 50, 初创型, 移动互联网 · 企业服务
售前工程师, 8, 3, 技术, 企业软件, 西部资信, 西安, 本科, 50, 初创型, 移动互联网 · 企业服务
客户经理（双休 五险一金）, 4, 不, 市场与销售, 销售, 杭州世联评估, 杭州, 大专, 500, 上市公, 金融 · 其他
Java中高级软件工程师, 11, 3, 技术, 后端开发, 西部资信, 西安, 本科, 50, 初创型, 移动互联网 · 企业服务
运维项目经理（西安）, 7, 1, 技术, 项目管理, 西部资信, 西安, 本科, 50, 初创型, 移动互联网 · 企业服务
运维实施人员（太原）, 7, 1, 技术, 运维, 西部资信, 太原, 大专, 50, 初创型, 移动互联网 · 企业服务
中高级JAVA开发工程师, 15, 不, 技术, 后端开发, 资信财富集团, 北京, 大专, 150, 成长型, 金融 · 数据服务
大客户经理, 9, 3, 市场与销售, 市场/营销, 西部资信, 西安, 大专, 50, 初创型, 移动互联网 · 企业服务
性能测试主管工程师, 12, 3, 技术, 测试, 资信财富集团, 北京, 本科, 150, 成长型, 金融 · 数据服务
行政前台(五险一金、周末双休), 2, 1, 职能, 行政, 西部资信, 西安, 大专, 50, 初创型, 移动互联网 · 企业服务
APP测试工程师, 12, 1, 技术, 测试, 资信财富集团, 北京, 本科, 150, 成长型, 金融 · 数据服务
APP测试工程师, 15, 1, 技术, 测试, 资信财富集团, 北京, 大专, 150, 成长型, 金融 · 数据服务
运维项目经理（太原）, 7, 1, 技术, 运维, 西部资信, 太原, 本科, 50, 初创型, 移动互联网 · 企业服务
销售助理, 6, 不, 市场与销售, 销售, 南方资信, 深圳, 学历不限, 15, 初创型, 企业服务 · 信息安全
运维工程师, 16, 3, 技术, 运维, 资信财富集团, 北京, 大专, 150, 成长型, 金融 · 数据服务
Java, 22, 3, 技术, 后端开发, 资信财富集团, 北京, 本科, 150, 成长型, 金融 · 数据服务
Java, 22, 3, 技术, 后端开发, 资信财富集团, 北京, 大专, 150, 成长型, 金融 · 数据服务
产品经理, 15, 3, 产品, 产品经理, 资信财富集团, 北京, 大专, 150, 成长型, 金融 · 数据服务
运维开发工程师, 22, 3, 技术, 运维, 资信财富集团, 北京, 大专, 150, 成长型, 金融 · 数据服务
市场顾问, 7, 不, 市场与销售, 市场/营销, 南方资信, 深圳, 学历不限, 15, 初创型, 企业服务 · 信息安全
后台研发工程师5-6, 15, 1, 技术, 后端开发, 资信财富集团, 北京, 本科, 150, 成长型, 金融 · 数据服务
产品经理, 15, 3, 产品, 产品经理, 资信财富集团, 北京, 本科, 150, 成长型, 金融 · 数据服务
新媒体运营, 8, 1, 运营, 运营, 资信财富集团, 北京, 本科, 150, 成长型, 金融 · 数据服务
产品经理, 15, 不, 产品, 产品经理, 资信财富集团, 北京, 大专, 150, 成长型, 金融 · 数据服务
Java, 20, 3, 技术, 后端开发, 资信财富集团, 北京, 本科, 150, 成长型, 金融 · 数据服务
Java开发工程师, 15, 1, 技术, 后端开发, 资信财富集团, 北京, 大专, 150, 成长型, 金融 · 数据服务
Java, 15, 1, 技术, 后端开发, 资信财富集团, 北京, 本科, 150, 成长型, 金融 · 数据服务
Java, 15, 1, 技术, 后端开发, 资信财富集团, 北京, 本科, 150, 成长型, 金融 · 数据服务
软件测试工程师, 15, 1, 技术, 测试, 资信财富集团, 北京, 大专, 150, 成长型, 金融 · 数据服务
运营经理, 20, 3, 运营, 运营, 资信财富集团, 北京, 本科, 150, 成长型, 金融 · 数据服务
运营专员, 8, 1, 运营, 运营, 资信财富集团, 北京, 本科, 150, 成长型, 金融 · 数据服务
高级运营经理, 20, 3, 运营, 运营, 资信财富集团, 北京, 本科, 150, 成长型, 金融 · 数据服务
出纳, 3, 1, 职能, 财务, 西部资信, 西安, 大专, 50, 初创型, 移动互联网 · 企业服务
数据专员, 8, 1, 技术, 企业软件, 资信财富集团, 北京, 大专, 150, 成长型, 金融 · 数据服务
数据专员, 3, 应届毕业, 职能, 行政, 重庆汇集源, 重庆, 大专, 50, 成熟型, 数据服务 · 其他
