职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
清算, 7, 3, 金融, 审计税务, 网金控股, 广州, 大专, 150, 成长型, 移动互联网 · 金融
清算, 3, 1, 金融, 审计税务, 创客金融, 杭州, 大专, 50, 成长型, 移动互联网 · 金融
结算, 4, 1, 职能, 财务, 浙江保融, 杭州, 大专, 150, 成长型, 金融
结算, 4, 不, 职能, 财务, 汇潮, 上海, 大专, 150, 成长型, 电子商务 · 金融
清算, 3, 1, 金融, 审计税务, 邮付通, 长沙, 大专, 50, 成长型, 移动互联网
清算, 17, 3, 金融, 审计税务, 上海煜钱, 上海, 大专, 15, 初创型, 移动互联网
结算, 6, 1, 职能, 财务, 米庄理财, 杭州, 本科, 50, 成长型, 金融
清算, 5, 1年以, 金融, 审计税务, 微财富, 上海, 本科, 150, 成长型, 金融
清算, 6, 1, 职能, 财务, 佐助金服, 杭州, 学历不限, 50, 初创型, 移动互联网 · 金融
清算, 6, 不, 金融, 审计税务, 微财富, 上海, 学历不限, 150, 成长型, 金融
结算专员, 3, 不, 职能, 财务, 掌视亿通, 北京, 大专, 50, 成长型, 移动互联网 · 文化娱乐
结算, 8, 3, 职能, 财务, 美哒网络（空格）, 杭州, 本科, 150, 成长型, 移动互联网 · 生活服务
清算, 5, 1, 金融, 审计税务, 北京震泰投资有限公司, 北京, 大专, 500, 成熟型, 金融
结算专员, 7, 1, 职能, 财务, 面包旅行, 北京, 本科, 50, 成熟型, 移动互联网 · 旅游
清算结算专员, 8, 1, 职能, 财务, 白骨精（北京）网络科技有限公司, 北京, 本科, 15, 成长型, 社交网络 · 金融
清算, 7, 1, 金融, 审计税务, 金房汇, 北京, 大专, 15, 初创型, 移动互联网 · 金融
结算, 4, 不, 职能, 财务, 释诺财富, 上海, 本科, 15, 初创型, 金融 · 移动互联网
结算, 4, 不, 职能, 财务, 百川信, 厦门, 本科, 15, 初创型, 电子商务
结算, 9, 1, 职能, 财务, 寻牛, 北京, 本科, 15, 成长型, 金融
结算专员, 4, 1, 职能, 财务, 广州百倍科技, 广州, 大专, 50, 成长型, 游戏 · 金融
结算, 7, 1, 职能, 财务, 银狐科技, 杭州, 本科, 15, 初创型, 金融
