职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
融资, 15, 1, 金融, 投融资, 天星资本, 北京, 本科, 150, 成长型, 移动互联网 · 金融
融资, 7, 1, 金融, 投融资, 上海信合添富金融信息服务有限公司, 上海, 大专, 50, 成长型, 金融
融资, 75, 3, 金融, 投融资, 智慧18, 深圳, 大专, 15, 初创型, 移动互联网 · O2O
融资, 10, 不, 金融, 投融资, 中国会, 北京, 本科, 50, 成长型, 移动互联网 · 医疗健康
融资, 7, 不, 金融, 投融资, 佰润明辉, 北京, 学历不限, 150, 成长型, 移动互联网 · 金融
融资, 4, 不, 金融, 投融资, 安美途, 上海, 大专, 150, 初创型, 其他
融资, 4, 应届毕业, 金融, 投融资, 正和高科, 北京, 大专, 15, 初创型, 金融 · 其他
融资专员, 9, 1, 金融, 投融资, 链金所, 深圳, 大专, 150, 初创型, 电子商务 · 金融
融资, 75, 不, 金融, 投融资, 豆联健康管理, 北京, 学历不限, 15, 初创型, 移动互联网 · 医疗健康
融资专员, 6, 应届毕业, 金融, 投融资, 麦田房产, 北京, 大专, 2000, 初创型, 生活服务 · 广告营销
融资, 9, 1, 金融, 投融资, 易聚科技, 北京, 本科, 150, 成长型, 金融
融资, 3, 1年以, 金融, 投融资, 千百亿金融, 珠海, 大专, 15, 初创型, 金融
融资, 15, 1, 金融, 投融资, 多采多宜, 北京, 本科, 15, 初创型, 电子商务 · 生活服务
融资, 9, 1, 金融, 投融资, 易聚科技, 北京, 本科, 150, 成长型, 金融
融资, 6, 1, 金融, 投融资, 立马贷, 重庆, 本科, 15, 初创型, 移动互联网 · 金融
融资, 7, 应届毕业, 金融, 投融资, 易聚科技, 北京, 本科, 150, 成长型, 金融
融资, 11, 5, 金融, 投融资, 龙腾捷旅, 深圳, 本科, 150, 成长型, 电子商务 · 旅游
融资, 8, 1, 金融, 投融资, 孙悟空网, 广州, 大专, 15, 初创型, 电子商务 · 企业服务
融资专员, 6, 不, 市场与销售, 销售, 玖信金融, 武汉, 大专, 500, 成熟型, 移动互联网 · 金融
融资, 11, 不, 金融, 投融资, 佰润明辉, 北京, 学历不限, 150, 成长型, 金融
融资专员, 7, 不, 金融, 投融资, 玖信金融, 武汉, 大专, 500, 成熟型, 移动互联网 · 金融
融资, 10, 3, 金融, 投融资, 武汉博润通, 武汉, 本科, 150, 上市公, 移动互联网 · 文化娱乐
融资专员, 4, 不, 金融, 投融资, 辉瑞制药, 宿迁, 大专, 2000, 上市公, 医疗健康 · 其他
融资专员, 7, 1, 金融, 投融资, 培高连锁, 北京, 本科, 150, 成长型, 企业服务 · 其他
融资, 3, 1, 金融, 投融资, 金强建材, 福州, 大专, 500, 初创型, 硬件 · 分类信息
融资, 11, 1, 金融, 投融资, 瑞德医疗, 北京, 本科, 150, 成熟型, 医疗健康
融资, 10, 1, 金融, 投融资, 中城建信, 北京, 本科, 50, 成长型, 移动互联网 · 金融
融资, 5, 1, 金融, 投融资, 珑门资本, 北京, 大专, 15, 初创型, 金融
融资, 15, 不, 金融, 投融资, 火了, 北京, 学历不限, 15, 初创型, 电子商务 · 文化娱乐
融资, 17, 3, 金融, 投融资, 腾泰翼, 深圳, 学历不限, 150, 成长型, 移动互联网
融资专员, 4, 不, 市场与销售, 销售, 玖信金融, 武汉, 大专, 500, 成熟型, 移动互联网 · 金融
融资专员, 6, 不, 市场与销售, 销售, 玖信金融, 武汉, 大专, 500, 成熟型, 移动互联网 · 金融
融资助理, 7, 3, 金融, 投融资, 南京大正知行教育科技有限公司, 南京, 大专, 15, 初创型, 教育
融资专员, 7, 不, 金融, 投融资, 凯斯美, 北京, 学历不限, 15, 初创型, 移动互联网 · O2O
融资, 9, 1, 金融, 投融资, 宜保通金融服务（集团）有限公司, 深圳, 本科, 150, 初创型, O2O · 金融
