职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
仓内培训师, 7, 1, 职能, 人力资源, 九曳供应链, 上海, 大专, 15, 成长型, 电子商务 · 数据服务
冷链项目销售经理, 8, 3, 市场与销售, 销售, 九曳供应链, 武汉, 大专, 15, 成长型, 电子商务 · 数据服务
供应链系统产品经理ERP/OMS/WMS/TMS/GPS, 12, 3, 产品, 产品经理, 九曳供应链, 上海, 本科, 15, 成长型, 电子商务 · 数据服务
电商采购经理, 11, 3, 市场与销售, 采购, 创新谷, 深圳, 学历不限, 150, 初创型, 移动互联网
冷链项目助理（销售助理）, 4, 1, 市场与销售, 销售, 九曳供应链, 武汉, 大专, 15, 成长型, 电子商务 · 数据服务
冷链项目助理（销售助理）, 6, 1, 市场与销售, 销售, 九曳供应链, 上海, 大专, 15, 成长型, 电子商务 · 数据服务
冷链项目销售经理, 8, 3, 市场与销售, 销售, 九曳供应链, 成都, 大专, 15, 成长型, 电子商务 · 数据服务
冷链项目销售经理, 10, 3, 市场与销售, 销售, 九曳供应链, 广州, 大专, 15, 成长型, 电子商务 · 数据服务
供应商结算/客户结算, 5, 1, 职能, 财务, 九曳供应链, 上海, 大专, 15, 成长型, 电子商务 · 数据服务
品牌策划, 11, 3, 市场与销售, 公关, 九曳供应链, 上海, 本科, 15, 成长型, 电子商务 · 数据服务
html5高级工程师, 20, 3, 技术, 前端开发, 创新谷, 深圳, 本科, 150, 初创型, 移动互联网
Java高级软件工程师, 20, 3, 技术, 后端开发, 九曳供应链, 上海, 本科, 15, 成长型, 电子商务 · 数据服务
售后客服, 4, 不, 运营, 客服, 创新谷, 深圳, 学历不限, 150, 初创型, 移动互联网
冷链项目经理（销售）, 12, 1, 市场与销售, 供应链, 九曳供应链, 上海, 大专, 15, 成长型, 电子商务 · 数据服务
冷链项目销售经理, 12, 3, 市场与销售, 销售, 九曳供应链, 北京, 大专, 15, 成长型, 电子商务 · 数据服务
HRD/HRM, 13, 3, 职能, 高端职能职位, 创新谷, 深圳, 本科, 150, 初创型, 移动互联网
互联网公关总监, 22, 3, 市场与销售, 公关, 创新谷, 深圳, 本科, 150, 初创型, 移动互联网
企业软件其它, 19, 3, 技术, 企业软件, 九曳供应链, 上海, 本科, 15, 成长型, 电子商务 · 数据服务
售后客服, 5, 1, 运营, 客服, 创新谷, 深圳, 学历不限, 150, 初创型, 移动互联网
私募实习生, 1, 不, 金融, 投融资, 好买基金网（联想腾讯注资企业）, 上海, 学历不限, 500, 成熟型, 电子商务 · 金融
冷链项目助理（销售助理）, 6, 1, 市场与销售, 销售, 九曳供应链, 北京, 大专, 15, 成长型, 电子商务 · 数据服务
冷链项目助理（销售助理）, 5, 1, 市场与销售, 销售, 九曳供应链, 广州, 大专, 15, 成长型, 电子商务 · 数据服务
冷链项目助理（销售助理）, 4, 1, 市场与销售, 销售, 九曳供应链, 成都, 大专, 15, 成长型, 电子商务 · 数据服务
类目运营经理, 20, 3, 运营, 运营, 创新谷, 深圳, 本科, 150, 初创型, 移动互联网
人力资源总监, 16, 3, 职能, 人力资源, 创新谷, 深圳, 本科, 150, 初创型, 移动互联网
电商运营总监, 22, 3, 运营, 高端运营职位, 创新谷, 深圳, 本科, 150, 初创型, 移动互联网
项目销售总监（全国）, 17, 5, 市场与销售, 高端市场职位, 九曳供应链, 上海, 大专, 15, 成长型, 电子商务 · 数据服务
电商商品经理, 11, 3, 市场与销售, 采购, 创新谷, 深圳, 学历不限, 150, 初创型, 移动互联网
高级应用分发经理, 13, 1, 运营, 运营, 创新谷, 深圳, 本科, 150, 初创型, 移动互联网
web前端高级工程师, 20, 3, 技术, 前端开发, 创新谷, 深圳, 本科, 150, 初创型, 移动互联网
CEO管培生, 6, 不, 职能, 行政, 创新谷, 深圳, 本科, 150, 初创型, 移动互联网
