职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
DB2, 6, 1, 技术, dba, 天维信息, 广州, 本科, 150, 初创型, 金融 · 数据服务
DB2, 23, 3, 技术, dba, 爱上旅游, 上海, 本科, 50, 成长型, 移动互联网 · 旅游
DB2, 11, 1, 技术, dba, 华夏快线, 北京, 学历不限, 50, 成长型, 生活服务 · 数据服务
DB2, 11, 3, 技术, dba, 新炬网络, 广州, 本科, 500, 成熟型, 移动互联网 · 数据服务
DB2, 12, 3, 技术, dba, 软通动力, 北京, 本科, 2000, 上市公, 移动互联网 · 企业服务
DB2, 7, 1, 技术, dba, 中软国际, 廊坊, 大专, 2000, 上市公, 移动互联网 · 数据服务
DB2, 9, 1, 技术, dba, 新炬网络, 广州, 本科, 500, 成熟型, 移动互联网 · 数据服务
DB2, 5, 3, 技术, dba, 视博电子, 郑州, 本科, 150, 初创型, 移动互联网
DB2运维工程师, 12, 3, 技术, dba, 软通动力, 北京, 本科, 2000, 上市公, 移动互联网 · 企业服务
诚聘DB2开发工程师, 11, 1, 技术, dba, 东软广州, 广州, 大专, 2000, 上市公, 移动互联网 · 金融
DB2工程师(金融项目)(005469), 17, 不, 技术, dba, 神州数码信息服务股份有限公司, 天津, 大专, 2000, 上市公, 硬件  · 数据服务
DB2工程师(金融项目)(005469), 17, 不, 技术, dba, 神州数码信息服务股份有限公司, 天津, 大专, 2000, 上市公, 硬件  · 数据服务
DB2运维, 12, 3, 技术, 运维, 软通动力, 北京, 本科, 2000, 上市公, 移动互联网 · 企业服务
sqlserver &amp;DB2运维工程师, 12, 1, 技术, dba, 软通动力, 北京, 本科, 2000, 上市公, 移动互联网 · 企业服务
数据库开发工程师(DB2 金融行业项目), 8, 1, 技术, dba, 赛融信科技, 北京, 本科, 50, 成熟型, 移动互联网 · 金融
