职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
ETL, 17, 5, 技术, dba, 北京捷越联合, 北京, 大专, 2000, 成熟型, 金融
ETL, 16, 1, 技术, dba, 汽车之家, 北京, 本科, 2000, 上市公, 移动互联网 · 文化娱乐
ETL, 4, 1, 技术, 后端开发, 上海天正, 宁波, 大专, 150, 成长型, 数据服务
ETL, 25, 5, 技术, dba, 买单侠, 上海, 本科, 150, 成长型, 金融
ETL, 19, 3, 技术, dba, 汽车之家, 北京, 本科, 2000, 上市公, 移动互联网 · 文化娱乐
ETL, 10, 1, 技术, 后端开发, 上海天正, 上海, 大专, 150, 成长型, 数据服务
ETL, 17, 3, 技术, dba, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
ETL, 22, 3, 技术, dba, 资邦, 上海, 大专, 2000, 成熟型, 金融
ETL, 11, 3, 技术, dba, 美迪, 成都, 大专, 50, 初创型, 移动互联网 · 医疗健康
ETL, 12, 3, 技术, dba, camelot, 上海, 学历不限, 2000, 上市公, 企业服务 · 其他
ETL, 11, 3, 技术, dba, 文思海辉, 上海, 本科, 2000, 上市公, 移动互联网
ETL, 8, 3, 技术, dba, EC Wise, 成都, 本科, 150, 初创型, 移动互联网
ETL, 9, 3, 技术, dba, 天源迪科, 成都, 本科, 2000, 上市公, 移动互联网  · 电子商务
ETL, 9, 1, 技术, dba, 文思海辉, 武汉, 大专, 2000, 上市公, 移动互联网
ETL, 12, 5, 技术, dba, 美迪, 成都, 本科, 50, 初创型, 移动互联网 · 医疗健康
ETL, 9, 1, 技术, dba, 文思海辉, 武汉, 本科, 2000, 上市公, 移动互联网
ETL, 7, 1, 技术, dba, 大连佰诚, 大连, 本科, 15, 初创型, 电子商务
ETL, 9, 不, 技术, dba, 佰钧成技术, 武汉, 大专, 2000, 成熟型, 企业服务 · 金融
ETL, 7, 1, 技术, dba, 文思海辉技术有限公司, 台州, 大专, 2000, 上市公, 移动互联网 · 电子商务
