职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
SQLServer, 22, 3, 技术, dba, 纷享销客, 北京, 本科, 500, 成熟型, 移动互联网
SQLServer, 16, 不, 技术, dba, 科研宝, 上海, 本科, 50, 成长型, 数据服务
SQLServer, 15, 3, 技术, dba, 孚高通, 北京, 学历不限, 500, 成熟型, 企业服务
SQLServer, 9, 1, 技术, dba, 元宝铺, 杭州, 大专, 150, 成长型, 金融
SQLServer, 15, 3, 技术, dba, 立信诺网络, 上海, 大专, 150, 成长型, 移动互联网
SQLServer, 13, 3, 技术, dba, 恩梯基汽车技术NTA, 上海, 学历不限, 150, 初创型, 企业服务 · O2O
SQLServer, 11, 1, 技术, dba, 世纪天成, 上海, 大专, 500, 初创型, 移动互联网 · 游戏
SQLServer, 12, 1, 技术, dba, 星阵地, 成都, 大专, 15, 成长型, 移动互联网
SQLServer, 8, 1, 技术, dba, 天宇正清科技, 北京, 大专, 150, 成熟型, 移动互联网 · 电子商务
SQLServer, 9, 1, 技术, dba, camelot, 上海, 学历不限, 2000, 上市公, 企业服务 · 其他
SQLServer, 10, 3, 技术, dba, 软通动力, 北京, 本科, 2000, 上市公, 移动互联网 · 企业服务
SQLServer, 5, 1, 技术, dba, 晞菲利电子商务, 深圳, 大专, 50, 成长型, 电子商务 · 其他
SQLServer, 16, 3, 技术, dba, 杭州菲助, 杭州, 本科, 50, 初创型, 移动互联网 · 教育
SQLServer, 12, 3, 技术, dba, 边锋, 杭州, 本科, 500, 成熟型, 移动互联网 · 游戏
SQLServer, 20, 3, 技术, dba, 爱上旅游, 上海, 本科, 50, 成长型, 移动互联网 · 旅游
SQLServer, 4, 1年以, 技术, dba, 湖南金特尔信息技术有限公司, 长沙, 大专, 50, 成长型, 医疗健康 · 数据服务
SQLServer, 5, 1, 技术, dba, 颐而康, 长沙, 学历不限, 2000, 成熟型, 医疗健康
SQLServer, 11, 不, 技术, dba, 中林木业, 青岛, 学历不限, 150, 成长型, 电子商务 · 其他
SQLServer, 6, 1, 技术, dba, 湖南金特尔信息技术有限公司, 长沙, 大专, 50, 成长型, 医疗健康 · 数据服务
SQLServer, 9, 3, 技术, dba, 博彦科技, 深圳, 本科, 2000, 上市公, 企业服务 · 数据服务
SQLServer, 17, 5, 技术, dba, Symbio-Freeborders, 深圳, 大专, 2000, 成熟型, 移动互联网 · 电子商务
SQLServer, 7, 3, 技术, dba, 浙江智轩, 宁波, 本科, 50, 成长型, 移动互联网 · 硬件
SQLServer, 14, 1, 技术, dba, 软通动力, 北京, 大专, 2000, 上市公, 移动互联网 · 企业服务
SQLServer, 12, 3, 技术, dba, 微创, 上海, 大专, 2000, 初创型, 移动互联网 · 数据服务
SQLServer, 13, 3, 技术, dba, 中奥网络, 郑州, 大专, 150, 初创型, 电子商务
SQLServer, 6, 1, 技术, dba, 新电上分, 上海, 大专, 150, 成长型, 企业服务 · 数据服务
SQLServer, 14, 1, 技术, dba, 软通动力, 北京, 大专, 2000, 上市公, 移动互联网 · 企业服务
SQLServer, 12, 3, 技术, dba, 天方达:精品医疗软件专家, 深圳, 大专, 150, 成长型, 移动互联网 · 医疗健康
SQLServer, 7, 不, 技术, dba, 帝擎信息, 上海, 学历不限, 50, 成长型, 电子商务 · 企业服务
