职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
数据仓库, 17, 5, 技术, dba, 北京捷越联合, 北京, 大专, 2000, 成熟型, 金融
数据仓库, 30, 1, 技术, dba, 滴滴打车, 北京, 本科, 500, 成熟型, 移动互联网
数据仓库, 10, 1, 技术, dba, 网金控股, 广州, 大专, 150, 成长型, 移动互联网 · 金融
数据仓库, 10, 1, 技术, dba, 网金控股, 广州, 大专, 150, 成长型, 移动互联网 · 金融
数据仓库, 7, 3, 技术, dba, 思特奇Si-tech, 长春, 本科, 2000, 成熟型, 数据服务
数据仓库, 12, 1, 技术, dba, 开新汽车, 上海, 本科, 500, 成长型, 移动互联网
数据仓库, 20, 1, 技术, dba, 兔博士, 上海, 大专, 15, 成长型, 移动互联网 · 生活服务
数据仓库, 22, 1, 技术, dba, 宜信公司, 北京, 本科, 2000, 成熟型, 移动互联网 · 金融
数据仓库, 22, 5, 技术, dba, 买单侠, 上海, 本科, 150, 成长型, 金融
数据仓库, 22, 3, 技术, dba, 宜信公司, 北京, 本科, 2000, 成熟型, 移动互联网 · 金融
数据仓库, 21, 3, 技术, dba, 什么值得买, 北京, 本科, 150, 成长型, 电子商务 · 文化娱乐
数据仓库, 4, 1, 技术, dba, 广缘, 秦皇岛, 大专, 2000, 成熟型, 生活服务 · 其他
数据仓库, 6, 1, 技术, dba, 长亮科技, 烟台, 大专, 500, 上市公, 企业服务
数据仓库, 15, 5, 技术, dba, 雅购, 宁波, 本科, 50, 成长型, 其他
数据仓库, 10, 3, 技术, dba, 中融民信, 北京, 本科, 2000, 成熟型, 移动互联网 · 金融
数据仓库, 16, 1, 技术, dba, 付融宝, 南京, 大专, 150, 上市公, 移动互联网 · 金融
数据仓库, 8, 1, 技术, dba, 奇立智云, 广州, 大专, 15, 初创型, 移动互联网 · 电子商务
数据仓库, 22, 1, 技术, dba, YeahMobi, 上海, 本科, 50, 成长型, 移动互联网 · 广告营销
数据仓库, 12, 1, 技术, dba, 网易, 杭州, 本科, 2000, 上市公, 移动互联网 · 游戏
数据仓库工程师, 17, 5, 技术, 后端开发, 北京捷越联合, 北京, 大专, 2000, 成熟型, 金融
数据仓库, 11, 1, 技术, dba, 团贷网, 东莞, 大专, 500, 成长型, 金融
数据仓库, 15, 3, 技术, dba, Pactera, 广州, 大专, 2000, 上市公, 金融
数据仓库, 16, 1, 技术, dba, 中地控股, 南京, 大专, 150, 成长型, 移动互联网 · 金融
数据仓库, 12, 1, 技术, dba, 中彩在线, 北京, 本科, 150, 成长型, 电子商务 · 金融
数据仓库, 19, 1, 技术, dba, 人人车, 北京, 本科, 500, 成熟型, O2O
数据仓库, 26, 1, 技术, dba, 人人车, 北京, 本科, 500, 成熟型, O2O
数据仓库, 22, 1, 技术, dba, 通远科技, 北京, 本科, 150, 成长型, 移动互联网 · 硬件
数据仓库, 10, 3, 技术, dba, 武汉中天慧购电商服务有限公司, 武汉, 大专, 15, 初创型, 电子商务 · O2O
数据仓库, 9, 3, 技术, dba, 文思海辉, 台州, 大专, 2000, 上市公, 移动互联网
数据仓库, 11, 3, 技术, dba, 卓荻, 上海, 学历不限, 150, 成长型, 移动互联网 · 企业服务
数据仓库, 15, 3, 技术, dba, 金慧融智数据有限公司, 成都, 大专, 500, 上市公, 移动互联网 · 数据服务
数据仓库, 10, 3, 技术, dba, 叮当钱包, 北京, 学历不限, 2000, 成长型, 移动互联网 · 金融
数据仓库, 20, 不, 技术, dba, 艾德思奇adSage, 北京, 本科, 500, 成长型, 移动互联网 · 广告营销
数据仓库, 15, 不, 技术, dba, 长城证券, 深圳, 本科, 2000, 初创型, 金融
数据仓库, 25, 3, 技术, dba, 国金证券, 上海, 本科, 2000, 上市公, 金融
数据仓库, 22, 1, 技术, dba, 人人车, 北京, 本科, 500, 成熟型, O2O
数据仓库工程师, 22, 5, 技术, 后端开发, 美的厨房电器事业部, 佛山, 本科, 2000, 上市公, 硬件
数据仓库, 9, 1, 技术, dba, 银嘉金融, 上海, 大专, 150, 初创型, 电子商务
数据仓库, 7, 3, 技术, dba, 银信财富, 北京, 学历不限, 2000, 成熟型, 金融
数据仓库, 12, 1, 技术, dba, 厚本金融, 上海, 本科, 500, 成长型, 金融
数据仓库, 9, 不, 技术, dba, 博彦科技, 杭州, 本科, 2000, 上市公, 移动互联网 · 企业服务
数据仓库, 11, 3, 技术, dba, 银信财富, 北京, 本科, 2000, 成熟型, 金融
数据仓库, 15, 1, 技术, dba, 网易, 杭州, 本科, 2000, 上市公, 移动互联网 · 游戏
