职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
实施工程师, 5, 1年以, 技术, 企业软件, 施强网络, 杭州, 大专, 2000, 成熟型, 移动互联网
实施工程师, 6, 1, 技术, 企业软件, 北大医信, 济南, 本科, 500, 成熟型, 医疗健康
实施工程师, 6, 1, 技术, 企业软件, 兰途科技, 西安, 大专, 15, 初创型, 移动互联网
实施工程师（华中区）, 6, 3, 技术, 企业软件, 北大医信, 南昌, 大专, 500, 成熟型, 医疗健康
实施工程师, 7, 1, 技术, 企业软件, 粤科软件, 上海, 大专, 150, 成长型, 电子商务 · 企业服务
实施工程师, 6, 不, 技术, 企业软件, 新希望软件, 宁波, 大专, 50, 初创型, 企业服务 · 生活服务
实施工程师, 5, 1, 技术, 企业软件, 上海蓝灯, 上海, 大专, 150, 初创型, 数据服务
实施工程师, 7, 1, 技术, 企业软件, 广州中软, 广州, 本科, 150, 成长型, 数据服务 · 硬件
实施工程师, 7, 1年以, 技术, 运维, UnitedStack, 北京, 大专, 50, 成长型, 数据服务
实施工程师, 5, 1, 技术, 企业软件, 泛微, 三明, 大专, 500, 成熟型, 移动互联网 · 企业服务
实施工程师, 5, 1, 技术, 企业软件, 泛微, 莆田, 大专, 500, 成熟型, 移动互联网 · 企业服务
实施工程师, 8, 1, 技术, 企业软件, 广东亿迅, 广州, 本科, 2000, 成熟型, 其他
实施工程师, 5, 1年以, 技术, 企业软件, 泛微, 上海, 本科, 500, 成熟型, 移动互联网 · 企业服务
实施工程师, 6, 1, 技术, 企业软件, 百会, 北京, 大专, 150, 初创型, 移动互联网 · 企业服务
实施工程师, 8, 3, 技术, 企业软件, 普福斯科技, 苏州, 本科, 50, 成长型, 移动互联网 · 数据服务
实施工程师, 5, 1, 技术, 企业软件, 泛微, 绍兴, 大专, 500, 成熟型, 移动互联网 · 企业服务
实施工程师, 5, 1, 技术, 企业软件, 泛微, 金华, 大专, 500, 成熟型, 移动互联网 · 企业服务
实施工程师, 4, 1年以, 技术, 运维, 云嘉, 杭州, 大专, 50, 成长型, 移动互联网 · 数据服务
实施工程师, 6, 1, 技术, 企业软件, 浙江保融, 杭州, 本科, 150, 成长型, 金融
实施工程师 (实习生), 5, 不, 技术, 企业软件, 云开软件, 上海, 大专, 15, 初创型, 企业服务
实施工程师, 4, 不, 技术, 企业软件, 海鼎, 武汉, 本科, 150, 初创型, 企业服务
实施工程师, 6, 1, 技术, 企业软件, 华标, 珠海, 大专, 50, 初创型, 移动互联网 · 电子商务
实施工程师, 3, 不, 技术, 企业软件, 重庆润萌科技有限公司, 重庆, 大专, 150, 成长型, 移动互联网 · 教育
实施工程师, 5, 不, 技术, 企业软件, 华邦股份（广州）, 广州, 大专, 50, 上市公, 移动互联网 · 电子商务
实施工程师（大客户）, 6, 1, 技术, 企业软件, 北大医信, 北京, 大专, 500, 成熟型, 医疗健康
实施工程师, 4, 1, 技术, 企业软件, 有礼派, 广州, 大专, 50, 成长型, 移动互联网 · O2O
实施工程师, 11, 1, 技术, 后端开发, 飞搏软件, 南京, 大专, 50, 初创型, 移动互联网
实施工程师, 6, 1, 技术, 企业软件, 健康饮水, 温州, 本科, 150, 初创型, 其他
实施工程师, 4, 3, 技术, 运维, 武汉蓝智, 武汉, 学历不限, 15, 初创型, 移动互联网 · 数据服务
实施工程师, 11, 不, 技术, 企业软件, 金智信息, 南京, 本科, 500, 上市公, 移动互联网
实施工程师, 5, 1, 技术, 企业软件, 泛微, 宁波, 大专, 500, 成熟型, 移动互联网 · 企业服务
实施工程师, 5, 不, 技术, 企业软件, 泛微, 杭州, 大专, 500, 成熟型, 移动互联网 · 企业服务
实施工程师, 7, 1, 技术, 企业软件, 纽盾科技, 上海, 本科, 50, 成长型, 移动互联网
实施工程师, 5, 1, 技术, 企业软件, 梅叶医疗, 昆山, 大专, 15, 初创型, 移动互联网 · 其他
实施工程师, 9, 1, 技术, 企业软件, 恒生电子, 成都, 本科, 2000, 上市公, 移动互联网 · 金融
实施工程师, 4, 不, 技术, 企业软件, 亿阳信通, 成都, 本科, 2000, 上市公, 移动互联网 · 数据服务
实施工程师, 6, 不, 技术, 企业软件, 极课大数据, 杭州, 大专, 50, 成长型, 教育
实施工程师, 4, 1, 技术, 企业软件, 运筹网络, 广州, 大专, 15, 初创型, 移动互联网 · 生活服务
实施工程师, 7, 不, 技术, 企业软件, 新核云, 上海, 本科, 15, 初创型, 移动互联网 · 企业服务
实施工程师, 6, 1, 技术, 运维, 杭州联汇数字科技有限公司, 杭州, 大专, 150, 成长型, 移动互联网 · 电子商务
实施工程师, 6, 1, 技术, 企业软件, 玄武科技, 厦门, 本科, 500, 上市公, 移动互联网 · 招聘
实施工程师, 5, 1, 技术, 企业软件, 天维信息, 广州, 大专, 150, 初创型, 金融 · 数据服务
实施工程师, 7, 1, 技术, 企业软件, 玄武科技, 南宁, 本科, 500, 上市公, 移动互联网 · 招聘
实施工程师, 10, 3, 技术, 企业软件, 找钢网, 长沙, 本科, 500, 成熟型, 移动互联网 · 电子商务
实施工程师, 4, 1, 技术, 企业软件, 广东三维家信息科技有限公司, 广州, 大专, 150, 成长型, 移动互联网 · 硬件
实施工程师, 7, 1, 技术, 企业软件, 拓尔思, 广州, 本科, 500, 上市公, 移动互联网 · 数据服务
实施工程师, 7, 1, 技术, 企业软件, 玄武科技, 昆明, 本科, 500, 上市公, 移动互联网 · 招聘
实施工程师, 4, 1, 技术, 企业软件, 拓普计算机公司, 郑州, 本科, 150, 上市公, 移动互联网
实施工程师, 6, 1, 技术, 企业软件, 极课大数据, 上海, 大专, 50, 成长型, 教育
实施工程师（WEB）, 12, 1, 技术, 企业软件, 用友IUAP, 北京, 本科, 2000, 上市公, 移动互联网 · 数据服务
实施工程师, 11, 5, 技术, 企业软件, Liferay 大连, 大连, 本科, 50, 成长型, 其他
实施工程师, 4, 不, 技术, 企业软件, 中软国际, 无锡, 大专, 2000, 上市公, 企业服务 · 金融
实施工程师, 4, 1, 技术, 企业软件, 厦门天锐, 厦门, 本科, 150, 成熟型, 信息安全
实施工程师, 12, 5, 技术, 企业软件, JKS, 上海, 大专, 2000, 上市公, 其他
实施工程师, 4, 不, 技术, 企业软件, 格讯, 惠州, 学历不限, 50, 成长型, O2O · 数据服务
实施工程师, 4, 不, 技术, 企业软件, 合肥拓普网络有限责任公司, 合肥, 大专, 50, 上市公, 移动互联网 · 信息安全
实施工程师, 7, 不, 技术, 企业软件, 荣均信科, 苏州, 学历不限, 15, 初创型, O2O · 其他
实施工程师, 5, 1, 技术, 运维, 天维信息, 广州, 大专, 150, 初创型, 金融 · 数据服务
实施工程师, 3, 不, 技术, 企业软件, 创邺信息科技, 中山, 大专, 15, 初创型, 电子商务
实施工程师, 19, 1, 技术, 企业软件, 宝豆科技, 上海, 本科, 15, 成长型, 数据服务 · O2O
实施工程师, 5, 不, 技术, 企业软件, 谷瞰, 杭州, 大专, 50, 成长型, 移动互联网 · 医疗健康
实施工程师, 7, 1, 技术, 企业软件, WaveFax, 广州, 本科, 15, 初创型, 企业服务
实施工程师, 4, 1, 技术, 企业软件, 卫宁软件科技, 无锡, 大专, 150, 上市公, 医疗健康 · 数据服务
实施工程师, 19, 1, 技术, 后端开发, 宝豆科技, 广州, 本科, 15, 成长型, 数据服务 · O2O
实施工程师, 4, 1, 技术, 企业软件, 普华讯光, 西安, 本科, 50, 初创型, 移动互联网 · 企业服务
