职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
DSP开发, 9, 1, 技术, 硬件开发, 广州寰讯信息科技, 广州, 本科, 15, 初创型, 移动互联网 · 教育
DSP开发, 15, 1, 技术, 硬件开发, 上海英同, 上海, 本科, 50, 成长型, 其他
DSP开发, 9, 3, 技术, 硬件开发, 牛客智能自行车, 广州, 本科, 15, 初创型, O2O · 硬件
DSP开发, 15, 3, 技术, 硬件开发, 无限时空, 北京, 本科, 50, 成熟型, 游戏
DSP开发, 9, 3, 技术, 硬件开发, Symphony Teleca, 成都, 大专, 2000, 成熟型, 移动互联网 · 其他
DSP开发, 11, 1, 技术, 硬件开发, 速腾聚创, 深圳, 本科, 15, 成长型, 移动互联网 · 硬件
DSP开发, 8, 1, 技术, 硬件开发, 中科飞鸿, 北京, 本科, 150, 初创型, 硬件
DSP开发, 5, 1, 技术, 硬件开发, 优诺科技, 西安, 本科, 15, 初创型, 其他
DSP开发, 7, 1, 技术, 硬件开发, 科士达, 深圳, 本科, 2000, 上市公, 硬件 · 其他
FPGA、DSP开发, 8, 1, 技术, 硬件开发, 航天巨恒, 北京, 学历不限, 15, 初创型, 硬件
识别系统工程师（DSP开发）, 22, 3, 技术, 硬件开发, 知豆智信, 北京, 本科, 2000, 成熟型, 电子商务 · 其他
