职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
PCB工艺, 4, 1, 技术, 硬件开发, 飞行机器人硬件、软件、算法, 杭州, 大专, 15, 初创型, 硬件 · 其他
PCB工艺（工艺工程师）, 8, 5, 技术, 硬件开发, 云顶科技, 张家港, 大专, 50, 成长型, 电子商务
PCB工艺, 6, 3, 技术, 硬件开发, 洪泰智造基金, 北京, 大专, 15, 初创型, 企业服务 · 硬件
PCB工艺, 8, 1, 技术, 硬件开发, 朗威视讯, 北京, 本科, 50, 上市公, 文化娱乐 · 其他
PCB工艺, 9, 1, 技术, 硬件开发, 极翼无人机, 上海, 大专, 15, 初创型, 硬件 · 其他
PCB工艺工程师, 7, 3, 技术, 硬件开发, 掌中无限, 南昌, 大专, 50, 初创型, 移动互联网 · 硬件
PCB工程师, 15, 1, 技术, 硬件开发, 一加手机, 深圳, 本科, 500, 初创型, 电子商务
PCB工艺工程师, 7, 3, 技术, 硬件开发, 智能无限, 南昌, 大专, 15, 初创型, 移动互联网 · 硬件
PCB工程师, 22, 3, 技术, 硬件开发, MaxMax, 北京, 本科, 15, 成长型, 移动互联网 · 硬件
PCB工程师, 11, 1, 技术, 硬件开发, 武汉尚软科技, 武汉, 大专, 50, 成长型, 移动互联网 · 电子商务
PCB销售工程师, 7, 1, 市场与销售, 销售, ickey, 上海, 大专, 150, 成长型, 电子商务
PCB工程师（急招）, 9, 3, 技术, 硬件开发, 奥拓电子, 深圳, 本科, 500, 上市公, 硬件 · 金融
PCB工程师, 15, 1, 技术, 硬件开发, 韵动科技, 北京, 本科, 15, 初创型, 游戏 · 硬件
PCB 工程师, 15, 不, 技术, 硬件开发, DJI大疆创新, 深圳, 本科, 2000, 初创型, 移动互联网 · 硬件
PCB工程师, 6, 1, 技术, 硬件开发, 广州思林杰网络科技有限公司, 广州, 本科, 50, 成长型, 企业服务 · 硬件
PCB layout工程师, 15, 5, 技术, 硬件开发, 灵镜VR, 北京, 本科, 50, 成长型, 游戏 · 硬件
PCB LAYOUT工程师, 7, 1, 技术, 硬件开发, kinco步科, 上海, 大专, 150, 初创型, 其他
PCB互联工程师, 8, 1, 技术, 硬件开发, 海微, 武汉, 大专, 50, 成长型, 移动互联网
PCB工程师, 12, 3, 技术, 硬件开发, 北京金立, 北京, 本科, 2000, 成熟型, 移动互联网 · 其他
PCB销售总监, 27, 3, 市场与销售, 高端市场职位, 立信诺网络, 深圳, 本科, 150, 成长型, 移动互联网
PCB版图设计总监, 9, 1, 技术, 硬件开发, 物联传感, 上海, 本科, 500, 成长型, 电子商务 · O2O
PCB工程师, 15, 1, 技术, 硬件开发, 飞天联合, 北京, 大专, 50, 成长型, 移动互联网
PCB Layout开发工程师, 9, 3, 技术, 硬件开发, 中移物联网, 成都, 本科, 150, 初创型, 移动互联网
工艺工程师, 6, 3, 运营, 运营, 杭州思客, 杭州, 大专, 15, 初创型, 医疗健康
PCB工程师, 7, 1, 技术, 硬件开发, 明微科技, 北京, 大专, 15, 初创型, 硬件 · 其他
PCB layout工程师, 13, 不, 技术, 硬件开发, DJI大疆创新, 深圳, 大专, 2000, 初创型, 移动互联网 · 硬件
工艺工程师, 5, 不, 技术, 硬件开发, 美控, 杭州, 学历不限, 50, 初创型, 移动互联网 · 其他
PCB版图设计主管, 9, 1, 技术, 后端开发, 物联传感, 上海, 本科, 500, 成长型, 电子商务 · O2O
