职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
自动化, 4, 不, 技术, 硬件开发, kingsky, 广州, 大专, 15, 初创型, 其他
自动化, 6, 3, 技术, 硬件开发, 世优电气, 湘潭, 本科, 150, 上市公, 硬件 · 其他
自动化, 11, 5, 技术, 硬件开发, 昊科机电, 上海, 本科, 15, 初创型, 硬件
自动化, 12, 5, 技术, 硬件开发, 昊科机电, 上海, 本科, 15, 初创型, 硬件
自动化, 5, 1年以, 技术, 硬件开发, 方芝维, 上海, 大专, 15, 初创型, 生活服务
自动化, 7, 3, 技术, 硬件开发, 亿家科技, 重庆, 大专, 15, 初创型, 移动互联网 · 医疗健康
自动化, 4, 1, 技术, 硬件开发, 众仝智能, 长沙, 大专, 15, 初创型, 企业服务
自动化, 4, 1, 技术, 硬件开发, 云锡集团, 徐州, 本科, 500, 上市公, 金融 · 分类信息
自动化, 7, 3, 技术, 硬件开发, 菲尼斯人才, 嘉兴, 大专, 15, 初创型, 企业服务
自动化, 7, 3, 技术, 硬件开发, 菲尼斯人才, 嘉兴, 大专, 15, 初创型, 企业服务
自动化测试工程师, 17, 3, 技术, 测试, 北京捷越联合, 北京, 大专, 2000, 成熟型, 金融
自动化, 6, 不, 技术, 硬件开发, 上海昌洛, 上海, 本科, 15, 初创型, 硬件 · 其他
自动化测试工程师, 11, 1, 技术, 测试, 煜隆集团, 深圳, 本科, 150, 成长型, O2O · 金融
自动化测试工程师, 10, 1, 技术, 测试, 美乐乐家居网, 深圳, 本科, 2000, 成熟型, 移动互联网 · 电子商务
自动化测试工程师, 10, 3, 技术, 测试, 银信网银, 深圳, 本科, 150, 成熟型, 金融
自动化, 7, 5, 技术, 硬件开发, 菲尼斯人才, 嘉兴, 大专, 15, 初创型, 企业服务
自动化测试工程师, 12, 3, 技术, 测试, 中科汇联, 北京, 本科, 150, 成长型, 企业服务
自动化助理, 4, 不, 技术, 硬件开发, 东方电子, 烟台, 大专, 500, 上市公, 电子商务 · 硬件
自动化测试工程师, 11, 1, 技术, 测试, 联想利泰, 北京, 大专, 500, 初创型, 移动互联网 · 招聘
自动化测试工程师, 15, 1, 技术, 测试, 学霸君, 上海, 本科, 150, 成长型, 移动互联网 · 教育
自动化测试工程师, 8, 1, 技术, 测试, 美柚, 厦门, 本科, 150, 成熟型, 移动互联网
自动化测试工程师, 15, 3, 技术, 测试, 中顺易, 深圳, 大专, 150, 成长型, 移动互联网 · 金融
自动化测试工程师, 15, 3, 技术, 测试, 翼龙贷网, 北京, 本科, 150, 成长型, 金融
自动化测试工程师, 15, 3, 技术, 测试, 要出发, 广州, 本科, 500, 成熟型, 电子商务 · 生活服务
自动化测试工程师, 20, 不, 技术, 测试, 沪江, 上海, 本科, 500, 成熟型, 移动互联网 · 教育
自动化测试工程师, 20, 3, 技术, 测试, 车享网, 上海, 本科, 500, 成熟型, 电子商务 · O2O
自动化测试工程师, 12, 1, 技术, 测试, 要出发, 广州, 本科, 500, 成熟型, 电子商务 · 生活服务
自动化测试工程师, 12, 1, 技术, 测试, 动西网络, 上海, 本科, 150, 成长型, 生活服务
自动化测试经理, 15, 3, 技术, 测试, 汽车超人, 杭州, 本科, 500, 成熟型, 移动互联网 · O2O
自动化测试工程师, 13, 3, 技术, 测试, 北京云栖科技有限公司, 北京, 大专, 50, 成长型, 移动互联网 · 数据服务
自动化测试工程师, 17, 1, 技术, 测试, 中瑞财富, 北京, 本科, 50, 成长型, 金融
高级自动化测试工程师（持续集成）, 15, 3, 技术, 测试, 中青旅遨游网, 北京, 本科, 500, 上市公, 旅游
自动化测试工程师, 15, 3, 技术, 测试, 融锋网络, 上海, 本科, 15, 初创型, 移动互联网 · 电子商务
自动化测试工程师, 7, 1, 技术, 测试, Dilato, 北京, 本科, 150, 成长型, 移动互联网 · 数据服务
自动化测试工程师, 8, 1, 技术, 测试, 数码视讯, 北京, 本科, 2000, 上市公, 硬件 · 文化娱乐
自动化工程师, 7, 1, 技术, 测试, 信码互通, 北京, 本科, 150, 初创型, O2O · 数据服务
