职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
系统集成, 7, 5, 技术, 硬件开发, 蓉兴软创, 成都, 学历不限, 15, 初创型, 移动互联网
系统集成, 5, 1, 技术, 硬件开发, 蓉兴软创, 成都, 学历不限, 15, 初创型, 移动互联网
系统集成, 10, 3, 技术, 硬件开发, 节点通, 北京, 本科, 50, 成长型, 移动互联网 · 信息安全
系统集成, 8, 不, 技术, 硬件开发, 金证股份, 上海, 大专, 2000, 上市公, 金融
系统集成, 19, 3, 技术, 硬件开发, 磁石科技, 深圳, 本科, 50, 成长型, 移动互联网
系统集成, 8, 1, 技术, 硬件开发, 壹零后, 上海, 本科, 50, 成长型, 移动互联网 · 数据服务
系统集成工程师, 5, 1, 技术, 运维, 武汉政通, 武汉, 大专, 500, 上市公, 移动互联网
系统集成工程师, 7, 3, 技术, 企业软件, 傲天通信, 深圳, 本科, 150, 成长型, 移动互联网 · 数据服务
系统集成, 15, 1, 技术, 硬件开发, 立信诺网络, 深圳, 本科, 150, 成长型, 移动互联网
系统集成, 10, 1, 技术, 硬件开发, 壹零后, 深圳, 本科, 50, 成长型, 移动互联网 · 数据服务
系统集成, 8, 1, 技术, 硬件开发, 绿城信息, 杭州, 本科, 50, 成长型, 移动互联网 · 生活服务
系统集成, 6, 1, 技术, 硬件开发, 易通星云, 长沙, 大专, 15, 初创型, 移动互联网 · 硬件
系统集成, 11, 3, 技术, 硬件开发, 日日顺, 北京, 大专, 500, 上市公, 其他
系统集成工程师, 8, 1, 技术, 运维, 傲天通信, 深圳, 大专, 150, 成长型, 移动互联网 · 数据服务
系统集成, 7, 1, 技术, 硬件开发, 纽麦克斯, 深圳, 大专, 15, 初创型, 移动互联网 · O2O
系统集成工程师, 5, 1, 技术, 硬件开发, 数文科技, 武汉, 本科, 50, 初创型, 移动互联网
系统集成工程师, 15, 3, 技术, 移动开发, 数码视讯, 深圳, 本科, 2000, 上市公, 硬件 · 文化娱乐
系统集成工程师, 15, 1, 技术, 运维, 淘淘族, 北京, 本科, 150, 成长型, 电子商务
系统集成, 5, 1, 技术, 硬件开发, 星源辉煌, 北京, 学历不限, 15, 初创型, 硬件 · 其他
系统集成, 5, 1, 技术, 硬件开发, 菲尼斯人才, 沈阳, 本科, 15, 初创型, 企业服务
系统集成, 4, 1, 技术, 硬件开发, MTC, 北京, 本科, 15, 初创型, 其他
系统集成工程师, 22, 不, 技术, 运维, Avazu, 上海, 学历不限, 150, 上市公, 移动互联网 · 广告营销
系统集成, 8, 1, 技术, 硬件开发, 佳讯飞鸿, 北京, 本科, 150, 上市公, 数据服务 · 文化娱乐
系统集成工程师, 4, 不, 技术, 运维, 广东睿盟科技, 广州, 大专, 50, 成长型, 移动互联网 · 其他
系统集成工程师, 8, 3, 技术, 企业软件, 中广瑞波, 北京, 大专, 50, 成熟型, 移动互联网 · 数据服务
系统集成工程师, 6, 1, 技术, 硬件开发, 上海宝资, 上海, 大专, 50, 初创型, 电子商务
系统集成工程师, 7, 不, 技术, 后端开发, 北京伊士格科技有限责任公司, 北京, 学历不限, 15, 初创型, 其他
系统集成, 5, 不, 技术, 运维, 武汉佰钧成技术有限公司, 天津, 大专, 2000, 成长型, 移动互联网 · 分类信息
系统集成工程师, 15, 3, 技术, 硬件开发, 朴道旅游科技, 长沙, 本科, 15, 成长型, 移动互联网
系统集成工程师, 5, 1, 技术, 运维, 绿创科技, 广州, 大专, 15, 初创型, 移动互联网
系统集成工程师, 8, 5, 技术, 后端开发, 点点帮, 成都, 本科, 50, 成长型, O2O
系统集成工程师, 15, 1, 技术, 硬件开发, 鼎辉集团, 北京, 本科, 2000, 成熟型, 金融
系统集成, 4, 不, 技术, 硬件开发, 世通网联, 北京, 学历不限, 15, 初创型, 教育 · 硬件
系统集成工程师, 6, 1, 技术, 运维, 中科信科技, 长沙, 大专, 500, 成熟型, 移动互联网 · 医疗健康
系统集成工程师, 9, 1, 技术, 硬件开发, 中移物联网, 重庆, 本科, 150, 初创型, 移动互联网
系统集成工程师, 10, 1, 技术, 项目管理, 中教美育, 北京, 大专, 50, 初创型, 移动互联网 · 教育
系统集成, 15, 1, 技术, 硬件开发, 再保金融, 南京, 本科, 15, 初创型, 金融
系统集成工程师, 11, 3, 技术, 运维, Nesun, 深圳, 大专, 150, 成长型, 电子商务 · 信息安全
系统集成, 15, 1, 技术, 硬件开发, 众蓝影云, 北京, 本科, 50, 初创型, 移动互联网 · 电子商务
系统集成工程师, 7, 1, 技术, 硬件开发, 北京全域技术, 北京, 本科, 50, 成长型, 医疗健康 · 数据服务
系统集成工程师, 4, 1, 技术, 硬件开发, 中成科信, 北京, 大专, 50, 初创型, 电子商务 · O2O
系统集成工程师, 5, 1年以, 技术, 硬件开发, 天源迪科, 广州, 本科, 2000, 上市公, 移动互联网  · 电子商务
系统集成工程师, 15, 3, 技术, 后端开发, 海云数据, 北京, 本科, 50, 成长型, 数据服务 · 企业服务
系统集成工程师, 9, 3, 技术, 硬件开发, 中移物联网, 北京, 本科, 150, 初创型, 移动互联网
系统集成工程师, 6, 3, 技术, 硬件开发, 北京国信通讯系统有限公司, 北京, 大专, 50, 成长型, 移动互联网
系统集成工程师, 8, 3, 技术, 企业软件, 万德软件, 南京, 大专, 50, 成熟型, 移动互联网 · 电子商务
系统集成工程师, 11, 1, 技术, 运维, 七牛云存储, 上海, 大专, 50, 成熟型, 移动互联网 · 数据服务
系统集成工程师, 5, 3, 技术, 硬件开发, 正孚软件, 福州, 大专, 50, 成长型, 信息安全 · 其他
系统集成工程师, 7, 1, 技术, 硬件开发, 迎福时代, 北京, 大专, 50, 初创型, 移动互联网 · 数据服务
系统集成工程师（硬件方向）, 8, 1, 技术, 硬件开发, 广东东华发思特, 珠海, 本科, 50, 成长型, 移动互联网
系统集成工程师, 11, 1, 技术, 运维, 七牛云存储, 上海, 大专, 50, 成熟型, 移动互联网 · 数据服务
系统集成工程师, 3, 1, 技术, 运维, 宝延科技(天津), 天津, 学历不限, 15, 初创型, 移动互联网 · 硬件
系统集成工程师, 17, 3, 技术, 硬件开发, 海航通信, 北京, 本科, 150, 成长型, 移动互联网 · 生活服务
系统集成工程师, 7, 3, 技术, 运维, 华昊东方科技, 深圳, 大专, 15, 初创型, 数据服务 · 硬件
系统集成工程师, 11, 3, 技术, 硬件开发, 鸿冠信息, 上海, 大专, 150, 上市公, 移动互联网
