职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
单片机, 9, 1, 技术, 硬件开发, 时尚德源, 深圳, 本科, 50, 初创型, 电子商务 · 游戏
单片机, 9, 3, 技术, 硬件开发, 唯创知音, 深圳, 大专, 50, 初创型, 移动互联网 · 其他
单片机, 6, 1, 技术, 硬件开发, 天网商数科技, 东莞, 大专, 500, 成熟型, 移动互联网 · 电子商务
单片机, 15, 1, 技术, 硬件开发, 北醒, 北京, 学历不限, 15, 成长型, 其他
单片机, 4, 应届毕业, 技术, 硬件开发, 智嘉, 东莞, 大专, 500, 成熟型, 其他
单片机, 4, 3, 技术, 硬件开发, anfeek, 武汉, 本科, 15, 初创型, 医疗健康 · 数据服务
单片机, 6, 3, 技术, 硬件开发, MTC, 北京, 本科, 15, 初创型, 其他
单片机, 7, 3, 技术, 硬件开发, 成都理想科技, 成都, 大专, 50, 成长型, 移动互联网 · 硬件
单片机, 6, 不, 技术, 硬件开发, 乐博乐博机器人教育科技有限公司2008年成立，目前全国有100多家学习中心。, 广州, 大专, 150, 成长型, 教育
单片机, 8, 1, 技术, 硬件开发, 北京苹果知科技有限公司, 北京, 大专, 15, 初创型, 移动互联网 · 硬件
单片机, 9, 1, 技术, 硬件开发, 联创电器, 深圳, 大专, 2000, 初创型, 其他
单片机, 7, 不, 技术, 硬件开发, 昊瑞昌, 北京, 学历不限, 15, 初创型, 分类信息 · 其他
单片机, 8, 3, 技术, 硬件开发, 克莱沃, 深圳, 大专, 150, 初创型, 数据服务 · 硬件
单片机工程师, 6, 1, 技术, 硬件开发, 星唯科技, 广州, 学历不限, 150, 成长型, 移动互联网
单片机, 7, 1, 技术, 硬件开发, 商泰, 上海, 本科, 500, 初创型, 数据服务 · 硬件
单片机, 4, 1, 技术, 硬件开发, 华嵌, 武汉, 本科, 15, 初创型, 移动互联网 · 教育
单片机, 7, 3, 技术, 硬件开发, 卓信科技, 南京, 本科, 50, 初创型, 企业服务 · 其他
单片机工程师, 6, 1, 技术, 硬件开发, 星唯科技, 广州, 本科, 150, 成长型, 移动互联网
单片机, 3, 1, 技术, 硬件开发, 山锋测控, 广州, 大专, 15, 初创型, 企业服务 · 数据服务
单片机, 12, 1, 技术, 硬件开发, 芝麻开门, 北京, 大专, 50, 成长型, 移动互联网 · 硬件
单片机, 15, 1, 技术, 硬件开发, 芝麻开门, 北京, 大专, 50, 成长型, 移动互联网 · 硬件
单片机, 6, 1, 技术, 硬件开发, 标富科技, 深圳, 学历不限, 50, 初创型, 硬件 · 其他
单片机工程师, 5, 1, 技术, 硬件开发, 康盛生物科技, 广州, 学历不限, 150, 初创型, 医疗健康
单片机工程师, 6, 1, 技术, 硬件开发, 正虹科技, 广州, 大专, 15, 成长型, 移动互联网
单片机工程师, 15, 1, 技术, 硬件开发, 索那声美, 杭州, 本科, 15, 成长型, 移动互联网 · 硬件
单片机工程师, 12, 1, 技术, 硬件开发, 空车位, 北京, 大专, 15, 初创型, 移动互联网 · 生活服务
