职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
CTO, 30, 5, 技术, 高端技术职位, 诚信贷, 北京, 本科, 15, 初创型, 移动互联网 · 金融
CTO, 75, 5, 技术, 高端技术职位, DataEye, 深圳, 本科, 50, 成长型, 移动互联网 · 游戏
CTO, 60, 5, 技术, 高端技术职位, 上海斗斗星信息科技有限公司, 上海, 本科, 50, 成长型, 移动互联网
CTO, 25, 3, 技术, 高端技术职位, twinkle, 上海, 本科, 15, 初创型, 移动互联网 · 社交网络
CTO, 32, 5, 技术, 高端技术职位, 著巢网, 上海, 本科, 15, 初创型, 广告营销 · 分类信息
CTO, 30, 5, 技术, 高端技术职位, 决胜网, 北京, 本科, 50, 成长型, O2O · 教育
CTO（首席技术官）, 25, 3, 技术, 高端技术职位, 创新谷, 深圳, 本科, 150, 初创型, 移动互联网
CTO, 30, 10年以, 技术, 高端技术职位, 青团社, 杭州, 学历不限, 50, 成长型, 移动互联网 · 招聘
CTO, 32, 5, 技术, 高端技术职位, 聚焦营销, 北京, 本科, 15, 成长型, 移动互联网 · 广告营销
CTO/首席技术官, 30, 5, 技术, 高端技术职位, 乐金所, 合肥, 本科, 50, 初创型, O2O · 金融
CTO, 75, 3, 技术, 高端技术职位, 趣分期, 北京, 学历不限, 2000, 成熟型, 金融
首席架构师, 50, 5, 技术, 高端技术职位, 学乐, 杭州, 本科, 150, 成熟型, 教育
CTO, 12, 3, 技术, 高端技术职位, 蓝格网络, 芜湖, 本科, 15, 初创型, 移动互联网 · O2O
CTO, 65, 5, 技术, 高端技术职位, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
CTO, 22, 3, 技术, 高端技术职位, 易陪练, 北京, 本科, 15, 初创型, 移动互联网
CTO, 30, 5, 技术, 高端技术职位, 点豆农业电商, 北京, 学历不限, 500, 成熟型, 移动互联网 · 电子商务
CTO, 40, 5, 技术, 高端技术职位, 网信集团, 北京, 大专, 2000, 成长型, 金融
CTO, 22, 3, 技术, 高端技术职位, 宝霖丰, 上海, 本科, 15, 初创型, 移动互联网
CTO, 30, 10年以, 技术, 高端技术职位, 景尚旅游, 常州, 本科, 500, 上市公, 电子商务 · 旅游
CTO, 25, 5, 技术, 高端技术职位, 蜜淘科技, 广州, 大专, 15, 成长型, 移动互联网
CTO, 40, 1, 技术, 高端技术职位, 厦门市云客网络科技有限公司, 厦门, 大专, 50, 初创型, 移动互联网 · 电子商务
CTO, 22, 3, 技术, 高端技术职位, 新稀宝, 济南, 大专, 150, 初创型, 医疗健康 · 生活服务
CTO, 27, 3, 技术, 高端技术职位, 初创型公司从事互联网+旅游媒体, 苏州, 学历不限, 15, 初创型, 旅游 · 广告营销
CTO, 12, 3, 技术, 高端技术职位, 52校园, 郑州, 本科, 50, 成长型, 电子商务 · 金融
CTO, 65, 5, 技术, 高端技术职位, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
CTO, 32, 5, 技术, 高端技术职位, 云麻豆, 宁波, 本科, 15, 初创型, 移动互联网 · 电子商务
CTO, 40, 5, 技术, 高端技术职位, 网商园, 杭州, 大专, 15, 初创型, 移动互联网
CTO, 15, 3, 技术, 高端技术职位, 梵天科技, 长沙, 学历不限, 50, 初创型, 移动互联网 · 游戏
CTO, 20, 3, 职能, 高端职能职位, 微之家, 厦门, 本科, 15, 初创型, 移动互联网 · 教育
CTO, 30, 3, 技术, 高端技术职位, 雷猴软件开发有限公司, 广州, 大专, 50, 成长型, 移动互联网
CTO, 40, 5, 技术, 高端技术职位, 浙江聚有财, 杭州, 本科, 50, 初创型, 金融
CTO（动漫二次元）, 13, 5, 技术, 高端技术职位, 呆呆阿卜, 苏州, 学历不限, 15, 初创型, 移动互联网 · O2O
首席架构师, 40, 5, 技术, 高端技术职位, 零壹互联, 深圳, 本科, 150, 成长型, 移动互联网 · O2O
