职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
测试总监, 20, 5, 技术, 高端技术职位, CATCH, 杭州, 本科, 15, 成长型, 移动互联网
测试总监, 17, 5, 技术, 测试, 上上签, 杭州, 本科, 50, 成长型, 移动互联网 · 企业服务
测试总监（总部）, 40, 5, 技术, 高端技术职位, 美菜网, 北京, 本科, 2000, 成熟型, 电子商务 · O2O
测试总监, 25, 5, 技术, 测试, PPmoney互联网金融平台, 广州, 本科, 150, 成长型, 金融
测试总监/经理, 30, 5, 技术, 测试, 麦子金服, 上海, 本科, 150, 成长型, 移动互联网 · 金融
测试总监, 25, 5, 技术, 高端技术职位, 美的, 佛山, 本科, 2000, 上市公, 移动互联网 · 其他
测试总监, 22, 5, 技术, 高端技术职位, 互莲加, 上海, 本科, 150, 成长型, 移动互联网
测试总监, 20, 3, 技术, 高端技术职位, 叮当钱包, 北京, 学历不限, 2000, 成长型, 移动互联网 · 金融
测试总监, 42, 5, 技术, 高端技术职位, 全民贷, 上海, 本科, 15, 成长型, 移动互联网 · 金融
测试总监, 40, 5, 技术, 测试, 网康, 北京, 本科, 500, 成熟型, 信息安全
测试总监, 31, 5, 技术, 高端技术职位, 全民贷, 上海, 本科, 15, 成长型, 移动互联网 · 金融
测试总监, 45, 不, 技术, 高端技术职位, 北京蓝汛, 北京, 本科, 500, 上市公, 企业服务
测试总监, 40, 5, 技术, 测试, 网康, 北京, 本科, 500, 成熟型, 信息安全
测试总监, 17, 3, 技术, 测试, 紫光美食云, 北京, 本科, 50, 初创型, O2O
测试总监, 15, 3, 技术, 高端技术职位, camelot, 上海, 大专, 2000, 上市公, 企业服务 · 其他
测试总监, 45, 5, 技术, 测试, 米学网, 北京, 本科, 150, 成长型, 移动互联网 · 教育
测试总监, 25, 3, 技术, 测试, 帮5买, 上海, 本科, 150, 成长型, 移动互联网 · 电子商务
测试总监, 15, 5, 技术, 测试, 超控, 重庆, 本科, 50, 初创型, 移动互联网 · O2O
测试总监, 50, 5, 技术, 测试, 思源科技, 北京, 本科, 2000, 成熟型, 移动互联网 · 社交网络
测试总监, 4, 1, 技术, 高端技术职位, 中山铭偌金属制品有限公司, 中山, 学历不限, 15, 初创型, 硬件
测试总监, 10, 3, 技术, 高端技术职位, 英方, 北京, 大专, 50, 成长型, 数据服务
资深测试总监, 42, 5, 技术, 测试, 阿里巴巴, 杭州, 本科, 2000, 上市公, 移动互联网
测试总监, 40, 5, 技术, 测试, 好大夫在线, 北京, 本科, 500, 成熟型, 医疗健康
测试总监, 32, 5, 技术, 高端技术职位, ETCP, 北京, 本科, 500, 成长型, 移动互联网
软件测试总监, 13, 5, 技术, 测试, 捷通华声, 北京, 本科, 150, 成熟型, 移动互联网 · 数据服务
测试总监/经理, 30, 5, 技术, 测试, ETCP, 北京, 本科, 500, 成长型, 移动互联网
软件测试总监, 20, 5, 技术, 测试, 捷通华声, 北京, 本科, 150, 成熟型, 移动互联网 · 数据服务
测试工程师(测试总监、工程师各一名）, 14, 3, 技术, 测试, 惠卡世纪, 深圳, 大专, 150, 成熟型, 移动互联网 · O2O
软件测试总监, 18, 3, 技术, 测试, 捷通华声, 北京, 本科, 150, 成熟型, 移动互联网 · 数据服务
软件测试总监, 15, 5, 技术, 后端开发, 捷通华声, 北京, 本科, 150, 成熟型, 移动互联网 · 数据服务
软件测试总监（团队管理）, 20, 5, 技术, 测试, 捷通华声, 北京, 本科, 150, 成熟型, 移动互联网 · 数据服务
