职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
架构师, 22, 5, 技术, 高端技术职位, 房星科技, 昆明, 本科, 50, 成长型, 移动互联网 · O2O
架构师, 45, 不, 技术, 高端技术职位, 超客网络, 北京, 本科, 500, 成熟型, 社交网络
架构师, 30, 5, 技术, 高端技术职位, 人人行, 杭州, 本科, 500, 成熟型, 移动互联网 · 金融
架构师, 30, 5, 技术, 后端开发, 汽车之家, 北京, 大专, 2000, 上市公, 移动互联网 · 文化娱乐
架构师, 30, 5, 技术, 后端开发, 新智, 北京, 本科, 500, 上市公, 移动互联网
架构师, 21, 3, 技术, 高端技术职位, 南方报业, 广州, 本科, 2000, 成熟型, 其他
架构师, 30, 5, 技术, 高端技术职位, 卖客疯APP（宝尊电商旗下，纳斯达克上市公司）, 上海, 本科, 500, 上市公, 移动互联网 · 电子商务
架构师, 25, 5, 技术, 高端技术职位, 上海圆昶金融信息服务有限公司, 上海, 大专, 50, 成长型, 金融
架构师, 24, 5, 技术, 高端技术职位, 九曳供应链, 上海, 本科, 15, 成长型, 电子商务 · 数据服务
架构师, 12, 3, 技术, 高端技术职位, 搜油, 宁波, 大专, 15, 初创型, 移动互联网
架构师, 40, 3, 技术, 高端技术职位, 广通软件, 杭州, 大专, 150, 上市公, 移动互联网 · 信息安全
架构师, 24, 3, 技术, 高端技术职位, 美洽, 成都, 本科, 15, 成长型, 企业服务
架构师, 22, 3, 技术, 高端技术职位, YOHO!有货, 南京, 本科, 500, 成熟型, 电子商务 · 文化娱乐
架构师, 22, 5, 技术, 高端技术职位, YOHO!有货, 南京, 本科, 500, 成熟型, 电子商务 · 文化娱乐
架构师, 27, 5, 技术, 高端技术职位, 牛邦科技, 杭州, 本科, 15, 初创型, 移动互联网
架构师, 17, 3, 技术, 高端技术职位, 联创集团信通科技, 北京, 本科, 150, 成长型, 移动互联网 · 教育
架构师, 11, 5, 技术, 高端技术职位, 恩普特, 郑州, 本科, 50, 成长型, 移动互联网 · 硬件
架构师, 37, 5, 技术, 高端技术职位, 12308全国汽车票, 深圳, 本科, 50, 成长型, 移动互联网 · 电子商务
架构师, 27, 10年以, 技术, 高端技术职位, 大大财经, 成都, 本科, 15, 初创型, 移动互联网
架构师, 25, 3, 技术, 高端技术职位, 中山大学网络与信息技术中心, 广州, 硕士, 50, 成长型, 移动互联网 · 数据服务
架构师, 22, 3, 技术, 高端技术职位, 凤凰金融, 北京, 本科, 150, 成长型, 金融
架构师, 30, 5, 技术, 高端技术职位, 我来贷WeLab, 深圳, 本科, 150, 成长型, 金融
架构师, 10, 5, 技术, 高端技术职位, 时光流影, 合肥, 学历不限, 500, 上市公, 社交网络
架构师, 20, 3, 技术, 高端技术职位, 云积分, 深圳, 本科, 50, 初创型, 企业服务 · 移动互联网
架构师, 25, 3, 技术, 高端技术职位, 驴徒网, 上海, 大专, 50, 成长型, 电子商务 · 社交网络
架构师, 27, 5, 技术, 高端技术职位, 网贷之家, 上海, 学历不限, 150, 成长型, 金融
架构师, 25, 5, 技术, 高端技术职位, 美乐乐家居网, 成都, 本科, 2000, 成熟型, 移动互联网 · 电子商务
架构师, 17, 5, 技术, 高端技术职位, 瑛麒动漫, 上海, 本科, 15, 成长型, 移动互联网 · 文化娱乐
