职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
技术经理, 27, 5, 技术, 高端技术职位, 云上城科技, 深圳, 本科, 150, 成长型, 移动互联网 · 硬件
技术经理, 27, 5, 技术, 高端技术职位, 云上城科技, 深圳, 本科, 150, 成长型, 移动互联网 · 硬件
技术经理, 40, 3, 技术, 高端技术职位, 千里马招标网, 北京, 大专, 150, 成长型, 电子商务 · 企业服务
技术经理, 22, 5, 技术, 高端技术职位, 欧电云, 上海, 学历不限, 50, 初创型, 电子商务 · 企业服务
技术经理, 30, 5, 技术, 高端技术职位, 51信用卡管家, 杭州, 本科, 150, 成长型, 金融 · 数据服务
技术经理, 25, 3, 技术, 高端技术职位, 易恒健康, 上海, 大专, 500, 初创型, 电子商务 · 企业服务
技术经理, 14, 5, 技术, 高端技术职位, 掌上药店, 上海, 本科, 15, 成长型, 移动互联网
研发经理, 30, 5, 技术, 高端技术职位, ickey, 上海, 大专, 150, 成长型, 电子商务
技术经理, 11, 5, 技术, 高端技术职位, 四海通达, 长沙, 大专, 150, 初创型, 其他
研发经理, 20, 3, 技术, 项目管理, 亿帮控股, 北京, 大专, 50, 成长型, 移动互联网 · 金融
技术经理, 20, 5, 技术, 高端技术职位, 米果小站, 杭州, 本科, 150, 成长型, 移动互联网
技术经理, 6, 3, 技术, 高端技术职位, 时光流影, 合肥, 学历不限, 500, 上市公, 社交网络
技术经理, 22, 5, 技术, 高端技术职位, 轻松家电, 深圳, 本科, 500, 成长型, O2O
技术经理, 22, 5, 技术, 高端技术职位, 极课大数据, 无锡, 大专, 50, 成长型, 教育
技术经理, 22, 5, 技术, 高端技术职位, 嗨美极, 杭州, 大专, 15, 成长型, 电子商务
技术经理, 27, 5, 技术, 高端技术职位, 嗨美极, 杭州, 大专, 15, 成长型, 电子商务
技术经理, 20, 5, 技术, 高端技术职位, 思特奇Si-tech, 广州, 本科, 2000, 成熟型, 数据服务
技术经理, 20, 5, 技术, 高端技术职位, 思特奇Si-tech, 深圳, 本科, 2000, 成熟型, 数据服务
技术经理, 15, 3, 技术, 后端开发, 立纳网络, 上海, 本科, 50, 成长型, 移动互联网
技术经理, 20, 5, 技术, 高端技术职位, 18, 深圳, 本科, 150, 成长型, 移动互联网
技术经理, 18, 5, 技术, 高端技术职位, 新炬网络, 杭州, 本科, 500, 成熟型, 移动互联网 · 数据服务
技术经理, 16, 5, 技术, 高端技术职位, 天涯若比邻, 杭州, 本科, 50, 初创型, 电子商务 · 金融
