职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
技术总监, 25, 5, 技术, 高端技术职位, 中大凯旋, 广州, 本科, 50, 成长型, 电子商务
技术总监, 32, 5, 技术, 高端技术职位, 天会皓闻, 上海, 本科, 50, 成长型, 移动互联网
技术总监, 50, 10年以, 技术, 后端开发, 上海圆昶金融信息服务有限公司, 上海, 本科, 50, 成长型, 金融
技术总监, 22, 5, 技术, 高端技术职位, 5U体育, 广州, 大专, 50, 成长型, 移动互联网 · 文化娱乐
技术总监（PHP）, 22, 3, 技术, 后端开发, doyoudo, 北京, 本科, 15, 初创型, 教育 · 文化娱乐
技术总监, 50, 5, 技术, 高端技术职位, 中瑞财富, 北京, 本科, 50, 成长型, 金融
技术总监, 25, 3, 技术, 高端技术职位, 小河理财, 上海, 大专, 150, 初创型, 金融
技术总监, 18, 3, 技术, 高端技术职位, 万吉网, 北京, 本科, 15, 初创型, O2O
技术总监, 30, 5, 技术, 高端技术职位, 红毯, 深圳, 本科, 15, 初创型, 移动互联网 · 社交网络
技术总监, 30, 5, 技术, 高端技术职位, 钱端, 广州, 本科, 50, 初创型, 移动互联网 · 电子商务
技术总监, 20, 5, 技术, 高端技术职位, 千百浪信息科技, 东莞, 本科, 50, 初创型, 移动互联网 · 电子商务
技术总监, 22, 5, 技术, 高端技术职位, 霹雳爸爸, 南京, 本科, 15, 成长型, 电子商务
技术总监, 25, 3, 技术, 高端技术职位, 梨花科技, 北京, 本科, 150, 成长型, 移动互联网 · 金融
技术总监, 32, 5, 技术, 高端技术职位, 聚贸, 杭州, 本科, 150, 成长型, 金融 · 电子商务
技术总监, 35, 5, 技术, 高端技术职位, 贝米钱包, 上海, 本科, 15, 成长型, 金融
技术总监（急）, 37, 5, 技术, 高端技术职位, 易居中国-易居营销集团, 上海, 本科, 2000, 上市公, 企业服务
技术总监, 22, 3, 技术, 高端技术职位, 意为传媒, 广州, 本科, 50, 初创型, 文化娱乐 · 移动互联网
技术总监, 27, 5, 技术, 高端技术职位, 嗨美极, 杭州, 大专, 15, 成长型, 电子商务
技术总监, 40, 10年以, 技术, 高端技术职位, DigitalX, 上海, 本科, 15, 成熟型, 移动互联网 · 广告营销
技术总监, 37, 5, 技术, 高端技术职位, 新移传媒, 杭州, 本科, 50, 成长型, 移动互联网
技术总监, 20, 5, 技术, 高端技术职位, 顾问易, 广州, 本科, 15, 初创型, 移动互联网 · 金融
技术总监, 30, 5, 技术, 高端技术职位, 运东西, 深圳, 本科, 150, 成长型, O2O
技术总监/CTO, 25, 3, 技术, 高端技术职位, 创意板, 广州, 大专, 15, 成长型, 移动互联网 · 金融
技术总监, 22, 5, 技术, 高端技术职位, 开宜投资, 长沙, 本科, 50, 成长型, 移动互联网 · 电子商务
技术总监, 15, 5, 技术, 高端技术职位, 竞网智赢, 长沙, 大专, 500, 成熟型, O2O · 数据服务
技术总监, 27, 5, 技术, 高端技术职位, 嗨美极, 杭州, 本科, 15, 成长型, 电子商务
技术总监, 40, 5, 技术, 高端技术职位, 55海淘, 上海, 本科, 150, 成长型, 电子商务
技术总监, 35, 5, 技术, 高端技术职位, 上峰集团, 杭州, 本科, 500, 初创型, 电子商务
技术总监, 30, 5, 技术, 高端技术职位, 优呗, 杭州, 本科, 15, 初创型, 移动互联网
技术总监, 20, 5, 技术, 高端技术职位, 二手汇, 北京, 本科, 150, 成熟型, 移动互联网
