职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
技术合伙人, 15, 3, 技术, 高端技术职位, 芋米, 深圳, 本科, 15, 初创型, 教育 · 旅游
技术合伙人, 37, 3, 技术, 高端技术职位, 油厚科技, 北京, 本科, 15, 初创型, 移动互联网 · 社交网络
技术合伙人, 8, 不, 技术, 高端技术职位, 秋酷科技, 济南, 学历不限, 15, 初创型, 移动互联网 · 社交网络
技术合伙人, 13, 5, 技术, 高端技术职位, 呆呆阿卜, 苏州, 学历不限, 15, 初创型, 移动互联网 · O2O
技术合伙人, 17, 5, 技术, 高端技术职位, 顾问易, 广州, 本科, 15, 初创型, 移动互联网 · 金融
技术合伙人, 37, 5, 技术, 高端技术职位, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
技术合伙人, 8, 1, 技术, 高端技术职位, 四达时代集团, 兰州, 本科, 2000, 成熟型, 文化娱乐 · 硬件
技术合伙人, 17, 5, 技术, 高端技术职位, 爱理不理, 广州, 本科, 15, 初创型, 移动互联网 · 金融
技术合伙人, 17, 5, 技术, 高端技术职位, 安泰市集, 广州, 本科, 15, 初创型, 移动互联网 · 金融
技术合伙人（CTO）, 22, 3, 技术, 后端开发, 聚数数据, 深圳, 本科, 15, 初创型, O2O · 数据服务
技术合伙人, 40, 5, 技术, 高端技术职位, 医本健康, 杭州, 本科, 15, 初创型, 医疗健康
技术合伙人, 12, 1, 技术, 高端技术职位, 木头人mootow, 长沙, 大专, 15, 初创型, 移动互联网 · 电子商务
技术合伙人, 16, 3, 技术, 高端技术职位, 爱换购, 广州, 本科, 50, 初创型, 电子商务 · O2O
技术合伙人（广州）, 20, 3, 技术, 高端技术职位, 新创板, 广州, 本科, 50, 成长型, 移动互联网 · 金融
技术合伙人, 1, 不, 技术, 高端技术职位, 书趴, 哈尔滨, 学历不限, 15, 初创型, 移动互联网 · 社交网络
技术合伙人, 30, 不, 技术, 高端技术职位, 蜜客科技Mecare, 上海, 学历不限, 15, 初创型, 移动互联网 · 医疗健康
技术合伙人, 11, 3, 技术, 高端技术职位, 码头科技, 重庆, 学历不限, 15, 初创型, 移动互联网 · 其他
技术合伙人, 25, 5, 技术, 高端技术职位, 蜜淘科技, 广州, 大专, 15, 成长型, 移动互联网
技术合伙人, 24, 5, 技术, 后端开发, 上海品红文化传播有限公司, 上海, 本科, 50, 成长型, 移动互联网
技术合伙人, 37, 3, 技术, 高端技术职位, 油厚科技, 北京, 学历不限, 15, 初创型, 移动互联网 · 社交网络
技术合伙人, 12, 不, 技术, 高端技术职位, 一毛网络, 西安, 学历不限, 15, 初创型, 移动互联网 · 医疗健康
技术合伙人, 11, 不, 技术, 高端技术职位, 任悠扬, 南京, 学历不限, 15, 初创型, 社交网络 · 医疗健康
技术合伙人, 18, 不, 技术, 高端技术职位, 智友网络, 广州, 本科, 15, 成长型, 移动互联网 · 电子商务
技术合伙人, 12, 不, 技术, 高端技术职位, 寰创科技, 杭州, 本科, 15, 初创型, 社交网络 · 旅游
技术合伙人, 20, 3, 技术, 高端技术职位, 图品科技, 北京, 本科, 15, 初创型, 移动互联网
技术合伙人, 15, 不, 技术, 高端技术职位, 动脉网, 重庆, 本科, 15, 初创型, 移动互联网 · 医疗健康
技术合伙人, 20, 3, 技术, 高端技术职位, 知讯通达, 北京, 本科, 15, 初创型, 其他 · 移动互联网
技术合伙人, 15, 5, 技术, 高端技术职位, 靠谱保, 深圳, 本科, 15, 初创型, 电子商务 · 金融
技术合伙人, 11, 3, 技术, 高端技术职位, 知味100, 苏州, 本科, 15, 初创型, 移动互联网
技术合伙人, 30, 5, 技术, 高端技术职位, 青岛礼遇文化传媒有限公司, 青岛, 硕士, 15, 初创型, 文化娱乐 · 电子商务
技术合伙人, 15, 5, 技术, 高端技术职位, 艾果智能, 苏州, 本科, 15, 初创型, 移动互联网 · 硬件
技术合伙人, 30, 不, 技术, 高端技术职位, MindTurbo 明境, 北京, 本科, 15, 初创型, 企业服务 · 数据服务
技术合伙人, 30, 1, 技术, 高端技术职位, 思享空间, 北京, 本科, 15, 初创型, 移动互联网 · 教育
技术合伙人(主程), 17, 5, 技术, 高端技术职位, 若溪科技, 成都, 本科, 15, 初创型, 社交网络 · 游戏
技术合伙人, 29, 5, 技术, 高端技术职位, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
技术合伙人, 15, 5, 技术, 高端技术职位, 卫民中国家居网, 杭州, 学历不限, 15, 初创型, 电子商务 · 生活服务
技术合伙人, 20, 3, 技术, 高端技术职位, 行心科技, 广州, 大专, 50, 成熟型, 移动互联网
技术合伙人, 1, 3, 技术, 高端技术职位, 我爱唱, 合肥, 本科, 15, 初创型, 移动互联网 · 游戏
技术合伙人, 12, 10年以, 技术, 高端技术职位, K2, 长沙, 本科, 50, 成长型, 企业服务 · 其他
技术合伙人, 15, 5, 技术, 高端技术职位, 环球货栈, 郑州, 本科, 15, 初创型, 电子商务 · O2O
技术合伙人, 15, 5, 技术, 高端技术职位, 追灿科技, 杭州, 学历不限, 50, 初创型, 移动互联网 · 电子商务
技术合伙人, 11, 5, 技术, 高端技术职位, 滴滴测, 深圳, 本科, 15, 初创型, 医疗健康 · 移动互联网
技术合伙人, 6, 不, 技术, 前端开发, 新媒体，创业服务，技术创新型, 无锡, 学历不限, 15, 初创型, 移动互联网 · 教育
技术合伙人, 8, 5, 技术, 高端技术职位, 中产部落, 青岛, 本科, 15, 初创型, 生活服务 · 广告营销
技术合伙人, 10, 3, 技术, 高端技术职位, 碳六十网络科技, 惠州, 学历不限, 15, 初创型, 移动互联网 · O2O
技术合伙人, 20, 5, 技术, 高端技术职位, 学车大师, 广州, 本科, 15, 初创型, 移动互联网
技术合伙人, 30, 3, 技术, 高端技术职位, 杭州湖泊网络科技有限公司, 杭州, 本科, 15, 初创型, 移动互联网 · O2O
技术合伙人, 35, 3, 技术, 后端开发, 联金邦, 广州, 本科, 15, 初创型, 金融
技术合伙人, 22, 1, 技术, 高端技术职位, 渔网, 广州, 本科, 15, 初创型, 移动互联网 · 旅游
