职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
运维总监, 30, 5, 技术, 高端技术职位, 网金控股, 广州, 本科, 150, 成长型, 移动互联网 · 金融
运维总监, 25, 5, 技术, 运维, 联通支付有限公司, 北京, 本科, 150, 成长型, 移动互联网
运维总监, 15, 5, 技术, 运维, 运力科技, 成都, 本科, 500, 成长型, 移动互联网 · 电子商务
运维总监, 15, 1, 技术, 高端技术职位, 创客金融, 杭州, 本科, 50, 成长型, 移动互联网 · 金融
运维总监, 40, 5, 技术, 高端技术职位, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
运维总监, 25, 5, 技术, 高端技术职位, AbleSky, 北京, 本科, 50, 成长型, 教育
运维总监/主管, 25, 5, 技术, 运维, 115科技, 东莞, 本科, 50, 成长型, 移动互联网 · 数据服务
运维总监, 20, 3, 技术, 高端技术职位, 绿星云, 深圳, 大专, 15, 初创型, 企业服务 · 数据服务
运维总监, 30, 5, 技术, 高端技术职位, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
运维总监, 6, 1, 技术, 高端技术职位, 欣卓越, 北京, 大专, 50, 成熟型, 信息安全
运维总监, 27, 5, 技术, 高端技术职位, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
运维总监, 25, 5, 技术, 运维, PPmoney互联网金融平台, 广州, 本科, 150, 成长型, 金融
运维总监, 13, 1, 技术, 高端技术职位, 坤虎科技, 杭州, 本科, 15, 初创型, 医疗健康
运维总监, 45, 不, 技术, 高端技术职位, 北京蓝汛, 北京, 本科, 500, 上市公, 企业服务
运维总监, 20, 5, 技术, 高端技术职位, 九维网络科技, 深圳, 本科, 150, 成长型, 移动互联网 · 社交网络
运维总监, 40, 5, 技术, 高端技术职位, 爱上旅游, 上海, 本科, 50, 成长型, 移动互联网 · 旅游
运维总监, 45, 5, 技术, 高端技术职位, 米学网, 北京, 本科, 150, 成长型, 移动互联网 · 教育
运维总监, 37, 5, 技术, 高端技术职位, 你有药, 上海, 本科, 15, 成长型, 移动互联网 · 医疗健康
运维总监, 25, 5, 技术, 高端技术职位, 国广东方网络（北京）有限公司, 北京, 本科, 150, 成长型, 移动互联网 · 文化娱乐
运维总监, 12, 3, 技术, 高端技术职位, 众联数据, 南京, 学历不限, 15, 初创型, 金融 · 数据服务
运维总监（代聘）, 30, 5, 技术, 运维, 新国都, 深圳, 本科, 500, 上市公, 金融 · 硬件
运维总监, 45, 5, 技术, 高端技术职位, 北京蓝汛, 北京, 本科, 500, 上市公, 企业服务
运维总监, 35, 5, 技术, 高端技术职位, 数海科技, 北京, 本科, 15, 初创型, 数据服务
运维总监, 30, 5, 技术, 运维, 楚楚街, 北京, 本科, 150, 成熟型, 移动互联网 · 电子商务
运维总监, 10, 3, 技术, 运维, 锐杰网格, 烟台, 本科, 50, 初创型, 移动互联网 · 教育
运维总监【金融】, 25, 5, 技术, 运维, 吉屋金融, 深圳, 本科, 15, 成长型, 移动互联网 · 金融
运维总监, 37, 5, 技术, 高端技术职位, 虎扑体育, 上海, 本科, 150, 成长型, 文化娱乐
运维总监, 12, 1, 技术, 高端技术职位, 数据客, 杭州, 本科, 15, 初创型, 移动互联网
运维总监, 20, 3, 技术, 高端技术职位, 中网少儿网球, 北京, 大专, 150, 成长型, 文化娱乐
运维总监, 30, 5, 技术, 运维, 爱代驾, 上海, 大专, 500, 成熟型, 移动互联网
运维总监, 40, 5, 技术, 高端技术职位, 国美在线, 北京, 学历不限, 2000, 上市公, 电子商务
运维总监, 22, 3, 技术, 高端技术职位, 北京飞行者, 北京, 学历不限, 50, 初创型, 文化娱乐
运维总监, 22, 5, 技术, 运维, 海尔商城, 北京, 大专, 150, 上市公, 移动互联网 · 电子商务
运维总监, 45, 3, 技术, 运维, AcFun, 北京, 本科, 150, 成长型, 移动互联网 · 文化娱乐
运维总监, 22, 5, 技术, 运维, 北京蜂向科技, 北京, 本科, 50, 成长型, 移动互联网 · 金融
运维总监, 75, 5, 技术, 运维, 美菜网, 北京, 本科, 2000, 成熟型, 电子商务 · O2O
运维总监, 15, 3, 技术, 运维, 哗哗, 北京, 大专, 50, 成长型, 移动互联网 · 数据服务
运维总监/经理, 45, 5, 技术, 运维, 国美电器, 北京, 本科, 2000, 上市公, O2O
运维总监/经理, 37, 5, 技术, 运维, 国美电器, 北京, 本科, 2000, 上市公, O2O
运维总监, 12, 1, 技术, 高端技术职位, 金色榜样, 北京, 大专, 50, 初创型, 生活服务 · 文化娱乐
IT运维总监, 25, 5, 技术, 运维, AbleSky, 北京, 本科, 50, 成长型, 教育
运维经理/运维总监, 22, 5, 技术, 运维, 齐家网, 上海, 大专, 2000, 成熟型, O2O  · 生活服务
IT运维总监, 25, 5, 技术, 运维, 车置宝, 南京, 大专, 500, 成熟型, 移动互联网 · 电子商务
游戏运维总监, 17, 5, 技术, 运维, 壕鑫互联, 北京, 大专, 50, 成长型, 移动互联网
SaaS运维总监, 22, 5, 技术, 运维, LogInsight, 北京, 本科, 15, 初创型, 数据服务
数据中心运维总监, 23, 5, 技术, 高端技术职位, 世纪互联, 北京, 本科, 2000, 上市公, 移动互联网 · 数据服务
运维总监/经理--微会, 21, 5, 产品, 产品经理, YY Inc, 广州, 本科, 2000, 上市公, 移动互联网
