职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
黑盒测试/功能测试, 12, 1, 技术, 测试, 新致软件, 杭州, 大专, 2000, 成熟型, 移动互联网 · 数据服务
黑盒测试, 9, 1, 技术, 测试, 句多网络, 上海, 大专, 15, 初创型, 游戏
黑盒测试, 10, 1, 技术, 测试, 有利网, 北京, 本科, 500, 成熟型, 金融
黑盒测试, 15, 1, 技术, 测试, 楼口loukou.com, 上海, 本科, 500, 成长型, 电子商务 · O2O
黑盒测试, 12, 1, 技术, 测试, 句多网络, 上海, 大专, 15, 初创型, 游戏
黑盒测试, 8, 1, 技术, 测试, 牛仔网, 北京, 本科, 50, 成熟型, 金融
黑盒测试, 4, 不, 技术, 测试, 心游科技, 珠海, 学历不限, 150, 初创型, 移动互联网 · 游戏
黑盒测试（张江）, 12, 1, 技术, 测试, 艾艺设计, 上海, 大专, 50, 初创型, 移动互联网
黑盒测试, 5, 不, 技术, 测试, Avazu, 上海, 本科, 150, 上市公, 移动互联网 · 广告营销
黑盒测试, 9, 1, 技术, 测试, Pactera, 广州, 学历不限, 2000, 上市公, 金融
黑盒测试, 12, 3, 技术, 测试, 爱上旅游, 上海, 本科, 50, 成长型, 移动互联网 · 旅游
黑盒测试, 11, 1, 技术, 测试, 阿拉丁云计算, 杭州, 本科, 500, 上市公, 信息安全 · 数据服务
黑盒测试, 9, 1, 技术, 测试, 中软国际, 西安, 本科, 2000, 上市公, 移动互联网 · 企业服务
黑盒测试, 9, 1, 技术, 测试, 微创, 上海, 大专, 2000, 初创型, 移动互联网 · 数据服务
黑盒测试, 7, 1, 技术, 测试, 金证股份, 上海, 大专, 2000, 上市公, 金融
黑盒测试, 7, 不, 技术, 测试, 佰钧成技术, 武汉, 本科, 2000, 成熟型, 企业服务 · 金融
黑盒测试, 9, 1, 技术, 测试, Camelot, 上海, 大专, 2000, 上市公, 招聘
黑盒测试, 10, 1, 技术, 测试, 全景数字, 上海, 本科, 50, 初创型, 文化娱乐 · 硬件
黑盒测试, 4, 1, 技术, 测试, TCK 上亿大, 厦门, 大专, 150, 初创型, 硬件
