职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
测试工程师, 9, 1, 技术, 测试, 房星科技, 昆明, 本科, 50, 成长型, 移动互联网 · O2O
测试工程师, 16, 3, 技术, 测试, 超客网络, 北京, 本科, 500, 成熟型, 社交网络
测试工程师, 7, 1年以, 技术, 测试, 脸脸, 杭州, 本科, 50, 成长型, 移动互联网 · O2O
测试工程师, 10, 1, 技术, 测试, 蓝月亮, 广州, 大专, 2000, 成熟型, 生活服务
测试工程师, 10, 1, 技术, 测试, 上海斯迈康生物科技有限公司, 上海, 本科, 150, 成长型, 移动互联网
测试工程师, 11, 1, 技术, 测试, 如涵电商, 杭州, 本科, 500, 成长型, 电子商务
测试工程师, 9, 1, 技术, 测试, 施强网络, 杭州, 大专, 2000, 成熟型, 移动互联网
测试工程师, 6, 1, 技术, 测试, 中大凯旋, 广州, 大专, 50, 成长型, 电子商务
测试工程师, 9, 1, 技术, 测试, 学霸君, 上海, 本科, 150, 成长型, 移动互联网 · 教育
测试工程师, 10, 1, 技术, 测试, 诚信贷, 北京, 大专, 15, 初创型, 移动互联网 · 金融
测试工程师, 9, 1, 技术, 测试, 嗨学网, 北京, 本科, 150, 成长型, 移动互联网
测试工程师, 15, 3, 技术, 测试, 闻上科技, 上海, 本科, 15, 初创型, 硬件 · 移动互联网
测试工程师 （服务器）, 15, 1, 技术, 测试, Dingtone, 杭州, 本科, 50, 成熟型, 移动互联网 · 社交网络
测试工程师, 8, 1, 技术, 测试, 蓝月亮, 广州, 大专, 2000, 成熟型, 生活服务
测试工程师, 11, 1, 技术, 测试, 恺英网络, 上海, 本科, 500, 上市公, 移动互联网 · 游戏
测试工程师, 15, 1, 技术, 测试, 百词斩, 成都, 本科, 50, 成长型, 移动互联网 · 教育
测试工程师, 8, 1, 技术, 测试, 阔知网络, 杭州, 学历不限, 50, 初创型, 企业服务 · 教育
测试工程师, 10, 1, 技术, 测试, 上海圆昶金融信息服务有限公司, 上海, 大专, 50, 成长型, 金融
