职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
游戏测试, 6, 1, 技术, 测试, 湖南中清龙图, 长沙, 学历不限, 500, 成长型, 移动互联网 · 游戏
游戏测试, 2, 不, 技术, 测试, 触控科技, 北京, 本科, 500, 成熟型, 移动互联网 · 游戏
游戏测试, 4, 不, 技术, 测试, 心游科技, 珠海, 学历不限, 150, 初创型, 移动互联网 · 游戏
游戏测试, 9, 1, 技术, 测试, 句多网络, 上海, 大专, 15, 初创型, 游戏
游戏测试, 6, 1, 技术, 测试, 37游戏, 广州, 本科, 500, 上市公, 游戏
游戏测试, 12, 3, 技术, 测试, 句多网络, 上海, 大专, 15, 初创型, 游戏
游戏测试, 8, 1, 技术, 测试, 博雅互动, 深圳, 本科, 500, 上市公, 移动互联网 · 游戏
游戏测试, 4, 1, 技术, 测试, 奇葩互动, 武汉, 大专, 15, 初创型, 游戏 · 文化娱乐
游戏测试, 7, 1, 技术, 测试, 博瑞游戏, 北京, 大专, 150, 上市公, 游戏
游戏测试, 8, 1, 技术, 测试, 百易科技, 郑州, 大专, 50, 初创型, 游戏
游戏测试, 6, 不, 技术, 测试, 七月科技, 杭州, 学历不限, 15, 初创型, 游戏
游戏测试, 9, 1, 技术, 测试, 斧子科技, 北京, 大专, 50, 成长型, 移动互联网
游戏测试, 8, 1, 技术, 测试, 漫道科技, 杭州, 本科, 500, 上市公, 移动互联网 · 电子商务
游戏测试, 8, 1, 技术, 测试, 安纳西, 北京, 本科, 15, 初创型, 移动互联网
游戏测试, 6, 1, 技术, 测试, 卓动信息科技, 广州, 本科, 15, 初创型, 游戏
游戏测试, 12, 1, 技术, 测试, 句多网络, 上海, 大专, 15, 初创型, 游戏
游戏测试, 8, 1, 技术, 测试, 漫道科技, 广州, 本科, 500, 上市公, 移动互联网 · 电子商务
游戏测试, 7, 1, 技术, 测试, 杭州牧游网络, 杭州, 大专, 50, 初创型, 游戏
游戏测试, 5, 不, 技术, 测试, 安纳西, 北京, 本科, 15, 初创型, 移动互联网
游戏测试, 7, 1, 技术, 测试, 游戏谷, 北京, 大专, 500, 成熟型, 游戏
游戏测试, 6, 1, 技术, 测试, 杭州牧游网络, 杭州, 大专, 50, 初创型, 游戏
游戏测试, 7, 1, 技术, 测试, 中软国际, 广州, 本科, 2000, 上市公, 企业服务
游戏测试, 5, 1, 技术, 测试, 鼎新软件, 石家庄, 大专, 150, 成熟型, 移动互联网 · 游戏
游戏测试, 6, 不, 技术, 测试, 安纳西, 北京, 本科, 15, 初创型, 移动互联网
游戏测试, 4, 不, 技术, 测试, C2fun, 苏州, 大专, 50, 成长型, 移动互联网 · 游戏
游戏测试, 7, 不, 技术, 测试, 中软国际, 广州, 大专, 500, 成熟型, 移动互联网
游戏测试, 6, 1, 技术, 测试, 杭州米趣, 杭州, 大专, 150, 成长型, 移动互联网
游戏测试, 4, 不, 技术, 测试, 阿拉软件, 杭州, 学历不限, 500, 上市公, 移动互联网 · 电子商务
游戏测试, 6, 1, 技术, 测试, 同方鼎欣, 北京, 本科, 500, 上市公, 移动互联网
游戏测试, 30, 不, 技术, 测试, NVIDIA(英伟达), 上海, 本科, 2000, 上市公, 硬件 · 文化娱乐
游戏测试, 15, 3, 技术, 测试, 暴风魔镜, 北京, 大专, 150, 成长型, 移动互联网
游戏测试, 9, 1, 技术, 测试, Panda Games, 上海, 本科, 15, 初创型, 游戏
游戏测试, 7, 1, 技术, 测试, 飓风网络, 北京, 本科, 15, 成长型, 移动互联网 · 游戏
游戏测试, 7, 1, 技术, 测试, 冰川网络, 深圳, 大专, 500, 成熟型, 游戏
游戏测试, 4, 1, 技术, 测试, 绝世武神, 厦门, 大专, 15, 初创型, 游戏
游戏测试, 7, 1, 技术, 测试, 博瑞游戏, 北京, 大专, 150, 上市公, 游戏
游戏测试, 5, 应届毕业, 技术, 测试, 中软国际, 广州, 本科, 500, 成熟型, 移动互联网
游戏测试, 5, 1, 技术, 测试, 胡莱游戏, 广州, 大专, 500, 初创型, 游戏
游戏测试, 15, 1, 技术, 测试, 中软国际, 北京, 本科, 2000, 上市公, 移动互联网
游戏测试, 7, 1, 技术, 测试, GDEGAME, 上海, 学历不限, 150, 成长型, 游戏
游戏测试, 13, 1, 技术, 测试, 小白工作室, 杭州, 本科, 15, 初创型, 游戏
游戏测试, 11, 1, 技术, 测试, 网易, 杭州, 本科, 2000, 上市公, 移动互联网 · 游戏
游戏测试（长期招聘）, 9, 1, 技术, 测试, 漫道科技, 广州, 本科, 500, 上市公, 移动互联网 · 电子商务
游戏测试, 8, 1, 技术, 测试, 漫道科技, 广州, 本科, 500, 上市公, 移动互联网
游戏测试, 7, 1, 技术, 测试, 漫道科技, 广州, 本科, 500, 上市公, 移动互联网
游戏测试, 6, 1, 技术, 测试, 女神, 杭州, 学历不限, 15, 初创型, 移动互联网
游戏测试, 7, 1, 技术, 测试, 女神, 杭州, 学历不限, 15, 初创型, 移动互联网
游戏测试, 9, 1, 技术, 测试, 网易游戏, 广州, 本科, 2000, 上市公, 移动互联网 · 游戏
游戏测试, 6, 不, 技术, 测试, 菲音游戏, 广州, 本科, 500, 上市公, 游戏
游戏测试, 5, 不, 技术, 测试, 安纳西, 北京, 大专, 15, 初创型, 移动互联网
游戏测试, 8, 1, 技术, 测试, 网易, 杭州, 大专, 2000, 上市公, 移动互联网 · 游戏
游戏测试, 8, 不, 技术, 测试, 4399, 广州, 本科, 2000, 初创型, 移动互联网
游戏测试, 4, 1, 技术, 测试, 杭州无端科技, 杭州, 学历不限, 50, 成长型, 游戏
游戏测试, 5, 不, 技术, 测试, 亿达信息深圳分公司, 深圳, 大专, 500, 上市公, 移动互联网
游戏测试, 7, 1, 技术, 测试, 漫道科技, 杭州, 本科, 150, 上市公, 移动互联网 · 电子商务
游戏测试（限女生）, 4, 不, 技术, 测试, 巴腾, 杭州, 学历不限, 15, 初创型, 移动互联网 · 游戏
游戏测试, 7, 1年以, 技术, 测试, 中软国际, 武汉, 本科, 2000, 上市公, 移动互联网
游戏测试, 5, 1, 技术, 测试, 广州游爱, 广州, 大专, 500, 初创型, 移动互联网
游戏测试, 4, 1, 技术, 测试, 舜游网络, 上海, 大专, 15, 初创型, 移动互联网 · 游戏
游戏测试（实习）, 2, 不, 技术, 测试, 杭州米趣, 杭州, 大专, 150, 成长型, 移动互联网
游戏测试, 7, 1, 技术, 测试, 智娱星云, 北京, 本科, 15, 初创型, 游戏
游戏测试, 5, 1, 技术, 测试, 英科瑞思, 成都, 本科, 50, 上市公, 移动互联网
游戏测试, 3, 不, 技术, 测试, 佳运文化, 广州, 学历不限, 15, 初创型, 广告营销 · 文化娱乐
游戏测试, 9, 1, 技术, 测试, 网易, 广州, 本科, 2000, 上市公, 移动互联网 · 游戏
游戏测试, 9, 不, 技术, 测试, SUS game, 北京, 大专, 15, 初创型, 移动互联网
游戏测试, 8, 1, 技术, 测试, 文思海辉, 广州, 本科, 2000, 成熟型, 移动互联网 · 数据服务
游戏测试/功能测试, 5, 1, 技术, 测试, 齐趣, 杭州, 学历不限, 15, 初创型, 移动互联网 · 游戏
游戏测试, 6, 1, 技术, 测试, 6637, 广州, 学历不限, 50, 初创型, 游戏
游戏测试工程师, 7, 1, 技术, 测试, 迅龙创威, 深圳, 学历不限, 50, 成长型, 游戏
游戏测试专员, 4, 不, 技术, 测试, 凯奇谷（北京）信息技术有限公司, 北京, 大专, 150, 成长型, 移动互联网 · 游戏
游戏测试, 5, 1, 技术, 测试, 中国国际技术智力合作公司, 成都, 大专, 150, 成长型, 企业服务
游戏测试/手游测试, 7, 1, 技术, 测试, GDEGAME, 上海, 学历不限, 150, 成长型, 游戏
游戏测试, 7, 不, 技术, 测试, 乐通游戏, 长沙, 学历不限, 15, 初创型, 社交网络 · 游戏
游戏测试, 5, 1, 技术, 测试, 梦想园, 北京, 学历不限, 50, 初创型, 移动互联网 · 游戏
游戏测试, 5, 不, 技术, 测试, 亿达信息深圳分公司, 深圳, 大专, 500, 上市公, 移动互联网
游戏测试, 7, 不, 技术, 测试, 极光网络, 上海, 学历不限, 50, 成长型, 游戏
游戏测试, 4, 1, 技术, 测试, 无限时空, 北京, 学历不限, 50, 成熟型, 游戏
游戏测试, 5, 1, 技术, 测试, 全乐网络, 广州, 本科, 50, 初创型, 移动互联网 · 游戏
游戏测试, 7, 不, 技术, 测试, 动视云科技, 北京, 大专, 15, 初创型, 游戏 · 数据服务
游戏测试, 7, 1, 技术, 测试, 魔力码头, 北京, 本科, 15, 初创型, 移动互联网 · 游戏
游戏测试, 9, 1, 技术, 测试, 斧子科技, 北京, 本科, 50, 成长型, 移动互联网
游戏测试, 7, 1, 技术, 测试, 完美世界, 北京, 大专, 2000, 上市公, 移动互联网 · 游戏
游戏测试/体验师（新浪海外）, 3, 不, 技术, 测试, 新浪游戏, 北京, 大专, 150, 成长型, 移动互联网 · 游戏
游戏测试, 5, 1, 技术, 测试, 文思海辉, 上海, 大专, 2000, 上市公, 电子商务 · 金融
游戏测试, 9, 1, 技术, 测试, 漫道科技, 杭州, 本科, 500, 上市公, 移动互联网 · 电子商务
游戏测试, 4, 不, 技术, 测试, 趣行天下, 北京, 学历不限, 500, 成熟型, 游戏
游戏测试, 11, 1, 技术, 测试, 中软国际杭州分公司, 杭州, 本科, 2000, 上市公, 移动互联网
游戏测试（移动端）, 7, 1, 技术, 测试, QQ炫舞, 北京, 学历不限, 150, 成长型, 游戏
游戏测试, 8, 1, 技术, 测试, 同方鼎欣, 北京, 本科, 500, 上市公, 移动互联网
游戏测试, 9, 不, 技术, 测试, Putao, 上海, 大专, 150, 初创型, 游戏
游戏测试, 6, 1, 技术, 测试, 洪禹科技, 上海, 学历不限, 15, 初创型, 移动互联网 · 游戏
游戏测试, 4, 1, 技术, 测试, 葡蕾网络, 上海, 大专, 15, 初创型, 游戏
游戏测试, 6, 1, 技术, 测试, 上海石湖网络科技有限公司, 上海, 大专, 50, 初创型, 游戏
游戏测试, 4, 1, 技术, 测试, 上海乐堂, 广州, 大专, 150, 成长型, 游戏
游戏测试, 9, 1, 技术, 测试, 智明星通上海分公司, 上海, 本科, 150, 成长型, 游戏
游戏测试, 5, 1, 技术, 测试, 博安锐智, 北京, 大专, 15, 成长型, 游戏
游戏测试工程师, 11, 1, 技术, 测试, DefyMedia, 上海, 本科, 15, 初创型, 移动互联网 · 电子商务
游戏测试, 15, 1, 技术, 测试, nWay, 上海, 本科, 50, 成长型, 游戏
游戏测试, 5, 1, 技术, 测试, 新农夫, 上海, 本科, 15, 初创型, 电子商务 · 生活服务
游戏测试, 4, 1年以, 技术, 测试, 禅游, 深圳, 学历不限, 50, 初创型, 游戏
游戏测试, 6, 1, 技术, 测试, 九易游, 北京, 大专, 15, 成长型, 游戏
游戏测试, 7, 1, 技术, 测试, 玩者之心, 北京, 大专, 150, 上市公, 游戏
游戏测试, 5, 1, 技术, 测试, 泰尼游戏, 广州, 学历不限, 50, 初创型, 游戏
游戏测试, 5, 1, 技术, 测试, 窝客传媒, 广州, 大专, 15, 初创型, 移动互联网
游戏测试（实习生）, 4, 应届毕业, 技术, 测试, 中软国际, 广州, 本科, 500, 成熟型, 移动互联网
游戏测试专员, 3, 不, 技术, 测试, 昆明俊云科技有限公司, 昆明, 大专, 15, 初创型, 移动互联网
游戏测试, 5, 1年以, 技术, 测试, 中软国际, 广州, 本科, 2000, 上市公, 移动互联网 · 电子商务
游戏测试, 9, 1, 技术, 测试, 玩蟹科技, 北京, 学历不限, 150, 上市公, 移动互联网 · 游戏
游戏测试, 4, 不, 技术, 测试, 淘乐网络, 深圳, 大专, 150, 初创型, 游戏
游戏测试, 6, 1, 技术, 测试, Jamogames, 北京, 学历不限, 15, 成长型, 移动互联网
游戏测试, 6, 不, 技术, 测试, 新动, 深圳, 学历不限, 150, 上市公, 移动互联网
游戏测试, 5, 不, 技术, 测试, 光合起源, 北京, 大专, 15, 成长型, 移动互联网 · 游戏
游戏测试, 4, 不, 技术, 测试, 鱼乐网络, 上海, 学历不限, 15, 初创型, 移动互联网 · 游戏
游戏测试, 6, 1年以, 技术, 测试, 暗沙游戏, 广州, 大专, 50, 成长型, 游戏
游戏测试, 4, 应届毕业, 技术, 测试, 中软国际, 广州, 本科, 2000, 上市公, 移动互联网 · 电子商务
游戏测试工程师, 12, 1, 技术, 测试, Zenjoy, 北京, 大专, 50, 成长型, 移动互联网 · 游戏
游戏测试, 4, 1, 技术, 测试, 九月游戏, 广州, 学历不限, 15, 初创型, 移动互联网 · 电子商务
游戏测试工程师, 3, 1, 技术, 测试, 赛驰科技, 郑州, 大专, 50, 成长型, 数据服务 · 文化娱乐
游戏测试, 8, 1, 技术, 测试, 英雄互娱, 上海, 学历不限, 150, 上市公, 游戏
游戏测试, 5, 1, 技术, 测试, 时光科技, 上海, 大专, 50, 上市公, 移动互联网 · 游戏
游戏测试, 4, 不, 技术, 测试, 灵动时空, 北京, 学历不限, 50, 成长型, 移动互联网 · 游戏
游戏测试, 4, 应届毕业, 技术, 测试, 中软国际杭州分公司, 杭州, 本科, 2000, 上市公, 移动互联网
游戏测试 (QA), 7, 不, 技术, 测试, 番糖游戏, 上海, 学历不限, 15, 初创型, 游戏
游戏测试工程师, 7, 1, 技术, 测试, 37游戏, 广州, 本科, 500, 上市公, 游戏
游戏测试, 7, 1, 技术, 测试, 深圳乐探游戏有限公司, 深圳, 大专, 15, 初创型, 游戏
游戏测试, 4, 应届毕业, 技术, 测试, 广州源典科技有限公司, 广州, 本科, 50, 初创型, 移动互联网 · 硬件
游戏测试, 4, 不, 技术, 测试, 法本信息, 深圳, 大专, 2000, 成熟型, 企业服务 · 招聘
游戏测试/手游测试, 11, 1, 技术, 测试, 4399, 广州, 本科, 2000, 初创型, 移动互联网
游戏测试, 6, 不, 技术, 测试, 飞鱼科技, 北京, 学历不限, 150, 上市公, 游戏
游戏测试/后台测试, 5, 1, 技术, 测试, 欢聚网络, 广州, 大专, 500, 初创型, 游戏 · O2O
游戏测试（PC/web端）, 9, 不, 技术, 测试, QQ炫舞, 北京, 大专, 150, 成长型, 游戏
游戏测试工程师, 7, 不, 技术, 测试, 安纳西, 北京, 本科, 15, 初创型, 移动互联网
游戏测试工程师, 7, 1, 技术, 测试, 盛夏乐动, 北京, 学历不限, 15, 初创型, 游戏
游戏测试, 10, 1, 技术, 测试, 卓越游戏（locojoy）, 北京, 大专, 500, 初创型, 游戏
游戏测试, 5, 应届毕业, 技术, 测试, 中软国际, 杭州, 本科, 2000, 上市公, 移动互联网 · 数据服务
游戏测试专员, 4, 不, 技术, 测试, 厦门乐顽, 厦门, 学历不限, 15, 初创型, 移动互联网
游戏测试, 5, 应届毕业, 技术, 测试, 掌玩互娱, 上海, 大专, 50, 成长型, 游戏
游戏测试工程师, 6, 不限, , 测试工程师, 安纳西, 北京, 大专, 15, 初创型, 移动互联网
游戏测试工程师, 7, 1, 技术, 测试, ElitesCastle, 北京, 学历不限, 15, 成长型, 移动互联网 · 游戏
游戏测试, 8, 1, 技术, 测试, 思趣, 上海, 学历不限, 15, 初创型, 游戏
游戏测试, 5, 不, 技术, 测试, 广州玩趣网络科技有限公司, 广州, 学历不限, 15, 初创型, 移动互联网 · 数据服务
游戏测试, 6, 1, 技术, 测试, 甲游网络, 广州, 大专, 150, 成长型, 游戏
游戏测试工程师, 8, 1, 技术, 测试, 立达方胜, 北京, 学历不限, 50, 成长型, 移动互联网
游戏测试, 9, 3, 技术, 测试, 千奇网络, 深圳, 本科, 50, 成长型, 游戏
游戏测试, 5, 不, 技术, 测试, 环球互联, 北京, 学历不限, 15, 初创型, 游戏
游戏测试, 7, 3, 技术, 测试, 星辰时代, 深圳, 大专, 15, 初创型, 游戏
游戏测试工程师, 15, 1, 技术, 测试, 银汉, 广州, 大专, 500, 成长型, 移动互联网 · 游戏
游戏测试（招实习及应届毕业生）, 4, 不, 技术, 测试, 可酷淘, 广州, 本科, 50, 初创型, 移动互联网 · 游戏
游戏测试工程师, 7, 不, 技术, 测试, 中软国际, 广州, 本科, 500, 成熟型, 移动互联网
游戏测试, 5, 1年以, 技术, 测试, 完美世界, 北京, 大专, 2000, 上市公, 移动互联网 · 游戏
游戏测试, 4, 1, 技术, 测试, 掌信游戏, 深圳, 大专, 15, 初创型, 移动互联网 · 游戏
游戏测试, 4, 不, 技术, 测试, 神武互动, 北京, 大专, 50, 初创型, 游戏
