职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
性能测试, 17, 3, 技术, 测试, 北京捷越联合, 北京, 大专, 2000, 成熟型, 金融
性能测试, 12, 3, 技术, 测试, 美赛达, 深圳, 大专, 150, 成熟型, 移动互联网 · 数据服务
性能测试, 15, 3, 技术, 测试, 哪个班, 杭州, 本科, 15, 成长型, 移动互联网 · O2O
性能测试, 14, 3, 技术, 测试, 德邦, 上海, 本科, 2000, 成长型, 企业服务
性能测试, 10, 1, 技术, 测试, 科研宝, 上海, 本科, 50, 成长型, 数据服务
性能测试, 14, 3, 技术, 测试, 即富, 上海, 本科, 150, 成长型, 电子商务 · 金融
性能测试, 15, 1, 技术, 测试, 点我吧（点我达）, 杭州, 本科, 2000, 成熟型, 移动互联网 · 电子商务
性能测试, 22, 5, 技术, 测试, 百联全渠道电商, 上海, 学历不限, 500, 成熟型, 电子商务 · O2O
性能测试, 9, 5, 技术, 测试, 欧陆分析技术服务（苏州）有限公司, 苏州, 本科, 2000, 上市公, 企业服务
性能测试, 10, 1, 技术, 测试, 当天财富, 上海, 大专, 500, 成熟型, 金融
性能测试, 11, 3, 技术, 测试, 妈妈好, 杭州, 本科, 150, 初创型, 移动互联网 · 电子商务
性能测试, 13, 1, 技术, 测试, 云之讯, 深圳, 本科, 150, 成长型, 移动互联网
性能测试, 15, 3, 技术, 测试, 卡考网络, 杭州, 本科, 500, 成长型, 移动互联网
性能测试, 12, 3, 技术, 测试, 彩讯科技, 广州, 大专, 500, 成熟型, 移动互联网 · 生活服务
性能测试, 20, 3, 技术, 测试, 网脑科技, 北京, 本科, 150, 成长型, 企业服务
性能测试, 14, 3, 技术, 测试, 悠先点菜, 杭州, 本科, 150, 成长型, 移动互联网
性能测试, 12, 3, 技术, 测试, 宽文是风, 上海, 大专, 150, 初创型, 企业服务
性能测试, 10, 3, 技术, 测试, 维信理财, 上海, 本科, 2000, 成熟型, 金融
性能测试, 10, 1, 技术, 测试, 久雅信息科技, 上海, 本科, 50, 初创型, 移动互联网 · 金融
性能测试, 7, 1, 技术, 测试, 中软国际, 西安, 本科, 2000, 上市公, 移动互联网
性能测试, 11, 1, 技术, 测试, 微创, 上海, 大专, 2000, 初创型, 移动互联网 · 数据服务
性能测试, 6, 不, 技术, 测试, 中科软, 北京, 本科, 2000, 上市公, 金融
性能测试, 9, 1, 技术, 测试, 美试网, 北京, 大专, 50, 成长型, 电子商务
性能测试, 11, 1, 技术, 测试, MOLBASE, 上海, 大专, 150, 成熟型, 电子商务
性能测试, 20, 3, 技术, 测试, 银汉, 广州, 大专, 500, 成长型, 移动互联网 · 游戏
性能测试, 17, 3, 技术, 测试, 联想集团, 北京, 本科, 2000, 上市公, 移动互联网 · 数据服务
性能测试, 6, 1, 技术, 测试, 安居宝, 广州, 本科, 500, 上市公, 移动互联网
性能测试, 15, 1, 技术, 测试, 金桐（银杏资本旗下）, 北京, 大专, 50, 成长型, 金融
性能测试, 12, 3, 技术, 测试, 国信创新, 北京, 本科, 150, 成长型, 移动互联网
性能测试, 15, 3, 技术, 测试, 中信银行信用卡中心, 深圳, 本科, 2000, 上市公, 移动互联网 · 金融
性能测试, 10, 不, 技术, 测试, 文思海辉, 苏州, 大专, 2000, 上市公, 移动互联网 · 电子商务
(贵阳)性能测试, 8, 1, 技术, 测试, 高伟达, 贵阳, 大专, 2000, 上市公, 移动互联网
性能测试, 11, 3, 技术, 测试, 大白科技, 杭州, 大专, 50, 初创型, 移动互联网 · 金融
性能测试, 9, 1, 技术, 测试, 北京捷科, 北京, 本科, 500, 上市公, 金融
性能测试, 12, 1, 技术, 测试, 博为峰, 上海, 大专, 150, 初创型, 教育
性能测试(贵阳), 9, 1, 技术, 测试, 高伟达, 贵阳, 大专, 2000, 上市公, 移动互联网
性能测试, 15, 1, 技术, 测试, 杭州高厚, 杭州, 大专, 50, 初创型, 移动互联网
性能测试, 17, 5, 技术, 测试, 微吼, 北京, 本科, 50, 成长型, 移动互联网 · 数据服务
性能测试, 12, 3, 技术, 测试, camelot, 北京, 本科, 2000, 上市公, 企业服务 · 其他
性能测试, 9, 3, 技术, 测试, 文思海辉, 重庆, 大专, 2000, 上市公, 移动互联网
性能测试, 9, 3, 技术, 测试, 斗鱼TV, 武汉, 大专, 150, 成长型, 移动互联网
性能测试, 9, 3, 技术, 测试, 虎鱼网络, 广州, 大专, 15, 初创型, 移动互联网 · 数据服务
性能测试, 7, 1, 技术, 测试, 重庆慧居智能, 重庆, 大专, 150, 初创型, 移动互联网 · 生活服务
性能测试, 11, 3, 技术, 测试, 文思海辉技术有限公司, 杭州, 大专, 2000, 上市公, 移动互联网 · 电子商务
性能测试, 12, 1, 技术, 测试, 1号店, 上海, 本科, 2000, 成熟型, 移动互联网
性能测试, 15, 1, 技术, 测试, 加油宝, 深圳, 本科, 15, 成长型, 金融
性能测试, 14, 3, 技术, 测试, 智慧树网, 上海, 本科, 500, 成长型, 移动互联网 · 教育
性能测试, 7, 1, 技术, 测试, 文思海辉, 成都, 大专, 2000, 上市公, 移动互联网
性能测试, 6, 1, 技术, 测试, 临沂新商, 临沂, 大专, 50, 成长型, 移动互联网 · 电子商务
性能测试, 6, 不, 技术, 测试, 苏州景诺电子科技有限公司, 苏州, 学历不限, 2000, 初创型, 移动互联网 · 电子商务
性能测试, 10, 1, 技术, 测试, 中软国际, 成都, 大专, 2000, 上市公, 移动互联网
性能测试, 9, 1, 技术, 测试, 文思海辉, 长沙, 大专, 2000, 上市公, 移动互联网 · 电子商务
性能测试, 15, 1, 技术, 测试, 驴妈妈旅游网, 上海, 本科, 2000, 成熟型, 电子商务 · 旅游
性能测试, 7, 1, 技术, 测试, 京宝融信息科技, 北京, 本科, 150, 初创型, 招聘
性能测试, 9, 3, 技术, 测试, 我请客APP, 杭州, 本科, 15, 成长型, 移动互联网 · 社交网络
性能测试, 7, 1, 技术, 测试, 万朋公司, 杭州, 本科, 500, 成熟型, 移动互联网 · 教育
性能测试, 12, 1, 技术, 测试, camelot, 上海, 学历不限, 2000, 上市公, 企业服务 · 其他
性能测试, 10, 3, 技术, 测试, 北京中百信软件技术有限公司, 北京, 学历不限, 150, 成熟型, 移动互联网 · 电子商务
性能测试, 12, 3, 技术, 测试, 软通动力, 上海, 大专, 2000, 上市公, 数据服务
性能测试, 12, 3, 技术, 测试, 国信创新, 北京, 本科, 150, 成长型, 移动互联网
性能测试, 11, 不, 技术, 测试, 申通快递, 上海, 大专, 2000, 成熟型, 生活服务
性能测试, 15, 3, 技术, 测试, 中国健康云, 北京, 大专, 50, 成长型, 电子商务 · 医疗健康
性能测试, 15, 1, 技术, 测试, 驴妈妈旅游网, 上海, 本科, 2000, 成熟型, 电子商务 · 旅游
性能测试, 12, 1, 技术, 测试, 衡盈汇通, 北京, 大专, 15, 初创型, 移动互联网 · 电子商务
性能测试, 6, 不, 技术, 测试, 苏州景诺电子科技有限公司, 苏州, 学历不限, 2000, 初创型, 移动互联网 · 电子商务
性能测试, 12, 1, 技术, 移动开发, 中国健康云, 北京, 大专, 50, 成长型, 电子商务 · 医疗健康
性能测试, 2, 不, 技术, 测试, 广联达, 北京, 本科, 2000, 上市公, 数据服务
