职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
白盒测试, 8, 3, 技术, 测试, 网猫科技, 深圳, 大专, 50, 上市公, 移动互联网 · O2O
白盒测试, 22, 1, 技术, 测试, 北京智能管家科技有限公司, 北京, 本科, 150, 成长型, 硬件
白盒测试, 15, 3, 技术, 测试, 智明星通, 北京, 本科, 500, 上市公, 移动互联网 · 游戏
白盒测试, 15, 1, 技术, 测试, 亚信, 北京, 本科, 2000, 上市公, 移动互联网 · 数据服务
白盒测试, 33, 3, 技术, 测试, 木七七, 上海, 本科, 15, 初创型, 移动互联网 · 游戏
白盒测试, 12, 1, 技术, 测试, 句多网络, 上海, 大专, 15, 初创型, 游戏
白盒测试, 16, 3, 技术, 测试, 你有药, 上海, 本科, 15, 成长型, 移动互联网 · 医疗健康
白盒测试, 15, 3, 技术, 测试, 金桐（银杏资本旗下）, 北京, 学历不限, 50, 成长型, 金融
白盒测试, 12, 1, 技术, 测试, 天星资本, 北京, 本科, 150, 成长型, 移动互联网 · 金融
白盒测试, 9, 3, 技术, 测试, 福昕软件, 福州, 本科, 150, 成长型, 移动互联网
白盒测试, 7, 5, 技术, 测试, 武汉中科通达, 武汉, 本科, 150, 上市公, 移动互联网 · 数据服务
白盒测试, 13, 3, 技术, 测试, 上海沐雨网络, 上海, 本科, 15, 初创型, 移动互联网
白盒测试, 11, 1, 技术, 测试, 蓝港互动集团, 北京, 本科, 500, 上市公, 游戏
白盒测试, 8, 1, 技术, 测试, 东方网力, 北京, 本科, 500, 上市公, 信息安全 · 数据服务
白盒测试, 8, 1, 技术, 测试, 软通聚力, 天津, 本科, 2000, 成熟型, 电子商务 · 企业服务
白盒测试（中）, 9, 1, 技术, 测试, 阿拉丁云计算, 杭州, 本科, 500, 上市公, 信息安全 · 数据服务
白盒测试, 9, 1, 技术, 测试, AltaMob, 郑州, 学历不限, 15, 初创型, 移动互联网
白盒测试（外派）, 11, 3, 技术, 测试, 微创, 上海, 大专, 2000, 初创型, 移动互联网 · 数据服务
白盒测试, 20, 3, 技术, 测试, 在家点点, 上海, 本科, 500, 成长型, O2O
白盒测试, 7, 3, 技术, 测试, 斗鱼TV, 武汉, 大专, 150, 成长型, 移动互联网
