职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
JavaScript, 20, 3, 技术, 前端开发, 超客网络, 北京, 大专, 500, 成熟型, 社交网络
JavaScript, 15, 1, 技术, 后端开发, 名传, 上海, 本科, 50, 成长型, 电子商务 · 数据服务
JavaScript, 22, 3, 技术, 前端开发, 广通软件, 杭州, 大专, 150, 上市公, 移动互联网 · 信息安全
JavaScript, 22, 1, 技术, 前端开发, 金扳手, 上海, 本科, 50, 成长型, 移动互联网 · O2O
JavaScript, 15, 不, 技术, 前端开发, 谷露软件, 上海, 学历不限, 15, 成长型, 数据服务 · 招聘
JavaScript, 15, 1, 技术, 前端开发, 上海钢联电子商务股份有限公司, 上海, 本科, 500, 上市公, 移动互联网 · 电子商务
JavaScript, 13, 3, 技术, 前端开发, 聚贸, 杭州, 大专, 150, 成长型, 金融 · 电子商务
JavaScript, 12, 3, 技术, 前端开发, 用友, 北京, 本科, 2000, 上市公, 企业服务 · 数据服务
JavaScript, 12, 1, 技术, 前端开发, 聚居网, 长沙, 本科, 15, 成长型, 移动互联网 · 硬件
JavaScript, 15, 3, 技术, 前端开发, 诸葛理财, 北京, 大专, 50, 成长型, 金融
JavaScript, 12, 1, 技术, 前端开发, 上海莫凡, 上海, 本科, 15, 初创型, 电子商务 · 企业服务
JavaScript工程师, 20, 3, 技术, 前端开发, 新浪乐居, 北京, 大专, 2000, 上市公, 电子商务  · 文化娱乐
JavaScript, 18, 1, 技术, 前端开发, 长亭科技, 北京, 本科, 15, 初创型, 企业服务 · 信息安全
JavaScript, 7, 1, 技术, 前端开发, 冰吉网络, 广州, 大专, 15, 初创型, 移动互联网 · 电子商务
JavaScript, 22, 1, 技术, 前端开发, eengoo, 上海, 本科, 15, 初创型, 移动互联网 · 数据服务
JavaScript, 15, 3, 技术, 前端开发, 银创科技, 北京, 大专, 150, 初创型, 金融
JavaScript, 30, 3, 技术, 前端开发, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
JavaScript, 15, 1, 技术, 前端开发, 多彩人生, 深圳, 本科, 15, 初创型, 移动互联网
JavaScript, 15, 1, 技术, 前端开发, 通优科技, 上海, 大专, 15, 初创型, 移动互联网 · 教育
JavaScript, 9, 1, 技术, 前端开发, 银橙传媒, 上海, 大专, 150, 上市公, 移动互联网 · 数据服务
Javascript/JS工程师, 12, 1, 技术, 前端开发, 金扳手, 上海, 本科, 50, 成长型, 移动互联网 · O2O
