职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
U3D, 14, 1, 技术, 前端开发, 第七天堂, 深圳, 大专, 15, 成长型, 移动互联网 · 游戏
U3D, 15, 1, 技术, 前端开发, 风林火山, 深圳, 本科, 50, 成长型, 游戏
U3D, 10, 1, 技术, 前端开发, 考拉先生, 广州, 大专, 150, 成长型, 移动互联网
U3D, 10, 1, 技术, 前端开发, 考拉先生, 广州, 大专, 150, 成长型, 移动互联网
U3D, 13, 1, 技术, 前端开发, 黄金岛, 深圳, 本科, 50, 成长型, 移动互联网 · 游戏
U3D, 15, 1, 技术, 前端开发, 铁木鱼, 深圳, 学历不限, 15, 初创型, 移动互联网
U3D, 27, 5, 技术, 前端开发, 火之炎网游, 上海, 硕士, 50, 成长型, 移动互联网 · 游戏
U3D, 15, 1, 技术, 前端开发, 仙境乐网, 北京, 本科, 50, 成长型, 移动互联网 · 游戏
U3D, 11, 3, 技术, 前端开发, 博瑞游戏, 成都, 本科, 150, 上市公, 游戏
U3D, 7, 1, 技术, 前端开发, 西雨, 杭州, 本科, 15, 初创型, 游戏 · 文化娱乐
U3D, 15, 1, 技术, 前端开发, 网易游戏, 广州, 本科, 2000, 上市公, 游戏
Unity3D, 7, 3, 技术, 前端开发, 腾讯无线大连研发中心, 大连, 本科, 150, 初创型, 移动互联网
U3D, 11, 3, 技术, 前端开发, 网龙网络有限公司, 福州, 本科, 2000, 上市公, 移动互联网 · 教育
U3D, 7, 1, 技术, 前端开发, 火之炎网游, 上海, 本科, 50, 成长型, 移动互联网 · 游戏
U3D, 20, 3, 技术, 前端开发, 广东橙鲜智能科技有限公司, 广州, 本科, 50, 成长型, 生活服务
U3D, 17, 3, 技术, 前端开发, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
U3D, 6, 1, 技术, 前端开发, 指触传媒, 西安, 本科, 15, 成长型, 移动互联网 · 文化娱乐
U3D, 5, 1, 技术, 前端开发, 隆讯, 重庆, 大专, 50, 初创型, 游戏
U3D, 4, 1, 技术, 前端开发, 深圳国泰安合肥分公司, 合肥, 本科, 500, 成熟型, 移动互联网 · 数据服务
U3D, 11, 1, 技术, 前端开发, 东莞黑洞科技, 广州, 本科, 150, 初创型, 游戏
U3D, 22, 1, 技术, 前端开发, 腾讯, 深圳, 本科, 2000, 上市公, 移动互联网  · 游戏
U3D, 11, 1, 技术, 前端开发, 银橙传媒, 上海, 学历不限, 150, 上市公, 移动互联网 · 数据服务
U3D, 9, 1, 技术, 前端开发, 成都火龙果科技有限公司, 成都, 本科, 15, 初创型, 游戏
U3D, 12, 1, 技术, 前端开发, 趣上科技, 深圳, 本科, 15, 初创型, 移动互联网 · 游戏
U3D, 11, 1, 技术, 前端开发, 魔立方, 西安, 本科, 15, 初创型, 移动互联网
U3D, 11, 3, 技术, 前端开发, 魔立方, 西安, 本科, 15, 初创型, 移动互联网
U3D, 13, 1, 技术, 前端开发, 起源天下, 深圳, 大专, 15, 初创型, 移动互联网 · 游戏
U3D, 15, 1, 技术, 前端开发, 掌兴游戏, 上海, 本科, 15, 初创型, 游戏
U3D, 9, 不, 技术, 前端开发, 联悦科技, 上海, 学历不限, 15, 初创型, 移动互联网 · 游戏
U3D, 12, 1, 技术, 前端开发, 句多网络, 上海, 大专, 15, 初创型, 游戏
U3D, 11, 1, 技术, 前端开发, 巨细, 东莞, 大专, 50, 初创型, 移动互联网 · 招聘
U3D, 15, 1, 技术, 前端开发, 上海展开, 上海, 学历不限, 50, 成长型, 移动互联网 · 游戏
U3D, 9, 不, 技术, 前端开发, 咪修游戏, 西安, 本科, 15, 初创型, 游戏
U3D, 8, 1, 技术, 前端开发, 魔盒科技, 南京, 大专, 50, 初创型, 移动互联网 · 游戏
U3D, 6, 1, 技术, 前端开发, 城市通, 南宁, 本科, 15, 初创型, 电子商务
U3D, 8, 1, 技术, 前端开发, 杭州美盛游戏技术开发有限公司, 杭州, 本科, 150, 上市公, 移动互联网 · 游戏
U3D, 25, 3, 技术, 前端开发, 七酷网络, 无锡, 大专, 500, 上市公, 游戏
U3D, 4, 不, 技术, 前端开发, 融创, 贵阳, 本科, 15, 成长型, 移动互联网 · 游戏
U3D, 35, 3, 技术, 前端开发, 泽贤, 广州, 大专, 50, 成长型, 移动互联网 · 电子商务
U3D, 22, 3, 技术, 前端开发, 苏格, 上海, 学历不限, 15, 成长型, 移动互联网 · 电子商务
U3D, 15, 3, 技术, 前端开发, 巴腾, 杭州, 学历不限, 15, 初创型, 移动互联网 · 游戏
U3D, 6, 不, 技术, 前端开发, 真朴教育, 无锡, 本科, 150, 成长型, 移动互联网 · 教育
U3D, 7, 1, 技术, 前端开发, 南京炫佳网络科技有限公司, 南京, 大专, 15, 初创型, 金融 · 文化娱乐
U3D, 20, 3, 技术, 前端开发, 小鸟看看, 北京, 本科, 150, 成长型, 硬件 · 其他
U3D, 22, 1, 技术, 前端开发, 成都市骜游, 成都, 本科, 15, 初创型, 游戏
U3D, 8, 1, 技术, 前端开发, 魔法师, 珠海, 大专, 15, 初创型, 移动互联网 · 文化娱乐
U3D, 12, 不, 技术, 前端开发, 软星科技广州分部, 广州, 学历不限, 15, 初创型, 游戏
U3D, 13, 1, 技术, 前端开发, 上业科技, 上海, 大专, 50, 初创型, 移动互联网 · 教育
U3D, 11, 1, 技术, 前端开发, 网林科技, 广州, 大专, 15, 初创型, 移动互联网 · 游戏
U3D, 7, 应届毕业, 技术, 前端开发, 奇酷信息, 郑州, 大专, 50, 初创型, 其他
U3D, 6, 1, 技术, 前端开发, 汉恩互联, 南京, 大专, 50, 成长型, 移动互联网 · 文化娱乐
U3D, 6, 1, 技术, 前端开发, 橘井泉网络科技有限公司, 上海, 学历不限, 15, 初创型, 电子商务 · 医疗健康
U3D, 13, 1, 技术, 前端开发, 瀚梦游戏, 上海, 本科, 15, 初创型, 游戏
U3D, 16, 3, 技术, 前端开发, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
U3D(Unity3D)手游开发工程师, 15, 1, 技术, 前端开发, 迅龙创威, 深圳, 大专, 50, 成长型, 游戏
U3D, 7, 1, 技术, 前端开发, 大连水晶石, 大连, 学历不限, 500, 成熟型, 教育
U3D, 4, 不, 技术, 前端开发, 青岛海蓝康复, 青岛, 本科, 50, 成熟型, 医疗健康
U3D（会android或c++）, 11, 3, 技术, 前端开发, 理想境界, 成都, 学历不限, 50, 成长型, 移动互联网
U3D, 15, 1, 技术, 前端开发, 木偶游戏, 北京, 大专, 50, 成长型, 游戏
unity3D/U3D, 10, 3, 技术, 前端开发, 创幻数码, 广州, 本科, 50, 初创型, 移动互联网 · 游戏
U3D, 7, 1, 技术, 前端开发, 敏行医学, 苏州, 本科, 50, 成长型, 医疗健康
U3D, 20, 3, 技术, 前端开发, 购搭APP, 北京, 大专, 50, 成长型, 移动互联网 · 电子商务
U3D, 12, 1, 技术, 前端开发, 简娱科技, 北京, 本科, 15, 初创型, 游戏
U3D, 22, 1, 技术, 前端开发, 墨橙, 杭州, 本科, 15, 初创型, 游戏
unity3d, 9, 1, 技术, 前端开发, 联信通科技, 深圳, 学历不限, 50, 成长型, 移动互联网 · 其他
U3D, 20, 3, 技术, 前端开发, Storm5, 上海, 本科, 15, 成长型, 游戏
U3D, 15, 不, 技术, 前端开发, 完美世界, 北京, 本科, 2000, 上市公, 移动互联网 · 游戏
U3D, 13, 1, 技术, 前端开发, 博乐信息, 深圳, 本科, 15, 初创型, 移动互联网
U3D, 20, 3, 技术, 前端开发, Storm5, 上海, 本科, 15, 成长型, 游戏
U3D 场景, 11, 1, 技术, 前端开发, 莉莉丝游戏, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
U3D, 22, 3, 技术, 前端开发, Copetus, 上海, 学历不限, 15, 初创型, 社交网络
U3D（厦门）, 12, 3, 技术, 前端开发, 飞鱼科技, 厦门, 学历不限, 150, 上市公, 游戏
U3D, 7, 不, 技术, 前端开发, 糯米游戏, 南京, 学历不限, 15, 初创型, 移动互联网 · 游戏
U3D高级工程师, 20, 3, 技术, 前端开发, 格林巫德, 深圳, 本科, 15, 初创型, 移动互联网 · 游戏
U3D, 7, 3, 技术, 前端开发, 至尊网络, 西安, 大专, 50, 成长型, 移动互联网 · 游戏
高级U3D, 20, 3, 技术, 前端开发, 4399北京, 北京, 本科, 500, 成熟型, 游戏
U3D, 13, 1, 技术, 前端开发, 喵呜科技, 上海, 学历不限, 15, 初创型, 移动互联网 · O2O
U3D, 30, 3, 技术, 前端开发, 购搭APP, 北京, 学历不限, 50, 成长型, 移动互联网 · 电子商务
U3D开发, 17, 1, 技术, 前端开发, 上海游鲨, 上海, 大专, 15, 初创型, 游戏
U3D, 20, 3, 技术, 前端开发, 4399北京, 北京, 本科, 500, 成熟型, 游戏
U3D, 15, 3, 技术, 前端开发, 亿迅科技, 北京, 本科, 15, 初创型, 游戏
U3D, 15, 1, 技术, 前端开发, 易商信息, 广州, 学历不限, 15, 初创型, 移动互联网 · 电子商务
U3D 特效, 11, 1, 技术, 前端开发, 莉莉丝游戏, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
U3D, 8, 1, 技术, 前端开发, 亿维达, 武汉, 本科, 15, 初创型, 移动互联网
U3D, 10, 1, 技术, 前端开发, 成都盛焱科技, 成都, 学历不限, 15, 初创型, 游戏
U3D, 15, 3, 技术, 前端开发, 银河宇科技, 北京, 本科, 15, 初创型, 移动互联网 · 电子商务
U3D, 11, 1, 技术, 前端开发, 掌沃无限, 成都, 大专, 50, 成长型, 游戏
U3D, 18, 1, 技术, 前端开发, 飓风网络, 北京, 本科, 15, 成长型, 移动互联网 · 游戏
U3D 工程师, 9, 1, 技术, 前端开发, 嘟牛科技, 深圳, 学历不限, 15, 初创型, 移动互联网 · 文化娱乐
U3D, 25, 3, 技术, 前端开发, 诗悦网络, 广州, 大专, 150, 初创型, 游戏
U3D, 22, 3, 技术, 前端开发, 鱼乐网络, 上海, 本科, 15, 初创型, 移动互联网 · 游戏
U3D, 16, 3, 技术, 前端开发, 众游, 北京, 本科, 15, 初创型, 移动互联网 · 游戏
U3D,unity3D（深圳，江西，武汉）, 12, 1, 技术, 前端开发, 中清龙图游戏教育, 深圳, 大专, 50, 初创型, 教育 · 游戏
U3D, 10, 1, 技术, 前端开发, 中彩在线, 北京, 本科, 150, 成长型, 电子商务 · 金融
U3D, 8, 1, 技术, 前端开发, 红鸟网络, 深圳, 本科, 150, 上市公, 移动互联网 · 其他
U3D, 22, 1, 技术, 前端开发, 网易游戏, 广州, 本科, 2000, 上市公, 游戏
