职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
ASP, 10, 1, 技术, 后端开发, 考拉先生, 广州, 大专, 150, 成长型, 移动互联网
ASP开发, 15, 1, 技术, 后端开发, 考拉先生, 广州, 大专, 150, 成长型, 移动互联网
ASP开发工程师, 11, 1, 技术, 后端开发, 银橙传媒, 上海, 大专, 150, 上市公, 移动互联网 · 数据服务
ASP, 4, 不, 技术, 后端开发, 恒凯科技, 洛阳, 大专, 150, 初创型, 企业服务 · 生活服务
ASP开发工程师, 11, 不, 技术, 后端开发, 小鸟云, 深圳, 大专, 50, 成长型, 移动互联网 · 数据服务
ASP, 6, 1, 技术, 后端开发, 联动天下, 佛山, 大专, 15, 初创型, 企业服务 · 数据服务
ASP, 17, 3, 技术, 后端开发, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
ASP, 7, 1, 技术, 后端开发, 中软国际, 西安, 本科, 2000, 上市公, 移动互联网
ASP, 7, 3, 技术, 后端开发, 金象网络, 西安, 大专, 50, 初创型, 移动互联网 · 电子商务
ASP, 5, 1, 技术, 后端开发, 湖北远成, 武汉, 本科, 500, 初创型, 电子商务 · 广告营销
ASP, 3, 1, 技术, 后端开发, 酱游网, 广州, 学历不限, 15, 初创型, 旅游
ASP, 12, 5, 技术, 后端开发, 湖北远成, 武汉, 大专, 500, 初创型, 电子商务 · 广告营销
ASP, 9, 3, 技术, 后端开发, 英特力, 广州, 大专, 50, 成长型, 移动互联网 · 电子商务
ASP, 5, 1, 技术, 后端开发, 骏驰网络, 长沙, 本科, 15, 初创型, 移动互联网 · 电子商务
ASP, 7, 3, 技术, 后端开发, 云商天下, 南京, 本科, 15, 上市公, 电子商务 · 医疗健康
ASP（asp.net mvc后台）, 15, 1, 技术, 后端开发, 考拉先生, 广州, 大专, 150, 成长型, 移动互联网
ASP, 7, 1, 技术, 后端开发, 汉之网络, 杭州, 本科, 15, 初创型, 移动互联网 · 企业服务
ASP, 15, 1, 技术, 后端开发, knowyou, 上海, 本科, 50, 初创型, 移动互联网 · 硬件
ASP, 6, 1, 技术, 后端开发, 汉之网络, 杭州, 大专, 15, 初创型, 移动互联网 · 企业服务
ASP, 8, 1, 技术, 后端开发, knowyou, 上海, 本科, 50, 初创型, 移动互联网 · 硬件
ASP, 7, 3, 技术, 后端开发, 湖北远成集团, 武汉, 学历不限, 150, 成长型, 电子商务 · 医疗健康
ASP, 8, 1, 技术, 后端开发, 杭州加和科技有限公司, 杭州, 大专, 150, 初创型, 电子商务 · O2O
ASP, 15, 3, 技术, 后端开发, 北斗中航, 北京, 大专, 50, 初创型, 企业服务 · 数据服务
ASP, 5, 1, 技术, 后端开发, 富隆国际酒业（香港）有限公司, 广州, 大专, 50, 成长型, 电子商务 · 企业服务
asp开发工程师, 8, 1, 技术, 后端开发, 上海高欣计算机系统有限公司, 上海, 大专, 150, 成长型, 移动互联网 · 电子商务
ASP, 13, 3, 技术, 后端开发, 货源甲, 深圳, 本科, 50, 成长型, 移动互联网 · 电子商务
ASP, 11, 1, 技术, 后端开发, 优鲜科技, 杭州, 大专, 15, 初创型, 移动互联网 · O2O
ASP, 10, 1, 技术, 后端开发, 豌壳网, 上海, 大专, 15, 初创型, O2O · 广告营销
ASP, 10, 1, 技术, 后端开发, 北京家装云网络科技有限公司, 北京, 本科, 150, 成长型, 电子商务
ASP, 8, 不, 技术, 后端开发, 久信e贷, 青岛, 学历不限, 15, 初创型, 移动互联网 · 金融
ASP, 7, 1, 技术, 后端开发, 汉之网络, 杭州, 本科, 15, 初创型, 移动互联网 · 企业服务
ASP, 17, 3, 技术, 后端开发, 新媒传信, 北京, 本科, 2000, 上市公, 移动互联网 · 数据服务
