职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
C#, 16, 5, 技术, 后端开发, 九曳供应链, 上海, 本科, 15, 成长型, 电子商务 · 数据服务
C#, 7, 3, 技术, 后端开发, 伏佳安达, 武汉, 本科, 50, 成长型, 信息安全 · 数据服务
C#, 11, 1, 技术, 后端开发, 上海晏鼠计算机技术有限公司, 上海, 学历不限, 15, 成长型, 移动互联网 · 电子商务
C#, 18, 1, 技术, 后端开发, 慧择网, 深圳, 大专, 500, 成长型, 移动互联网  · 电子商务
C#, 9, 1, 技术, 后端开发, 微创, 上海, 本科, 2000, 初创型, 移动互联网 · 数据服务
C#开发工程师, 4, 不, 技术, 后端开发, 广州诚益信息科技有限公司, 广州, 大专, 15, 初创型, 移动互联网 · 医疗健康
C#, 6, 不, 技术, 后端开发, 点触, 厦门, 大专, 50, 初创型, 移动互联网 · 游戏
C#, 12, 3, 技术, 后端开发, 北京六趣, 北京, 大专, 50, 成长型, 游戏
C#开发工程师, 6, 1, 技术, 移动开发, 智匠科技, 武汉, 大专, 50, 成长型, 移动互联网
C#, 5, 不, 技术, 后端开发, 筋斗云, 郑州, 学历不限, 15, 初创型, 移动互联网 · 企业服务
C#开发工程师, 7, 1, 技术, 后端开发, 广州比呀比信息科技有限公司, 广州, 大专, 15, 成长型, 移动互联网 · 电子商务
C#工程师（沈阳）, 7, 1, 技术, 后端开发, 天维尔信息科技股份有限公司, 沈阳, 大专, 150, 上市公, 分类信息 · 其他
C#开发工程师, 10, 3, 技术, 后端开发, 师徒部落, 广州, 大专, 50, 初创型, 移动互联网 · 社交网络
C#开发工程师, 11, 3, 技术, 后端开发, 康爱多, 广州, 大专, 500, 上市公, 移动互联网 · 电子商务
C#开发工程师, 12, 1, 技术, 后端开发, 嬉戏谷科技, 上海, 学历不限, 500, 成长型, 移动互联网 · O2O
C#, 7, 1, 技术, 后端开发, 环融贵金属, 上海, 大专, 150, 初创型, 金融
C#开发工程师, 9, 1, 技术, 后端开发, 戴尔, 珠海, 本科, 2000, 成熟型, 企业服务 · 数据服务
C#工程师, 11, 3, 技术, 后端开发, 环球易购, 深圳, 大专, 500, 上市公, 电子商务
C#, 4, 1, 技术, 后端开发, 深圳国泰安合肥分公司, 合肥, 本科, 500, 成熟型, 移动互联网 · 数据服务
C#, 22, 1, 技术, 后端开发, 淘巴士, 广州, 本科, 50, 初创型, 移动互联网 · 企业服务
C#, 15, 3, 技术, 后端开发, 软通技术服务有限公司, 深圳, 大专, 2000, 上市公, 移动互联网 · 招聘
C#, 7, 1, 技术, 后端开发, 91沐足, 广州, 大专, 15, 成长型, 社交网络 · O2O
C#, 16, 1, 技术, 后端开发, 易题库, 北京, 学历不限, 15, 成长型, 移动互联网 · 教育
