职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
C/C++, 22, 1, 技术, 后端开发, 宇泛智能, 杭州, 本科, 15, 初创型, 硬件
C/C++, 10, 3, 技术, 后端开发, 希仑科技拥有一支优秀技术和产品设计队伍。, 广州, 本科, 150, 成长型, 移动互联网 · 电子商务
高级C++, 35, 3, 技术, 后端开发, 探探, 北京, 本科, 150, 成长型, 移动互联网 · 文化娱乐
C++, 17, 不, 技术, 后端开发, 名片全能王, 上海, 本科, 150, 成长型, 移动互联网
C, 9, 1, 技术, 后端开发, 软通动力, 西安, 本科, 2000, 上市公, 移动互联网 · 企业服务
C ++, 10, 1, 技术, 后端开发, 联程科技, 北京, 大专, 15, 初创型, 信息安全 · 企业服务
C, 15, 不, 技术, 后端开发, twinkle, 上海, 本科, 15, 初创型, 移动互联网 · 社交网络
C + +, 10, 1, 技术, 后端开发, 联程科技, 北京, 大专, 15, 初创型, 信息安全 · 企业服务
C/C++, 20, 3, 技术, 后端开发, 腾讯, 深圳, 本科, 2000, 上市公, 移动互联网  · 游戏
C, 8, 1, 技术, 后端开发, 软通动力信息技术有限公司, 杭州, 大专, 2000, 上市公, 企业服务
C, 10, 3, 技术, 后端开发, 网猫科技, 深圳, 大专, 50, 上市公, 移动互联网 · O2O
C++, 17, 3, 技术, 后端开发, 汽车之家, 北京, 学历不限, 2000, 上市公, 移动互联网 · 文化娱乐
C++, 14, 3, 技术, 运维, 煜邦电力, 北京, 大专, 500, 成长型, 硬件
C++, 45, 不, 技术, 后端开发, 蘑菇街, 杭州, 本科, 500, 成熟型, 电子商务
C, 10, 1, 技术, 后端开发, 软通动力信息技术有限公司, 杭州, 本科, 2000, 上市公, 企业服务
C/C++工程师, 9, 1, 技术, 移动开发, 锦玉山河, 重庆, 学历不限, 15, 初创型, 移动互联网 · 游戏
C, 15, 3, 技术, 后端开发, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
C/C++, 11, 不, 技术, 后端开发, 必拓狮, 南京, 大专, 15, 成长型, 移动互联网
C++, 22, 3, 技术, 后端开发, 腾讯, 深圳, 本科, 2000, 上市公, 移动互联网  · 游戏
C++, 12, 1, 技术, 后端开发, 软通动力信息技术有限公司, 杭州, 本科, 2000, 上市公, 企业服务
C++, 15, 1, 技术, 后端开发, 凡游funyou, 杭州, 本科, 15, 初创型, 游戏
C, 7, 1, 技术, 后端开发, 卓宝计算机, 上海, 大专, 50, 成长型, 移动互联网 · 文化娱乐
C++, 11, 1, 技术, 后端开发, 火之炎网游, 上海, 本科, 50, 成长型, 移动互联网 · 游戏
C++, 8, 不, 技术, 后端开发, 文思海辉, 西安, 大专, 2000, 上市公, 移动互联网 · 电子商务
C++, 22, 3, 技术, 后端开发, 火之炎网游, 上海, 本科, 50, 成长型, 移动互联网 · 游戏
