职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
Go(Golang), 30, 3, 技术, 后端开发, 探探, 北京, 本科, 150, 成长型, 移动互联网 · 文化娱乐
Go, 15, 不, 技术, 后端开发, twinkle, 上海, 本科, 15, 初创型, 移动互联网 · 社交网络
Go, 15, 1, 技术, 后端开发, EZbuy, 上海, 本科, 150, 成长型, 电子商务 · 生活服务
Go, 30, 3, 技术, 后端开发, eengoo, 上海, 本科, 15, 初创型, 移动互联网 · 数据服务
Go, 37, 3, 技术, 后端开发, 滴滴打车, 北京, 本科, 500, 成熟型, 移动互联网
Go, 15, 不, 技术, 后端开发, NGS, 南京, 学历不限, 15, 初创型, 移动互联网 · 社交网络
Go, 16, 1, 技术, 后端开发, 商询科技, 朝阳, 本科, 15, 初创型, 企业服务 · 数据服务
Go, 14, 3, 技术, 后端开发, 青稞麦, 深圳, 大专, 15, 初创型, 移动互联网
Go, 15, 3, 技术, 后端开发, 九车网, 深圳, 大专, 15, 初创型, 移动互联网 · O2O
Go, 16, 3, 技术, 后端开发, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
Go, 9, 1, 技术, 后端开发, 软通动力信息技术有限公司, 杭州, 本科, 2000, 上市公, 企业服务
Go, 11, 1, 技术, 后端开发, 深圳中软国际, 深圳, 本科, 2000, 上市公, 移动互联网 · 企业服务
Go, 19, 3, 技术, 后端开发, 有赞, 杭州, 本科, 150, 成长型, 移动互联网 · 电子商务
Go, 19, 3, 技术, 后端开发, 有赞, 杭州, 本科, 150, 成长型, 移动互联网 · 电子商务
Go, 15, 1, 技术, 后端开发, 洋葱, 北京, 大专, 15, 初创型, 移动互联网 · 数据服务
Go, 23, 不, 技术, 后端开发, 星辰天合, 北京, 学历不限, 15, 初创型, 企业服务
Go, 15, 1, 技术, 后端开发, 智云众, 上海, 本科, 50, 成长型, 企业服务 · 文化娱乐
Go, 22, 3, 技术, 后端开发, EMC, 北京, 本科, 2000, 上市公, 企业服务 · 数据服务
Go, 8, 1, 技术, 后端开发, 巨途, 广州, 本科, 15, 初创型, 移动互联网 · 广告营销
Go, 12, 1, 技术, 后端开发, 移石创想, 北京, 本科, 15, 初创型, 移动互联网
Go, 22, 3, 技术, 后端开发, 国美在线, 北京, 学历不限, 2000, 上市公, 电子商务
Go, 30, 3, 技术, 后端开发, 毕威拓, 北京, 硕士, 500, 成熟型, 数据服务
Go, 14, 3, 技术, 后端开发, 日日金, 北京, 本科, 15, 初创型, 金融
Go, 3, 不, 技术, 后端开发, 企云科技, 北京, 硕士, 15, 初创型, 移动互联网 · 数据服务
Go, 22, 1, 技术, 后端开发, 企云科技, 北京, 硕士, 15, 初创型, 移动互联网 · 数据服务
Go, 22, 不, 技术, 后端开发, 红点, 北京, 本科, 15, 成长型, 移动互联网
Go实习, 4, 不, 技术, 后端开发, twinkle, 上海, 学历不限, 15, 初创型, 移动互联网 · 社交网络
Go开发, 15, 不, 技术, 后端开发, 爱可生, 上海, 本科, 50, 成长型, 数据服务
Go开发工程师, 22, 1, 技术, 后端开发, 华尔街见闻, 上海, 本科, 50, 成长型, 金融 · 移动互联网
Go研发工程师, 11, 3, 技术, 后端开发, 锦玉山河, 重庆, 学历不限, 15, 初创型, 移动互联网 · 游戏
Go工程师, 6, 不, 技术, 后端开发, 梵响互动, 西安, 本科, 15, 初创型, 移动互联网 · 企业服务
Go开发工程师, 11, 不, 技术, 后端开发, 金蝶软件（中国）有限公司, 深圳, 本科, 2000, 上市公, 移动互联网 · 电子商务
Go语言（交通事业部）, 15, 1, 技术, 后端开发, 同程旅游, 苏州, 大专, 2000, 成熟型, 移动互联网 · 旅游
GO语言开发工程师, 40, 5, 技术, 后端开发, 滴滴打车, 北京, 本科, 500, 成熟型, 移动互联网
go开发工程师, 10, 1年以, 技术, 前端开发, 华阅数码科技, 广州, 大专, 50, 成熟型, 电子商务 · 医疗健康
Go研发工程师, 13, 1, 技术, 后端开发, 汉联互动, 成都, 大专, 15, 初创型, 移动互联网 · 教育
GO语言高级开发工程师, 30, 3, 技术, 后端开发, 滴滴打车, 北京, 本科, 500, 成熟型, 移动互联网
go语言开发工程师, 10, 不, 技术, 后端开发, Shop123, 杭州, 学历不限, 15, 初创型, 电子商务
go后端研发工程师, 22, 1, 技术, 后端开发, 有米科技, 广州, 本科, 150, 上市公, 移动互联网 · 广告营销
Go语言开发, 15, 3, 技术, 后端开发, 深圳中软国际, 深圳, 本科, 2000, 上市公, 移动互联网 · 企业服务
Go语言开发工程师/架构师, 30, 1, 技术, 后端开发, 沪江, 上海, 本科, 500, 成熟型, 移动互联网 · 教育
初级Go工程师, 12, 1年以, 技术, 后端开发, 持创, 西安, 学历不限, 50, 成长型, 移动互联网 · 电子商务
