职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
Node.js, 15, 1, 技术, 后端开发, 名传, 上海, 本科, 50, 成长型, 电子商务 · 数据服务
Node.js, 12, 1, 技术, 后端开发, 聚居网, 长沙, 本科, 15, 成长型, 移动互联网 · 硬件
Node.js, 7, 1, 技术, 后端开发, 图普科技（深度学习图像识别云）, 广州, 本科, 15, 成长型, 移动互联网 · 数据服务
Node.js, 15, 不, 技术, 后端开发, 大搜车, 杭州, 本科, 500, 成熟型, 移动互联网 · O2O
Node.js, 25, 3, 技术, 后端开发, 洋葱数学, 北京, 学历不限, 50, 成长型, 移动互联网 · 教育
Node.js, 16, 1, 技术, 后端开发, 店达信息, 上海, 本科, 150, 成长型, 电子商务 · O2O
Node.js, 12, 3, 技术, 后端开发, 大象科技, 广州, 大专, 50, 成长型, 移动互联网
Node.js, 15, 1, 技术, 后端开发, 阿思拓, 杭州, 大专, 150, 成长型, 移动互联网 · 电子商务
Node.js开发, 7, 1, 技术, 后端开发, 图普科技（深度学习图像识别云）, 广州, 本科, 15, 成长型, 移动互联网 · 数据服务
Node.js, 22, 1, 技术, 后端开发, 壹财富, 上海, 本科, 150, 成长型, 金融
Node.js, 15, 1, 技术, 后端开发, 井底之蛙, 北京, 学历不限, 15, 初创型, 移动互联网 · O2O
Node.js, 15, 1, 技术, 后端开发, 井底之蛙, 北京, 学历不限, 15, 初创型, 移动互联网 · O2O
node.js工程师, 24, 3, 技术, 前端开发, 云鸟科技, 北京, 本科, 150, 成长型, 移动互联网 · O2O
Node.js, 8, 不, 技术, 后端开发, 生活日历, 北京, 本科, 15, 初创型, 移动互联网 · 生活服务
Node.js, 20, 1, 技术, 后端开发, 元宝铺, 杭州, 大专, 150, 成长型, 金融
Node.js, 12, 1, 技术, 后端开发, 奇沃智联, 深圳, 大专, 150, 成长型, 移动互联网
Node.js, 11, 1, 技术, 后端开发, 椰子金融, 深圳, 大专, 15, 初创型, 移动互联网 · 金融
Node.js工程师, 22, 3, 技术, 后端开发, 慧择网, 深圳, 大专, 500, 成长型, 移动互联网  · 电子商务
Node.js, 22, 3, 技术, 后端开发, 可零可零, 北京, 本科, 15, 初创型, 移动互联网 · 金融
Node.js, 10, 3, 技术, 后端开发, iTours.China, 武汉, 本科, 15, 初创型, O2O · 旅游
Node.js, 5, 1, 技术, 后端开发, 柠豆, 吉林, 大专, 15, 初创型, 移动互联网 · 游戏
Node.js, 14, 1, 技术, 后端开发, 追书神器, 杭州, 学历不限, 15, 初创型, 移动互联网
Node.js, 12, 1, 技术, 后端开发, 迪安诊断, 杭州, 大专, 2000, 上市公, 医疗健康
Node.js, 12, 1, 技术, 后端开发, 广东东田教育集团有限公司, 广州, 本科, 150, 成长型, 移动互联网 · 教育
Node.js, 27, 5, 技术, 后端开发, 云适配, 北京, 本科, 50, 成长型, 移动互联网
Node.js, 8, 1, 技术, 后端开发, 互联网金融, 厦门, 本科, 15, 初创型, 移动互联网 · 金融
Node.js, 12, 不, 技术, 后端开发, 微漫网络, 上海, 本科, 15, 成长型, 移动互联网 · 社交网络
Node.js, 10, 1, 技术, 后端开发, 爱狗团, 武汉, 本科, 15, 初创型, 移动互联网 · O2O
Node.js, 8, 1, 技术, 后端开发, 元酷网络, 厦门, 大专, 15, 初创型, 移动互联网
Node.js, 7, 不, 技术, 后端开发, 轼域科技, 珠海, 学历不限, 15, 成长型, 移动互联网 · 电子商务
Node.js, 11, 1, 技术, 后端开发, 聚喜猫, 南京, 大专, 15, 成长型, O2O · 生活服务
Node.js, 22, 5, 技术, 后端开发, 快约, 北京, 本科, 15, 成长型, 移动互联网
Node.js工程师, 12, 1, 技术, 后端开发, 大搜车, 杭州, 本科, 500, 成熟型, 移动互联网 · O2O
Node.js工程师, 16, 1, 技术, 后端开发, 店达信息, 上海, 学历不限, 150, 成长型, 电子商务 · O2O
Node.js, 9, 1, 技术, 后端开发, 益驾科技, 成都, 本科, 15, 初创型, 移动互联网 · O2O
Node.js, 9, 不, 技术, 后端开发, 折800网, 成都, 本科, 500, 成熟型, 移动互联网 · 电子商务
Node.js, 15, 1, 技术, 后端开发, 阿思拓, 杭州, 大专, 150, 成长型, 移动互联网 · 电子商务
Node.js, 25, 1, 技术, 后端开发, 风口, 北京, 本科, 15, 初创型, 移动互联网
Node.js, 9, 1, 技术, 后端开发, 博朗科技, 广州, 本科, 15, 初创型, O2O · 生活服务
Node.js软件工程师, 12, 3, 技术, 后端开发, 美赛达, 深圳, 大专, 150, 成熟型, 移动互联网 · 数据服务
Node.js, 18, 3, 技术, 后端开发, 杭州高锦, 杭州, 大专, 15, 初创型, 移动互联网 · 数据服务
Node.js, 20, 3, 技术, 后端开发, 快约, 北京, 本科, 15, 成长型, 移动互联网
Node.js, 6, 不, 技术, 后端开发, 元代码, 重庆, 大专, 15, 初创型, 移动互联网 · 社交网络
Node.js, 9, 1, 技术, 后端开发, 艾易科技, 宁波, 本科, 50, 成长型, 移动互联网 · 教育
Node.js, 15, 1, 技术, 后端开发, 海购仓, 广州, 本科, 150, 成长型, 电子商务
