职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
Shell, 6, 1, 技术, 后端开发, 软通动力, 南京, 大专, 2000, 上市公, 移动互联网 · 数据服务
Shell, 12, 3, 技术, 后端开发, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
Shell, 7, 1, 技术, 后端开发, 中软国际, 西安, 本科, 2000, 上市公, 移动互联网
Shell, 7, 1年以, 技术, 后端开发, 中软国际, 西安, 本科, 2000, 上市公, 移动互联网
Shell, 10, 1, 技术, 后端开发, 软通动力信息技术有限公司, 杭州, 本科, 2000, 上市公, 企业服务
Shell, 12, 1, 技术, 后端开发, 中软国际, 深圳, 本科, 2000, 上市公, 移动互联网 · 数据服务
Shell开发工程师（python、ruby、nodejs）, 12, 1, 技术, 后端开发, 中软国际, 深圳, 本科, 2000, 上市公, 移动互联网 · 电子商务
运维开发工程师--UNIX Shell/Windows bat, 12, 3, 技术, 运维, 上海天正, 上海, 本科, 150, 成长型, 数据服务
oracle数据库开发 / Shell, 11, 1, 技术, 后端开发, 宇信易诚, 上海, 本科, 2000, 成熟型, 金融
Shell脚本开发工程师, 12, 3, 技术, 后端开发, 联想利泰, 北京, 本科, 500, 初创型, 移动互联网 · 招聘
Linux-shell工程师, 11, 3, 技术, 后端开发, 东方金信, 北京, 本科, 50, 成长型, 金融 · 数据服务
