职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
后端开发工程师, 30, 1, 技术, 后端开发, 探探, 北京, 本科, 150, 成长型, 移动互联网 · 文化娱乐
后端开发工程师, 30, 不, 技术, 后端开发, 超客网络, 北京, 本科, 500, 成熟型, 社交网络
后端开发工程师, 11, 1, 技术, 后端开发, 曲奇单车, 厦门, 大专, 50, 初创型, 移动互联网 · 硬件
后端开发工程师, 22, 1, 技术, 后端开发, 亿方云科技, 杭州, 本科, 50, 成长型, 移动互联网 · 数据服务
后端工程师, 18, 不, 技术, 后端开发, 美洽, 成都, 学历不限, 15, 成长型, 企业服务
后端开发工程师, 11, 不, 技术, 后端开发, 云景智维, 西安, 本科, 15, 初创型, 移动互联网 · 数据服务
后端开发工程师, 9, 1, 技术, 后端开发, 皆能时空, 武汉, 本科, 15, 初创型, 移动互联网
【滴滴社招】后端开发工程师, 30, 3, 技术, 后端开发, 滴滴打车, 北京, 本科, 500, 成熟型, 移动互联网
【滴滴社招】后端开发工程师, 30, 3, 技术, 后端开发, 滴滴打车, 北京, 本科, 500, 成熟型, 移动互联网
后端开发工程师, 20, 1, 技术, 后端开发, 木瓜移动, 北京, 本科, 150, 成长型, 移动互联网
后端开发工程师, 10, 1, 技术, 后端开发, 大洋信息, 广州, 本科, 150, 上市公, 移动互联网 · 电子商务
后端开发工程师, 22, 3, 技术, 后端开发, 地平线机器人, 北京, 本科, 15, 初创型, 移动互联网 · 硬件
后端开发工程师, 20, 3, 技术, 后端开发, 爱咔咔, 北京, 本科, 15, 初创型, 移动互联网 · O2O
后端开发, 8, 1, 技术, 后端开发, 软通动力信息技术有限公司, 杭州, 本科, 2000, 上市公, 企业服务
后端开发工程师（苏州）, 12, 3, 技术, 后端开发, Me Inc., 苏州, 本科, 15, 成长型, 移动互联网 · 电子商务
【滴滴】后端开发工程师, 30, 3, 技术, 后端开发, 滴滴打车, 北京, 本科, 500, 成熟型, 移动互联网
【滴滴招聘】后端开发工程师, 30, 3, 技术, 后端开发, 滴滴打车, 北京, 本科, 500, 成熟型, 移动互联网
后端开发工程师, 15, 3, 技术, 后端开发, Green Dot, 上海, 本科, 150, 上市公, 移动互联网 · 金融
后端工程师, 17, 1, 技术, 后端开发, 木瓜移动, 北京, 本科, 150, 成长型, 移动互联网
后端开发工程师, 20, 3, 技术, 后端开发, 外卖超人, 上海, 大专, 150, 成长型, 电子商务
后端工程师, 30, 1, 技术, 后端开发, 弘则研究, 上海, 本科, 15, 初创型, 移动互联网 · 金融
后端工程师, 12, 不, 技术, 后端开发, 河马牙医, 上海, 本科, 15, 初创型, 医疗健康
后端开发工程师, 20, 1, 技术, 后端开发, 进化动力, 深圳, 本科, 15, 初创型, 移动互联网
后端开发工程师, 18, 1, 技术, 后端开发, 广州创大(Inno Hub), 广州, 本科, 50, 成长型, 移动互联网 · 企业服务
后端工程师, 20, 1, 技术, 后端开发, 进化动力, 深圳, 本科, 15, 初创型, 移动互联网
后端开发工程师（实习生）, 2, 不, 技术, 后端开发, 有米科技, 广州, 本科, 150, 上市公, 移动互联网 · 广告营销
后端开发工程师, 20, 1, 技术, 后端开发, Me Inc., 上海, 大专, 15, 成长型, 移动互联网 · 电子商务
后端开发工程师（移动产品方向）, 22, 1, 技术, 后端开发, 知乎, 北京, 学历不限, 150, 成熟型, 移动互联网 · 社交网络
后端开发, 25, 5, 技术, 后端开发, 视界核心, 北京, 本科, 15, 成长型, 移动互联网 · 社交网络
后端开发工程师, 12, 1, 技术, 后端开发, 自在科技, 北京, 本科, 50, 成长型, 移动互联网 · 硬件
后端开发工程师（GO/PHP）, 30, 3, 技术, 后端开发, 滴滴打车, 北京, 本科, 500, 成熟型, 移动互联网
【滴滴打车】后端开发工程师, 30, 3, 技术, 后端开发, 滴滴打车, 北京, 本科, 500, 成熟型, 移动互联网
后端开发工程师, 20, 3, 技术, 后端开发, 外卖超人, 上海, 大专, 150, 成长型, 电子商务
后端工程师, 20, 3, 技术, 后端开发, 开拍网, 深圳, 大专, 15, 成长型, 文化娱乐 · 金融
后端开发(实习), 5, 不, 技术, 后端开发, 百词斩, 成都, 本科, 50, 成长型, 移动互联网 · 教育
后端开发（golang，c）, 20, 3, 技术, 后端开发, 哔哩哔哩, 上海, 大专, 150, 初创型, 移动互联网 · 文化娱乐
（高级）后端开发工程师（Node.js\javascript）, 20, 3, 技术, 后端开发, 一种生活, 深圳, 本科, 15, 初创型, 移动互联网 · 电子商务
后端工程师, 17, 3, 技术, 后端开发, 中交联盟, 北京, 学历不限, 15, 初创型, 移动互联网 · O2O
后端研发工程师（2016应届生）, 8, 应届毕业, 技术, 后端开发, 有米科技, 广州, 本科, 150, 上市公, 移动互联网 · 广告营销
后端开发工程师, 22, 不, 技术, 后端开发, Moka, 北京, 本科, 15, 初创型, 企业服务
后端开发专员, 6, 1, 技术, 后端开发, 奇怪果园, 上海, 本科, 50, 成长型, 移动互联网 · O2O
后端研发工程师(PHP/Python/Golang/Java/C++), 12, 1, 技术, 后端开发, 有米科技, 广州, 本科, 150, 上市公, 移动互联网 · 广告营销
网站后端开发, 9, 1, 技术, 后端开发, 黑格科技, 广州, 本科, 15, 成长型, 移动互联网 · 硬件
后端开发其它, 17, 3, 技术, 后端开发, YOHO!有货, 南京, 本科, 500, 成熟型, 电子商务 · 文化娱乐
后端开发其它, 17, 3, 技术, 后端开发, YOHO!有货, 北京, 本科, 500, 成熟型, 电子商务 · 文化娱乐
后端开发工程师, 30, 3, 技术, 后端开发, 滴滴打车, 北京, 本科, 500, 成熟型, 移动互联网
【滴滴】后端开发工程师, 30, 3, 技术, 后端开发, 滴滴打车, 北京, 本科, 500, 成熟型, 移动互联网
后端开发实习生, 3, 不, 技术, 后端开发, 海豚浏览器, 北京, 本科, 150, 成长型, 移动互联网
后端开发牛人（Java）, 30, 3, 技术, 后端开发, 微朋股神联盟, 上海, 大专, 15, 初创型, 移动互联网 · 金融
Java 技术后端开发, 12, 不, 技术, 后端开发, 尚洛科技, 杭州, 学历不限, 50, 成长型, 电子商务
web后端开发（PHP）, 9, 3, 技术, 后端开发, 春秋网络, 郑州, 大专, 50, 成长型, 移动互联网 · 游戏
Java后端开发, 22, 1, 技术, 后端开发, 联永智能, 上海, 大专, 15, 初创型, 移动互联网 · 数据服务
高级后端开发/服务器开发工程师, 22, 3, 技术, 后端开发, 触宝科技, 上海, 本科, 150, 成熟型, 移动互联网 · 数据服务
后端开发主程, 19, 3, 技术, 后端开发, QLGame, 广州, 学历不限, 15, 初创型, 游戏
PHP后端开发大牛, 22, 1, 技术, 后端开发, 学分在线, 北京, 大专, 15, 成长型, 教育
