职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
数据挖掘, 22, 3, 技术, 后端开发, 铜板街, 杭州, 学历不限, 150, 成长型, 移动互联网
数据挖掘, 30, 1, 技术, 后端开发, 房多多, 上海, 本科, 2000, 成熟型, 移动互联网 · O2O
数据挖掘, 20, 3, 技术, 后端开发, 汽车之家, 北京, 本科, 2000, 上市公, 移动互联网 · 文化娱乐
数据挖掘, 24, 3, 技术, 后端开发, 汽车之家, 北京, 本科, 2000, 上市公, 移动互联网 · 文化娱乐
数据挖掘, 15, 3, 技术, 后端开发, YOHO!有货, 南京, 本科, 500, 成熟型, 电子商务 · 文化娱乐
数据挖掘, 20, 3, 技术, 后端开发, 车商通SCRM, 深圳, 本科, 50, 成长型, 移动互联网
数据挖掘, 15, 3, 技术, 后端开发, YOHO!有货, 南京, 本科, 500, 成熟型, 电子商务 · 文化娱乐
数据挖掘, 11, 1, 技术, 后端开发, 哎吖科技, 深圳, 本科, 15, 初创型, 移动互联网 · 社交网络
数据挖掘, 20, 3, 技术, 后端开发, DataEye, 深圳, 本科, 50, 成长型, 移动互联网 · 游戏
数据挖掘, 12, 1, 技术, 后端开发, 一度用车, 北京, 本科, 50, 成长型, 移动互联网
数据挖掘工程师, 12, 1, 技术, 移动开发, 探探, 北京, 本科, 150, 成长型, 移动互联网 · 文化娱乐
数据挖掘, 22, 3, 技术, 后端开发, 房多多, 深圳, 本科, 2000, 成熟型, 移动互联网 · O2O
数据挖掘, 12, 1, 技术, 后端开发, 上海晏鼠计算机技术有限公司, 上海, 学历不限, 15, 成长型, 移动互联网 · 电子商务
数据挖掘, 30, 1, 技术, 后端开发, 滴滴打车, 北京, 本科, 500, 成熟型, 移动互联网
数据挖掘, 15, 1, 技术, 后端开发, 银创科技, 北京, 本科, 150, 初创型, 金融
数据挖掘, 25, 5, 技术, 后端开发, YOHO!有货, 南京, 本科, 500, 成熟型, 电子商务 · 文化娱乐
数据挖掘, 20, 5, 技术, 后端开发, YOHO!有货, 南京, 本科, 500, 成熟型, 电子商务 · 文化娱乐
数据挖掘, 11, 不, 技术, 后端开发, 华生恒业, 北京, 本科, 50, 成长型, 医疗健康 · 移动互联网
数据挖掘, 12, 1, 技术, 后端开发, Demo++, 西安, 本科, 15, 初创型, 移动互联网
数据挖掘, 30, 3, 技术, 后端开发, 用友IUAP, 北京, 本科, 2000, 上市公, 移动互联网 · 数据服务
数据挖掘, 8, 1, 技术, 后端开发, 读书郎, 中山, 本科, 500, 成熟型, 移动互联网
