职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
WP, 12, 不, 技术, 移动开发, 宽土猫, 合肥, 本科, 15, 初创型, 移动互联网
WP, 20, 3, 技术, 移动开发, 爱奇艺, 北京, 本科, 2000, 成熟型, 广告营销 · 文化娱乐
WP, 15, 1, 技术, 移动开发, 东方财富, 上海, 本科, 500, 上市公, 金融
WP, 15, 1, 技术, 移动开发, 就医160, 深圳, 本科, 500, 成熟型, 移动互联网
WP, 4, 1, 技术, 移动开发, 中国知网, 西安, 本科, 2000, 初创型, 移动互联网 · 数据服务
WP开发工程师, 10, 1, 技术, 移动开发, 杭州图达, 杭州, 本科, 15, 初创型, 移动互联网 · 电子商务
WinPhone开发工程师, 9, 不, 技术, 前端开发, 糖果网络, 长沙, 大专, 15, 初创型, 移动互联网
WP, 12, 1, 技术, 移动开发, 微疯客, 北京, 本科, 15, 初创型, 移动互联网
WP软件开发工程师, 13, 1, 技术, 移动开发, 七巧板, 杭州, 本科, 50, 成长型, 移动互联网 · 数据服务
WinPhone开发实习生, 4, 不, 技术, 前端开发, 糖果网络, 长沙, 大专, 15, 初创型, 移动互联网
WP开发工程师, 6, 1, 技术, 移动开发, 济南掌游, 济南, 大专, 50, 初创型, 移动互联网
WP开发工程师, 11, 不, 技术, 移动开发, 大彩网 dacai.com, 杭州, 本科, 50, 成长型, 移动互联网 · 电子商务
WP开发工程师, 20, 不, 技术, 移动开发, 易思卓, 北京, 本科, 15, 初创型, 移动互联网 · 社交网络
WP高级开发工程师, 15, 1, 技术, 移动开发, 今目标, 北京, 本科, 150, 成长型, 移动互联网 · 企业服务
iOS&amp;winPhone高级研发工程师, 15, 3, 技术, 移动开发, 茄子快传, 北京, 本科, 50, 成长型, 移动互联网
WP手机软件研发工程师, 10, 1, 技术, 移动开发, 融易通, 北京, 大专, 150, 初创型, 移动互联网
Cocos2dx手机游戏WindowsPhone平台开发工程师, 15, 1, 技术, 前端开发, 必果互动, 北京, 大专, 15, 初创型, 游戏
Windows开发工程师 WP/ C#/WPF/Silverlight软件工程师, 9, 1, 技术, 移动开发, 上海移品信息技术有限公司, 上海, 本科, 50, 成长型, 移动互联网 · 企业服务
