职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
移动开发（phonegap）, 15, 1, 技术, 移动开发, 诸葛理财, 北京, 本科, 50, 成长型, 金融
移动开发, 6, 3, 技术, 移动开发, 迪迪网络科技, 青岛, 大专, 15, 初创型, 移动互联网
移动开发, 12, 应届毕业, 技术, 移动开发, OneAPM 蓝海讯通, 北京, 本科, 150, 成熟型, 企业服务 · 数据服务
移动开发工程师, 15, 3, 技术, 移动开发, 京东金融, 北京, 本科, 2000, 上市公, 金融
移动开发工程师, 12, 3, 技术, 移动开发, Wisdom Garden, 西安, 学历不限, 50, 成长型, 教育
移动开发工程师, 6, 不, 技术, 移动开发, T社, 厦门, 学历不限, 15, 初创型, 移动互联网 · 电子商务
测试移动开发, 12, 1, 技术, 移动开发, 双志科技, 北京, 本科, 50, 初创型, 移动互联网 · 数据服务
移动开发负责人, 32, 3, 技术, 移动开发, e袋洗, 北京, 本科, 500, 成长型, O2O
移动开发工程师（android）, 17, 3, 技术, 移动开发, 神工, 北京, 本科, 150, 成长型, 移动互联网 · 电子商务
移动开发工程师（android）, 12, 3, 技术, 移动开发, 嘉琪科技, 北京, 本科, 50, 成长型, 移动互联网 · 电子商务
移动开发工程师, 7, 1, 技术, 移动开发, 广东飞企互联科技股份有限公司, 深圳, 学历不限, 500, 上市公, 移动互联网
移动开发工程师(iOS), 22, 5, 技术, 移动开发, 千丁互联, 深圳, 本科, 150, 成长型, O2O
高级移动开发工程师, 14, 3, 技术, 移动开发, 招商信诺人寿保险有限公司, 深圳, 本科, 2000, 成熟型, 金融
移动开发工程师（IOS/ Android）, 11, 3, 技术, 移动开发, 云创, 武汉, 本科, 15, 成长型, 移动互联网
移动开发测试工程师, 12, 3, 技术, 移动开发, Dilato, 北京, 本科, 150, 成长型, 移动互联网 · 数据服务
移动开发其它, 15, 1, 技术, 移动开发, 句多网络, 上海, 大专, 15, 初创型, 游戏
移动开发其它, 12, 1, 技术, 移动开发, 瞬联软件科技（北京）有限公司, 上海, 大专, 2000, 成熟型, 移动互联网  · 企业服务
移动开发工程师（Android/IOS）, 14, 3, 技术, 移动开发, 唯绿网, 上海, 本科, 15, 初创型, 移动互联网 · 电子商务
移动开发其它, 15, 3, 技术, 移动开发, Pactera, 上海, 本科, 2000, 上市公, 金融
移动开发Leader, 35, 5, 技术, 移动开发, 弥财, 北京, 本科, 15, 初创型, 金融
移动开发其它, 20, 3, 技术, 移动开发, 珠海筑巢, 珠海, 本科, 15, 初创型, 移动互联网 · 电子商务
移动开发组组长, 21, 3, 技术, 移动开发, 云之星, 深圳, 本科, 50, 成长型, 移动互联网 · 电子商务
移动开发其它, 6, 不, 技术, 移动开发, 魔镜, 深圳, 学历不限, 15, 初创型, 硬件 · 其他
移动开发测试工程师, 13, 3, 技术, 移动开发, Dilato, 北京, 本科, 150, 成长型, 移动互联网 · 数据服务
移动开发其它, 15, 3, 技术, 移动开发, 爱贷网, 杭州, 大专, 150, 初创型, 金融
移动开发其它, 21, 5, 技术, 移动开发, 苏宁云商, 南京, 本科, 2000, 上市公, O2O
资深移动开发工程师, 40, 3, 技术, 移动开发, 知名互联网金融公司, 北京, 本科, 500, 成熟型, 移动互联网
