职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
IDC, 15, 1, 技术, 运维, 人人行, 北京, 本科, 500, 成熟型, 移动互联网 · 金融
IDC, 10, 1, 技术, 运维, 网金控股, 广州, 大专, 150, 成长型, 移动互联网 · 金融
IDC, 4, 不, 技术, 运维, 软通技术服务有限公司, 上海, 学历不限, 2000, 上市公, 移动互联网 · 招聘
IDC, 4, 不, 技术, 运维, 软通技术服务有限公司, 上海, 学历不限, 2000, 上市公, 移动互联网 · 招聘
IDC, 9, 1, 技术, 运维, 北斗海聊, 广州, 大专, 15, 成长型, 移动互联网
IDC, 11, 不, 技术, 运维, 马上金融, 重庆, 大专, 150, 成长型, 金融
IDC, 19, 3, 技术, 运维, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
IDC, 4, 1, 技术, 运维, 中电科, 南京, 大专, 150, 初创型, 其他
IDC, 3, 不, 技术, 运维, 上海共创, 上海, 学历不限, 150, 上市公, 移动互联网
IDC工程师, 12, 3, 技术, 运维, 汽车之家, 北京, 学历不限, 2000, 上市公, 移动互联网 · 文化娱乐
IDC工程师, 7, 1, 技术, 运维, 世纪天成, 上海, 大专, 500, 初创型, 移动互联网 · 游戏
IDC, 4, 1, 技术, 运维, 易凯联讯, 北京, 大专, 50, 成长型, 企业服务
IDC, 5, 1, 技术, 运维, 同方鼎欣, 北京, 大专, 500, 上市公, 移动互联网
IDC运维经理, 6, 1, 技术, 运维, 共享时尚, 北京, 本科, 15, 初创型, 移动互联网 · O2O
IDC工程师, 15, 3, 技术, 运维, 品骏, 肇庆, 本科, 2000, 上市公, 移动互联网 · 电子商务
IDC运维工程师, 4, 1, 技术, 运维, 全时, 北京, 大专, 500, 成熟型, 移动互联网 · 企业服务
IDC运维工程师, 4, 不, 技术, 运维, 帝联科技, 广州, 学历不限, 500, 成熟型, 移动互联网
IDC运营经理/拓展主管（成都）, 15, 5, 市场与销售, 公关, UCloud, 成都, 本科, 500, 成熟型, 数据服务
IDC运营经理/拓展主管, 15, 5, 市场与销售, 公关, UCloud, 上海, 本科, 500, 成熟型, 数据服务
IDC运维工程师, 8, 1, 技术, 运维, 搜房网, 北京, 本科, 2000, 上市公, 生活服务
销售代表（IDC业务）, 5, 1, 市场与销售, 销售, 互联通, 北京, 大专, 150, 成长型, 移动互联网
IDC运维工程师, 9, 3, 技术, 运维, 智享达, 广州, 本科, 15, 初创型, 企业服务 · 其他
（IDC）机房运维工程师, 6, 1, 技术, 运维, 伟东云教育, 青岛, 本科, 500, 成熟型, 移动互联网 · 教育
运维工程师（IDC）, 6, 1, 技术, 运维, 网鼎科技, 杭州, 本科, 15, 初创型, 移动互联网 · 数据服务
IDC现场运维工程师, 15, 不, 技术, 运维, 洋码头, 上海, 学历不限, 150, 成长型, 移动互联网 · 电子商务
急聘IDC客服（工程师）, 4, 1, 运营, 客服, 犀思云, 北京, 学历不限, 50, 初创型, 移动互联网 · 数据服务
运维工程师（IDC）, 5, 不, 技术, 运维, 中嘉和信, 北京, 大专, 50, 初创型, 数据服务
IDC机房运维工程师, 5, 不, 技术, 运维, 上海世纪互联, 上海, 大专, 50, 成长型, 数据服务
运营总监（IDC事业部）, 2, 3, 技术, 运维, 力创科技, 贵阳, 本科, 15, 初创型, 移动互联网 · 数据服务
IDC运维工程师（顺德驻点）, 3, 1年以, 技术, 运维, 帝联科技, 广州, 大专, 500, 成熟型, 移动互联网
IDC运营经理/拓展主管（广州）, 15, 3, 市场与销售, 公关, UCloud, 广州, 本科, 500, 成熟型, 数据服务
IDC运维经理（北京）, 15, 5, 技术, 运维, UCloud, 北京, 本科, 500, 成熟型, 数据服务
IDC销售专员, 6, 1, 市场与销售, 销售, 上海世纪互联, 上海, 大专, 50, 成长型, 数据服务
IDC 弱电工程师, 12, 3, 技术, 运维, Nesun, 深圳, 大专, 150, 成长型, 电子商务 · 信息安全
IDC监控工程师, 4, 不, 技术, 运维, 志鸿科技, 北京, 学历不限, 150, 成长型, 其他
IDC运维工程师, 15, 3, 技术, 运维, 英富森, 北京, 大专, 2000, 初创型, 移动互联网 · 电子商务
IDC基础设施运维工程师, 15, 1, 技术, 运维, 金山云, 北京, 本科, 150, 成长型, 移动互联网 · 数据服务
IDC销售总监, 7, 3, 市场与销售, 销售, 易和星云, 北京, 大专, 15, 初创型, 数据服务
【IDC】运维经理, 11, 3, 技术, 项目管理, 金石, 北京, 本科, 150, 成长型, 企业服务
IDC 布线工程师, 9, 3, 技术, 运维, 世纪互联, 北京, 大专, 2000, 上市公, 移动互联网 · 数据服务
IDC运维助理, 4, 应届毕业, 技术, 运维, 共享时尚, 北京, 大专, 15, 初创型, 移动互联网 · O2O
IDC销售专员, 6, 不, 市场与销售, 销售, 五五二五科技有限公司, 长沙, 学历不限, 15, 初创型, 数据服务
IDC售前工程师, 13, 不, 技术, 项目管理, 有孚计算机网络, 上海, 大专, 150, 成熟型, 移动互联网 · 数据服务
IDC基础运维, 4, 不, 技术, 运维, 金石, 宁波, 大专, 150, 成长型, 企业服务
IDC数据中心工程师（机房管理）, 15, 不, 技术, 运维, 杭州知豆智信中心, 宁波, 学历不限, 500, 初创型, 移动互联网 · 数据服务
IDC运营经理/拓展主管（北京）, 15, 5, 市场与销售, 公关, UCloud, 北京, 本科, 500, 成熟型, 数据服务
IDC机房维护工程师, 4, 应届毕业, 技术, 运维, 网鼎科技, 湖州, 学历不限, 15, 初创型, 移动互联网 · 数据服务
IDC销售工程师, 4, 1, 市场与销售, 销售, 九河互联, 深圳, 大专, 50, 初创型, 数据服务 · 硬件
IDC资源拓展经理, 9, 3, 运营, 运营, 51IDC, 上海, 本科, 150, 上市公, 电子商务 · 数据服务
IDC数据中心运营经理, 8, 1, 运营, 运营, 赞普科技, 天津, 本科, 150, 上市公, 移动互联网 · 数据服务
IDC中级网络工程师(001197), 12, 不, 技术, 运维, 斐讯数据通信, 北京, 本科, 2000, 成熟型, 数据服务 · 硬件
