职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
IT支持, 6, 1, 技术, 运维, 湖南中清龙图, 长沙, 大专, 500, 成长型, 移动互联网 · 游戏
IT支持, 10, 1, 技术, 运维, 人人行, 北京, 本科, 500, 成熟型, 移动互联网 · 金融
IT支持, 5, 1, 技术, 运维, 全程电子商务, 上海, 本科, 150, 成长型, 企业服务 · O2O
IT支持, 9, 1, 技术, 运维, 微盟, 上海, 大专, 500, 成熟型, 移动互联网 · 电子商务
IT支持, 6, 1, 技术, 运维, POP时尚网络机构, 上海, 学历不限, 500, 成长型, 移动互联网 · 电子商务
IT支持, 7, 1, 技术, 运维, GoerTek, 潍坊, 本科, 2000, 上市公, 硬件 · 文化娱乐
IT支持, 6, 1, 技术, 运维, IVT, 厦门, 本科, 150, 成长型, 移动互联网
IT支持, 6, 1, 技术, 运维, IVT, 南昌, 本科, 150, 成长型, 移动互联网
IT支持, 7, 不, 技术, 运维, 文思海辉, 无锡, 本科, 2000, 成熟型, 移动互联网 · 企业服务
IT支持, 9, 1, 技术, 运维, 云鸟科技, 北京, 大专, 150, 成长型, 移动互联网 · O2O
IT支持, 4, 应届毕业, 技术, 运维, 美科科技, 杭州, 大专, 15, 初创型, 移动互联网
IT支持, 5, 1, 技术, 运维, 甭纠结, 上海, 学历不限, 15, 成长型, 移动互联网 · 社交网络
IT支持, 9, 1, 技术, 运维, 北斗海聊, 广州, 大专, 15, 成长型, 移动互联网
IT支持, 3, 不, 技术, 运维, 直信创邺, 天津, 大专, 500, 成熟型, 企业服务 · 硬件
IT支持, 6, 1, 技术, 运维, 仁心医生, 上海, 大专, 15, 成长型, 移动互联网 · 医疗健康
IT支持, 4, 1, 技术, 运维, IVT, 柳州, 本科, 150, 成长型, 移动互联网
IT支持, 5, 1, 技术, 运维, IVT, 广州, 本科, 150, 成长型, 移动互联网
IT支持, 4, 1年以, 技术, 运维, 中科软, 广州, 大专, 2000, 上市公, 金融
IT支持, 5, 1, 技术, 运维, 米信, 深圳, 大专, 15, 成长型, 移动互联网 · 社交网络
IT支持, 4, 不, 技术, 运维, 盈动天下, 东莞, 学历不限, 15, 初创型, 移动互联网
IT支持, 15, 3, 技术, 运维, 你有药, 上海, 本科, 15, 成长型, 移动互联网 · 医疗健康
IT支持, 9, 1, 技术, 运维, 中科方德软件有限公司, 北京, 大专, 500, 成熟型, 移动互联网 · 企业服务
IT支持, 2, 不, 技术, 运维, 直信创邺, 上海, 学历不限, 500, 成熟型, 企业服务 · 硬件
IT支持, 7, 1, 技术, 运维, 维世达胜凯, 深圳, 大专, 150, 成熟型, 移动互联网 · 医疗健康
IT支持, 7, 1, 技术, 运维, 维信理财, 上海, 大专, 2000, 成熟型, 金融
IT支持, 5, 1, 技术, 运维, 直信创邺, 上海, 大专, 500, 成熟型, 企业服务 · 硬件
IT支持, 9, 3, 技术, 运维, 陌陌, 北京, 大专, 150, 上市公, 社交网络
IT支持, 6, 1, 技术, 运维, 天源迪科, 珠海, 大专, 2000, 上市公, 移动互联网  · 电子商务
IT支持, 8, 1, 技术, 运维, YOHO!有货, 上海, 本科, 500, 成熟型, 电子商务 · 文化娱乐
IT支持, 3, 不, 技术, 运维, 酱游网, 广州, 学历不限, 15, 初创型, 旅游
IT支持, 4, 1, 技术, 运维, 斗鱼TV, 武汉, 大专, 150, 成长型, 移动互联网
IT支持, 4, 1, 技术, 运维, 讯杰科技, 上海, 学历不限, 50, 成熟型, 电子商务 · 数据服务
IT支持, 10, 不, 技术, 运维, 网易, 杭州, 学历不限, 2000, 上市公, 移动互联网 · 游戏
IT支持, 5, 1年以, 技术, 运维, 通动力成立于2001年，现已发展成为领先的、全方位IT服务及行业解决方案提供商, 苏州, 本科, 2000, 上市公, 企业服务
IT支持, 6, 1, 技术, 运维, 微吼, 广州, 本科, 50, 成长型, 移动互联网 · 数据服务
IT支持, 17, 3, 技术, 运维, 晓通网络, 上海, 大专, 500, 成熟型, 硬件
