职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
系统管理员, 22, 3, 技术, 运维, 指旺科技, 上海, 大专, 2000, 成熟型, 金融
系统管理员, 15, 3, 技术, 运维, 买单侠, 上海, 本科, 150, 成长型, 金融
系统管理员, 15, 3, 技术, 运维, 红岭创投, 深圳, 大专, 2000, 上市公, 移动互联网 · 金融
系统管理员, 10, 3, 技术, 运维, NTT Data China, 北京, 本科, 2000, 上市公, 企业服务
系统管理员, 7, 1, 技术, 运维, 玖富网, 北京, 本科, 500, 成熟型, 金融
系统管理员, 3, 不, 技术, 运维, 安图特, 天津, 学历不限, 150, 成长型, 硬件
系统管理员, 15, 1, 技术, 运维, CSC, 上海, 本科, 500, 上市公, 电子商务
系统管理员, 6, 1, 技术, 运维, 赛德盛, 北京, 大专, 150, 初创型, 医疗健康
系统管理员, 11, 1, 技术, 运维, 联塑集团, 佛山, 大专, 2000, 上市公, 生活服务
系统管理员, 7, 1, 技术, 运维, 国泰思科THINK CHINA, 青岛, 本科, 50, 初创型, 移动互联网 · 电子商务
系统管理员, 4, 不, 技术, 运维, 品尚红酒, 深圳, 大专, 150, 上市公, 移动互联网 · 电子商务
系统管理员, 12, 1, 技术, 运维, 金棕榈, 上海, 大专, 50, 成长型, 移动互联网 · 数据服务
系统管理员, 5, 不, 技术, 运维, 盈动天下, 东莞, 大专, 15, 初创型, 移动互联网
系统管理员, 7, 不, 技术, 运维, 温金中心, 杭州, 本科, 50, 成长型, 金融
系统管理员, 2, 不, 技术, 运维, 永安信（忻州）基金, 忻州, 大专, 15, 初创型, 金融
系统管理员, 5, 3, 技术, 运维, 万利斯电子, 上海, 大专, 15, 初创型, 电子商务 · 数据服务
系统管理员, 15, 3, 技术, 运维, 厚本金融, 上海, 本科, 500, 成长型, 金融
系统管理员, 11, 1, 技术, 运维, 远成, 上海, 大专, 2000, 成熟型, 电子商务 · 企业服务
系统管理员, 6, 3, 技术, 运维, 极鲜网, 上海, 本科, 50, 成长型, 移动互联网 · 电子商务
系统管理员, 11, 1, 技术, 运维, 彩讯科技, 深圳, 本科, 500, 成熟型, 移动互联网 · 生活服务
系统管理员, 8, 1, 技术, 运维, 投壹点, 苏州, 本科, 15, 初创型, 移动互联网 · 金融
系统管理员, 5, 1, 技术, 运维, 吾界, 郑州, 本科, 50, 初创型, 电子商务 · 金融
系统管理员, 15, 3, 技术, 运维, 乡邻小站, 上海, 大专, 150, 成长型, 电子商务 · 金融
系统管理员, 5, 3, 技术, 运维, 瑞驰电商, 广州, 大专, 50, 成长型, 电子商务 · 数据服务
系统管理员, 10, 1, 技术, 运维, 北京云图微动科技有限公司, 北京, 大专, 50, 成长型, 移动互联网 · 广告营销
系统管理员, 4, 1, 技术, 运维, 能翼, 上海, 本科, 15, 初创型, 硬件 · 其他
系统管理员, 7, 1, 技术, 运维, CAAD中估联行数据中心, 上海, 大专, 50, 成长型, 移动互联网 · 数据服务
系统管理员, 8, 1, 技术, 运维, 欧浦钢网, 佛山, 大专, 500, 上市公, 电子商务
系统管理员, 11, 1, 技术, 运维, 核聚集团, 上海, 大专, 50, 成长型, 金融
系统管理员, 12, 1, 技术, 运维, 石投金融, 上海, 本科, 15, 成长型, 金融
系统管理员, 4, 1, 技术, 运维, 贵州贵茶, 贵阳, 本科, 500, 成长型, 电子商务
