职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
系统工程师, 20, 5, 技术, 运维, 易橙天下, 上海, 本科, 50, 成长型, 移动互联网 · 文化娱乐
系统工程师, 19, 3, 技术, 运维, 易橙天下, 上海, 本科, 50, 成长型, 移动互联网 · 文化娱乐
系统工程师, 18, 5, 技术, 运维, 北京捷越联合, 北京, 大专, 2000, 成熟型, 金融
系统工程师, 22, 3, 技术, 运维, 知趣, 上海, 大专, 500, 成熟型, 移动互联网 · 电子商务
系统工程师, 9, 1, 技术, 运维, 百富, 杭州, 本科, 500, 上市公, 移动互联网
系统工程师, 8, 5, 技术, 运维, 国邦, 东莞, 本科, 2000, 成熟型, 移动互联网 · O2O
系统工程师, 6, 不, 技术, 运维, 沪江, 上海, 本科, 500, 成熟型, 移动互联网 · 教育
系统工程师, 10, 1, 技术, 运维, 网金控股, 广州, 大专, 150, 成长型, 移动互联网 · 金融
系统工程师, 7, 3, 技术, 运维, 民生电商, 成都, 本科, 500, 上市公, 电子商务 · O2O
系统工程师, 6, 3, 技术, 运维, 广州中软, 海口, 大专, 150, 成长型, 数据服务 · 硬件
系统工程师, 18, 3, 技术, 运维, Green Dot, 上海, 大专, 150, 上市公, 移动互联网 · 金融
系统工程师, 4, 1, 技术, 运维, 纷享销客东莞营销中心, 东莞, 大专, 50, 成熟型, 移动互联网 · 企业服务
系统工程师, 5, 1, 技术, 运维, 广州中软, 深圳, 大专, 150, 成长型, 数据服务 · 硬件
系统工程师, 6, 1, 技术, 运维, 创业伞, 上海, 大专, 15, 初创型, 企业服务 · O2O
系统工程师, 6, 1, 技术, 运维, 卡拉卡尔, 昆明, 学历不限, 50, 初创型, 数据服务 · 文化娱乐
系统工程师, 5, 1, 技术, 运维, 广州中软, 广州, 大专, 150, 成长型, 数据服务 · 硬件
系统工程师, 3, 不, 技术, 运维, 龙存科技, 苏州, 本科, 50, 成长型, 数据服务
系统工程师, 6, 3, 技术, 运维, 伟东云教育, 青岛, 本科, 500, 成熟型, 移动互联网 · 教育
系统工程师, 19, 3, 技术, 运维, e享天开, 上海, 本科, 50, 成长型, 移动互联网 · 生活服务
系统工程师, 12, 3, 技术, 运维, 夸客金融, 上海, 大专, 2000, 成长型, O2O · 金融
系统工程师, 7, 1, 技术, 运维, 华夏快线, 北京, 大专, 50, 成长型, 生活服务 · 数据服务
系统工程师（Linux）, 15, 5, 技术, 运维, 齐家网, 上海, 学历不限, 2000, 成熟型, O2O  · 生活服务
系统工程师, 6, 5, 技术, 运维, 武汉中科通达, 武汉, 本科, 150, 上市公, 移动互联网 · 数据服务
系统工程师, 9, 3, 技术, 运维, 维信理财, 上海, 大专, 2000, 成熟型, 金融
系统工程师, 18, 1, 技术, 运维, 东方明珠新媒体, 上海, 本科, 500, 上市公, 移动互联网 · 游戏
系统工程师, 6, 不, 技术, 运维, 无为广域, 武汉, 大专, 50, 成长型, 硬件 · 数据服务
系统工程师, 6, 不, 技术, 运维, 无为广域, 武汉, 大专, 50, 成长型, 硬件 · 数据服务
系统工程师, 5, 1年以, 技术, 运维, 通动力成立于2001年，现已发展成为领先的、全方位IT服务及行业解决方案提供商, 廊坊, 大专, 2000, 上市公, 企业服务
系统工程师, 10, 3, 技术, 运维, 绎盛谷, 杭州, 大专, 50, 成长型, 医疗健康
系统工程师, 7, 1, 技术, 运维, 万科物业, 深圳, 本科, 2000, 成熟型, O2O · 生活服务
系统工程师, 7, 1, 技术, 运维, 天津网络广播电视台, 天津, 本科, 150, 成长型, 文化娱乐 · 移动互联网
系统工程师, 5, 1, 技术, 运维, 天华传媒, 深圳, 大专, 150, 初创型, 文化娱乐
系统工程师, 11, 1, 技术, 运维, 迪安诊断, 杭州, 大专, 2000, 上市公, 医疗健康
系统工程师, 9, 1, 技术, 运维, arvato China, 上海, 学历不限, 2000, 成熟型, 广告营销 · 数据服务
系统工程师, 4, 1, 技术, 运维, 盈展信息, 福州, 大专, 50, 初创型, 移动互联网 · 企业服务
系统工程师, 12, 1, 技术, 运维, 统统付, 杭州, 本科, 150, 成长型, 移动互联网 · 电子商务
系统工程师, 5, 不, 技术, 运维, 江西华邦, 南昌, 大专, 500, 成长型, 电子商务 · 企业服务
系统工程师, 15, 1, 技术, 运维, 雷猴软件开发有限公司, 广州, 大专, 50, 成长型, 移动互联网
系统工程师, 8, 1, 技术, 运维, 博宏信息, 广州, 学历不限, 150, 初创型, 金融 · 数据服务
系统工程师, 4, 1, 技术, 运维, 易通科技, 武汉, 大专, 50, 初创型, 信息安全 · 数据服务
系统工程师, 7, 1, 技术, 运维, camelot, 上海, 学历不限, 2000, 上市公, 企业服务 · 其他
系统工程师, 22, 3, 技术, 运维, 京东金融, 北京, 本科, 2000, 上市公, 金融
系统工程师, 9, 3, 技术, 运维, 欧菲光科技有限公司, 南昌, 本科, 2000, 上市公, 电子商务
系统工程师, 13, 1, 技术, 运维, Vobile, 杭州, 学历不限, 150, 成熟型, 移动互联网
系统工程师, 11, 1, 技术, 运维, MOLBASE, 上海, 大专, 150, 成熟型, 电子商务
系统工程师, 12, 3, 技术, 运维, 悟空找房, 上海, 本科, 150, 成长型, 移动互联网 · O2O
系统工程师, 12, 3, 技术, 运维, 汇付金融, 上海, 本科, 150, 初创型, 移动互联网 · 金融
系统工程师, 10, 1, 技术, 运维, Logic solutions, 上海, 大专, 50, 成长型, 移动互联网
系统工程师, 13, 1, 技术, 运维, 叮叮功课, 广州, 大专, 50, 初创型, O2O
系统工程师（部署工程师）, 8, 不, 技术, 运维, 捷通华声, 北京, 本科, 150, 成熟型, 移动互联网 · 数据服务
系统工程师, 15, 1, 技术, 运维, UCloud, 上海, 本科, 500, 成熟型, 数据服务
系统工程师（数据库DBA方向）, 20, 3, 技术, 运维, 证通股份, 上海, 本科, 150, 成长型, 移动互联网 · 金融
系统工程师, 10, 3, 技术, 运维, 云帆世纪, 深圳, 大专, 50, 成长型, 数据服务
系统工程师, 6, 不, 技术, 运维, 杰之能, 北京, 本科, 500, 初创型, 数据服务
系统工程师, 5, 不, 技术, 运维, 盘古餐饮, 上海, 大专, 2000, 成熟型, 生活服务
系统工程师, 6, 1, 技术, 运维, 三汇, 南京, 大专, 2000, 成熟型, 金融 · 其他
系统工程师, 16, 1, 技术, 运维, 泰金所, 上海, 本科, 50, 成长型, 移动互联网 · 金融
系统工程师, 12, 3, 技术, 运维, 申通快递, 上海, 大专, 2000, 成熟型, 生活服务
系统工程师, 20, 3, 技术, 运维, 网信集团, 北京, 本科, 2000, 成长型, 金融
系统工程师, 10, 1, 技术, 运维, 阿拉软件, 杭州, 本科, 500, 上市公, 移动互联网 · 电子商务
系统工程师, 21, 5, 技术, 运维, 巴颜喀拉, 上海, 本科, 150, 初创型, 移动互联网 · 医疗健康
系统工程师, 11, 1, 技术, 运维, 讴鹏OPEN-, 上海, 大专, 50, 成长型, 企业服务
系统工程师, 12, 3, 技术, 运维, 一彩票, 广州, 大专, 50, 初创型, 移动互联网 · 电子商务
系统工程师, 7, 3, 技术, 运维, 慧科讯业, 上海, 大专, 50, 初创型, 移动互联网
系统工程师, 15, 3, 技术, 运维, CSC, 上海, 本科, 500, 上市公, 电子商务
系统工程师, 11, 3, 技术, 运维, 晓通网络, 北京, 学历不限, 500, 成熟型, 硬件
系统工程师, 5, 不, 技术, 运维, 龙存科技, 北京, 本科, 50, 成长型, 数据服务
系统工程师, 10, 1, 技术, 运维, 软通动力, 北京, 本科, 2000, 上市公, 移动互联网 · 企业服务
系统工程师, 4, 1, 技术, 运维, 辽宁众信, 沈阳, 大专, 50, 初创型, 移动互联网
系统工程师, 30, 1, 技术, 运维, 美团网, 北京, 本科, 2000, 成熟型, 电子商务 · O2O
系统工程师, 30, 1, 技术, 运维, 美团网, 北京, 本科, 2000, 成熟型, 电子商务 · O2O
系统工程师, 8, 3, 技术, 运维, 湖南金特尔信息技术有限公司, 长沙, 大专, 50, 成长型, 医疗健康 · 数据服务
系统工程师, 5, 不, 技术, 运维, 上海共创, 上海, 大专, 150, 上市公, 移动互联网
系统工程师, 12, 3, 技术, 运维, 美特斯邦威, 上海, 本科, 2000, 上市公, 电子商务 · O2O
系统工程师, 12, 1, 技术, 运维, 众荟技术—慧评事业部, 北京, 本科, 500, 成长型, 旅游 · 数据服务
系统工程师, 15, 1, 技术, 运维, 章鱼TV, 北京, 本科, 150, 成熟型, 移动互联网
系统工程师（云平台运维）, 20, 3, 技术, 运维, 证通股份, 上海, 本科, 150, 成长型, 移动互联网 · 金融
系统工程师, 10, 3, 技术, 运维, 中金支付有限公司, 北京, 本科, 150, 成长型, 移动互联网
系统工程师, 12, 1, 技术, 运维, 阿拉丁云计算, 杭州, 本科, 500, 上市公, 信息安全 · 数据服务
系统工程师, 11, 3, 技术, 运维, 彩讯科技, 深圳, 本科, 500, 成熟型, 移动互联网 · 生活服务
系统工程师, 15, 3, 技术, 运维, 云络网络科技, 上海, 大专, 50, 成长型, 移动互联网 · 数据服务
系统工程师, 10, 1, 技术, 运维, 中投全球, 北京, 大专, 500, 成熟型, 金融
系统工程师, 16, 3, 技术, 运维, 宜信公司, 北京, 本科, 2000, 成熟型, 移动互联网 · 金融
系统工程师, 6, 1, 技术, 运维, 中软国际, 广州, 大专, 500, 成熟型, 移动互联网
系统工程师, 6, 1, 技术, 运维, 启利网, 郑州, 大专, 150, 初创型, 金融 · O2O
