职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
COO, 32, 5, 运营, 高端运营职位, 大象科技, 广州, 本科, 50, 成长型, 移动互联网
COO, 30, 5, 运营, 高端运营职位, 杏树林, 北京, 本科, 150, 成长型, 移动互联网 · 医疗健康
首席运营官, 30, 5, 运营, 高端运营职位, 煜隆集团, 深圳, 本科, 150, 成长型, O2O · 金融
COO, 20, 3, 运营, 高端运营职位, 哪个班, 杭州, 本科, 15, 成长型, 移动互联网 · O2O
COO, 10, 3, 运营, 高端运营职位, 聚美妈妈, 成都, 学历不限, 15, 初创型, 移动互联网 · 教育
COO, 35, 5, 运营, 高端运营职位, 前海产业, 深圳, 大专, 50, 初创型, 电子商务 · 金融
COO, 95, 10年以, 运营, 高端运营职位, 银信网银, 深圳, 本科, 150, 成熟型, 金融
COO, 12, 3, 运营, 高端运营职位, 52校园, 郑州, 大专, 50, 成长型, 电子商务 · 金融
COO, 32, 5, 运营, 高端运营职位, 行想科技, 上海, 本科, 15, 初创型, 社交网络 · O2O
COO, 45, 5, 运营, 高端运营职位, 全民贷, 上海, 本科, 15, 成长型, 移动互联网 · 金融
COO 首席运营官, 7, 3, 运营, 高端运营职位, 聚土网, 重庆, 大专, 15, 成长型, 金融
首席运营官, 20, 10年以, 职能, 高端职能职位, 中财金润集团, 北京, 硕士, 50, 成长型, 移动互联网 · 医疗健康
COO, 40, 5, 运营, 高端运营职位, 浙江聚有财, 杭州, 本科, 50, 初创型, 金融
COO, 17, 3, 运营, 高端运营职位, OUTMAN淘汰郎, 北京, 学历不限, 50, 初创型, 移动互联网 · O2O
COO, 57, 5, 运营, 高端运营职位, 全民贷, 上海, 本科, 15, 成长型, 移动互联网 · 金融
COO首席运营官, 27, 5, 运营, 高端运营职位, 深圳市保利物业管理集团有限公司, 深圳, 本科, 2000, 成熟型, 电子商务 · 生活服务
COO, 12, 3, 运营, 高端运营职位, 五二科技, 郑州, 大专, 150, 成长型, 移动互联网 · 金融
COO, 40, 5, 运营, 高端运营职位, 全民贷, 上海, 本科, 15, 成长型, 移动互联网 · 金融
COO, 90, 5, 运营, 高端运营职位, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
首席运营官, 12, 5, 运营, 运营, 卓飞科技, 重庆, 本科, 15, 初创型, 移动互联网 · O2O
COO, 35, 5, 运营, 高端运营职位, 南极人, 上海, 大专, 150, 上市公, 电子商务 · O2O
