职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
主编, 30, 3, 运营, 编辑, 探探, 北京, 本科, 150, 成长型, 移动互联网 · 文化娱乐
主编, 11, 3, 运营, 高端运营职位, 易保利, 深圳, 本科, 50, 成长型, 金融
主编, 22, 5, 运营, 高端运营职位, 阅读星 - 掌上个性化阅读必备, 杭州, 大专, 50, 成长型, 移动互联网 · 教育
主编, 17, 3, 运营, 运营, 立达方胜, 北京, 大专, 50, 成长型, 移动互联网
主编, 12, 3, 运营, 高端运营职位, 爱云动, 北京, 本科, 15, 成长型, 移动互联网
主编, 27, 5, 运营, 高端运营职位, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
主编, 15, 1, 运营, 高端运营职位, 摩天体育, 深圳, 大专, 15, 初创型, 移动互联网
主编, 14, 5, 运营, 编辑, 派代网, 广州, 本科, 50, 成长型, 移动互联网 · 电子商务
主编, 16, 3, 运营, 高端运营职位, 全民贷, 上海, 本科, 15, 成长型, 移动互联网 · 金融
主编, 15, 不, 运营, 高端运营职位, 上海头条, 上海, 本科, 15, 初创型, 移动互联网 · 广告营销
主编, 12, 1, 运营, 运营, 上海头条, 上海, 大专, 15, 初创型, 移动互联网 · 广告营销
主编, 8, 1, 运营, 高端运营职位, 七匣子, 杭州, 大专, 50, 成长型, 移动互联网
主编, 12, 不, 运营, 高端运营职位, 三只狐狸, 上海, 本科, 15, 初创型, 广告营销 · 文化娱乐
主编, 20, 3, 运营, 高端运营职位, 全民贷, 上海, 本科, 15, 成长型, 移动互联网 · 金融
主编, 12, 1, 运营, 高端运营职位, 三只狐狸, 上海, 本科, 15, 初创型, 广告营销 · 文化娱乐
副主编, 4, 1, 运营, 编辑, 哈里, 郑州, 大专, 50, 成长型, 移动互联网
主编, 7, 1, 运营, 高端运营职位, 速途网络, 上海, 本科, 150, 成长型, 移动互联网  · 文化娱乐
主编, 10, 1, 运营, 高端运营职位, 闲人村网络, 杭州, 学历不限, 15, 初创型, 移动互联网
副主编 （智电未来）, 14, 1, 运营, 编辑, 一度用车, 北京, 本科, 50, 成长型, 移动互联网
主编, 7, 1, 运营, 高端运营职位, 河南象聚实业有限公司, 郑州, 本科, 150, 初创型, 移动互联网 · 金融
副主编, 11, 不, 运营, 编辑, 领耀东方, 深圳, 本科, 150, 上市公, 硬件
主编, 11, 5, 运营, 编辑, 名医传世, 广州, 本科, 150, 成长型, 移动互联网
主编, 17, 3, 运营, 高端运营职位, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
主编, 8, 1, 运营, 高端运营职位, 归墟电子, 上海, 本科, 15, 初创型, 移动互联网 · 其他
副主编, 10, 不, 运营, 编辑, 上海头条, 上海, 本科, 15, 初创型, 移动互联网 · 广告营销
主编, 20, 5, 运营, 高端运营职位, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
主编, 19, 3, 运营, 高端运营职位, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
副主编, 13, 3, 运营, 编辑, 你有药, 上海, 本科, 15, 成长型, 移动互联网 · 医疗健康
副主编, 15, 1, 运营, 编辑, 医米信息技术, 上海, 本科, 50, 成长型, 移动互联网
副主编, 7, 1, 运营, 编辑, 偶尔科技, 杭州, 本科, 150, 成长型, 移动互联网 · 电子商务
副主编, 15, 3, 运营, 编辑, 零号线, 上海, 本科, 500, 成长型, 电子商务 · O2O
主编, 6, 不, 运营, 编辑, 广州百事通, 广州, 学历不限, 15, 初创型, 移动互联网 · 文化娱乐
主编, 12, 3, 运营, 编辑, 中成创, 广州, 学历不限, 15, 初创型, 移动互联网 · 金融
主编, 9, 1, 运营, 编辑, 爱宝盆, 深圳, 本科, 15, 初创型, 电子商务 · 金融
副主编, 25, 5, 运营, 编辑, 爱上旅游, 上海, 本科, 50, 成长型, 移动互联网 · 旅游
主编, 9, 1, 运营, 高端运营职位, 阿拉丁数字技术, 杭州, 大专, 150, 成长型, 移动互联网 · O2O
副主编, 9, 不, 运营, 编辑, 三只狐狸, 上海, 本科, 15, 初创型, 广告营销 · 文化娱乐
主编, 21, 3, 运营, 编辑, Coterie眼镜店, 上海, 本科, 50, 初创型, 电子商务 · 文化娱乐
主编, 15, 3, 运营, 编辑, 就医160, 深圳, 本科, 500, 成熟型, 移动互联网
主编, 6, 1, 运营, 高端运营职位, 世纪良品, 青岛, 大专, 50, 上市公, 电子商务 · 广告营销
主编, 8, 3, 运营, 编辑, 北极星电力网, 北京, 本科, 150, 成长型, 移动互联网 · 电子商务
副主编, 6, 1, 运营, 编辑, 广东酷乐, 东莞, 大专, 50, 初创型, 游戏 · 文化娱乐
副主编, 8, 3, 运营, 编辑, 欧亚达商业控股集团有限公司, 武汉, 本科, 2000, 成熟型, 生活服务 · 文化娱乐
主编, 5, 1, 运营, 高端运营职位, 创动诚讯, 北京, 学历不限, 50, 成长型, 广告营销 · 文化娱乐
副主编, 10, 1, 运营, 编辑, 我趣科技, 成都, 本科, 50, 成长型, 移动互联网  · O2O
副主编, 8, 1, 运营, 编辑, 归墟电子, 上海, 本科, 15, 初创型, 移动互联网 · 其他
主编, 18, 不, 运营, 高端运营职位, 杞馥实业, 上海, 学历不限, 15, 初创型, 移动互联网 · 电子商务
总编, 15, 3, 运营, 高端运营职位, 学车易, 深圳, 大专, 50, 初创型, 移动互联网 · 电子商务
主编, 22, 5, 运营, 高端运营职位, 爱上旅游, 上海, 本科, 50, 成长型, 移动互联网 · 旅游
副主编, 7, 不, 运营, 编辑, 哇呀, 上海, 学历不限, 15, 初创型, 移动互联网 · 旅游
副主编, 19, 3, 运营, 编辑, 易跃移动, 上海, 本科, 150, 成长型, 移动互联网 · 游戏
主编, 9, 1, 运营, 高端运营职位, 江西地宝网络股份有限公司, 南昌, 本科, 150, 上市公, 移动互联网 · 广告营销
主编, 15, 5, 运营, 高端运营职位, 互莲加, 上海, 本科, 150, 成长型, 移动互联网
主编, 12, 3, 运营, 编辑, ITbegin云编程, 杭州, 本科, 15, 初创型, 移动互联网 · 教育
主编, 12, 5, 运营, 高端运营职位, 神尔科技, 深圳, 本科, 150, 初创型, 教育
