职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
客服总监, 15, 3, 运营, 客服, 盟大集团, 东莞, 本科, 150, 成熟型, 移动互联网 · 电子商务
客服主管, 5, 3, 运营, 客服, 灵犀金融, 杭州, 大专, 150, 上市公, 移动互联网 · 金融
客服主管, 6, 1, 运营, 客服, e袋洗, 北京, 大专, 500, 成长型, O2O
客服主管, 11, 3, 运营, 客服, 蓝色行星, 上海, 学历不限, 15, 成长型, 旅游 · 移动互联网
客服主管, 7, 不, 市场与销售, 高端市场职位, 温金中心, 温州, 大专, 50, 成长型, 金融
客服总监, 27, 5, 运营, 高端运营职位, 全民贷, 上海, 本科, 15, 成长型, 移动互联网 · 金融
客服总监, 31, 5, 运营, 高端运营职位, 全民贷, 上海, 本科, 15, 成长型, 移动互联网 · 金融
客服总监, 11, 3, 运营, 高端运营职位, 中铭智集团, 深圳, 大专, 150, 成长型, 企业服务 · 招聘
客服主管, 6, 1, 运营, 客服, 上海网萌, 上海, 大专, 150, 初创型, 电子商务
客服总监, 12, 3, 运营, 客服, 上海网萌, 上海, 大专, 150, 初创型, 电子商务
客服总监, 10, 3, 运营, 高端运营职位, 领耀东方, 深圳, 本科, 150, 上市公, 硬件
客服主管, 4, 1, 运营, 客服, 云朗, 泉州, 学历不限, 15, 成长型, 移动互联网
客服主管, 4, 1年以, 运营, 客服, 云家政, 上海, 大专, 50, 成长型, O2O
客服主管, 6, 3, 运营, 客服, 联金所, 深圳, 大专, 500, 成长型, 金融
客服总监, 12, 5, 运营, 客服, 易博天下, 深圳, 大专, 150, 上市公, 移动互联网 · O2O
客服总监, 23, 5, 运营, 高端运营职位, 全民贷, 上海, 本科, 15, 成长型, 移动互联网 · 金融
客服主管, 7, 3, 运营, 客服, 百星文化, 广州, 大专, 50, 成长型, 电子商务 · 文化娱乐
客服主管, 9, 3, 运营, 客服, 中城银信, 上海, 本科, 150, 成长型, 金融
客服主管, 4, 1, 运营, 客服, 智远行, 青岛, 本科, 15, 初创型, 旅游
客服主管, 9, 3, 运营, 客服, 小狗在家, 上海, 本科, 15, 成长型, 移动互联网 · O2O
客服主管, 4, 1, 运营, 客服, 瑞通弘波, 深圳, 大专, 50, 初创型, 移动互联网 · 电子商务
客服主管, 6, 1, 运营, 客服, 嗨美极, 杭州, 学历不限, 15, 成长型, 电子商务
客服主管, 9, 1, 运营, 客服, 55海淘, 上海, 本科, 150, 成长型, 电子商务
客服主管, 6, 3, 运营, 客服, 金冠科技, 广州, 大专, 150, 上市公, 电子商务
客服主管, 5, 不, 运营, 客服, 创客金融, 杭州, 大专, 50, 成长型, 移动互联网 · 金融
客服主管, 7, 3, 运营, 客服, 精融汇, 深圳, 大专, 15, 初创型, 金融
客服总监, 20, 5, 运营, 客服, 车蚂蚁, 杭州, 大专, 150, 成长型, 移动互联网 · O2O
客服主管, 6, 1, 运营, 客服, LOHO 眼镜, 深圳, 大专, 500, 成熟型, 移动互联网 · O2O
客服总监, 26, 5, 运营, 高端运营职位, 全民贷, 上海, 本科, 15, 成长型, 移动互联网 · 金融
客服主管（售前/售后）, 7, 1, 运营, 客服, 奥卓, 深圳, 本科, 15, 成长型, 移动互联网 · 硬件
客服主管, 3, 不, 运营, 客服, 一个钱包, 杭州, 学历不限, 15, 初创型, 移动互联网 · 金融
客服总监, 17, 3, 运营, 客服, 厦门市云客网络科技有限公司, 厦门, 大专, 50, 初创型, 移动互联网 · 电子商务
客服主管, 4, 1, 运营, 客服, 星火钱包, 长沙, 学历不限, 50, 初创型, 移动互联网 · 金融
客服总监, 20, 5, 运营, 客服, 易订货, 深圳, 本科, 50, 成长型, 企业服务 · 数据服务
客服主管, 8, 1, 运营, 客服, 领投鸟理财, 上海, 大专, 150, 成长型, 移动互联网 · 金融
客服主管, 5, 1, 运营, 客服, 闲豆, 北京, 大专, 15, 初创型, O2O
客服主管, 6, 不, 运营, 客服, 次元仓, 广州, 大专, 50, 成长型, 电子商务
客服主管, 6, 3, 运营, 运营, 马良行, 上海, 学历不限, 50, 成长型, 移动互联网 · 电子商务
客服主管, 6, 1, 运营, 客服, 威诺瑞（深圳）贸易有限公司, 深圳, 大专, 50, 初创型, 电子商务
客服主管, 5, 3, 运营, 客服, 胜沃投资, 南京, 大专, 150, 初创型, 金融
客服主管, 7, 3, 运营, 客服, 宝尊电商, 上海, 大专, 500, 上市公, 电子商务
客服主管, 4, 1, 运营, 客服, 连你, 南宁, 大专, 50, 成长型, 移动互联网 · O2O
客服主管, 7, 1, 运营, 客服, 万盈财富, 深圳, 本科, 150, 成长型, 移动互联网 · 金融
客服主管, 10, 3, 运营, 客服, 云顶科技, 张家港, 本科, 50, 成长型, 电子商务
客服主管, 6, 1, , 客服经理, 溦风科技, 大连, 本科, 15, 初创型, 电子商务 · 旅游
客服主管, 7, 3, 运营, 客服, 海风教育, 上海, 大专, 50, 成长型, 教育
客服主管（上海）, 5, 1, 运营, 客服, 人人投, 上海, 大专, 500, 成长型, 金融
客服主管, 6, 1, 运营, 客服, 华燕房盟, 上海, 学历不限, 500, 上市公, 移动互联网 · O2O
客服主管, 7, 3, 运营, 客服, 快捷通, 杭州, 大专, 50, 成长型, 金融
客服主管, 8, 1, 运营, 客服, 宝尊电商, 上海, 大专, 500, 上市公, 电子商务
客服主管, 4, 1, 运营, 客服, cleafe, 上海, 学历不限, 150, 初创型, O2O · 硬件
客服主管, 5, 1, 运营, 客服, 武汉天之和, 武汉, 大专, 50, 初创型, 电子商务
客服主管, 6, 3, 运营, 客服, 河狸家, 北京, 大专, 500, 成熟型, 移动互联网
客服总监, 4, 5, 运营, 客服, 多彩饰家, 北京, 本科, 150, 成长型, 生活服务
客服总监, 8, 3, 运营, 高端运营职位, 爵士网络, 北京, 大专, 50, 初创型, 移动互联网
客服主管（年发16薪）, 5, 1, 运营, 客服, 大树网络金融, 杭州, 大专, 15, 成长型, 移动互联网 · 金融
客服主管, 7, 1, 运营, 客服, 六六投资, 深圳, 大专, 15, 初创型, 金融
客服主管, 6, 3, 运营, 客服, 杭州缇苏, 杭州, 大专, 500, 成长型, 电子商务
互联网金融客服主管, 7, 3, 运营, 客服, 路路由, 上海, 学历不限, 150, 成长型, 移动互联网 · O2O
客服总监, 7, 3, 运营, 高端运营职位, 太原汪氏公司, 太原, 本科, 150, 成长型, 数据服务 · 广告营销
客服总监, 30, 5, 运营, 高端运营职位, 宁波雅购贸易有限公司, 杭州, 学历不限, 150, 初创型, 移动互联网 · O2O
客服主管, 5, 3, 运营, 客服, 懒猪理财, 西安, 大专, 15, 初创型, 移动互联网 · 金融
客服主管, 5, 1, 运营, 客服, 魔悦网络, 杭州, 大专, 15, 初创型, 移动互联网 · 电子商务
客服主管, 6, 3, 市场与销售, 公关, 瑞鹏宠物医院, 深圳, 大专, 500, 初创型, 医疗健康
客服主管, 5, 1, 运营, 客服, 凡跃集团, 广州, 本科, 500, 成熟型, 移动互联网 · 游戏
客服主管, 6, 1, 运营, 客服, 爱扑网络, 上海, 学历不限, 50, 成长型, 移动互联网 · 游戏
客服主管, 7, 3, 运营, 客服, 众缆互联, 深圳, 大专, 15, 初创型, 电子商务 · 企业服务
客服主管, 8, 3, 运营, 客服, 闪送, 北京, 大专, 50, 成长型, 移动互联网
客服主管, 7, 3, 运营, 客服, 21cake, 上海, 大专, 500, 成熟型, 电子商务 · 生活服务
客服主管, 6, 3, 运营, 客服, 华存天下, 北京, 大专, 50, 成长型, 金融 · 移动互联网
客服主管, 5, 1, 市场与销售, 市场/营销, 车轮互联, 合肥, 大专, 150, 成长型, 移动互联网 · O2O
客服主管, 5, 3, 运营, 客服, 先手科技, 杭州, 大专, 50, 成长型, 移动互联网 · 电子商务
客服主管, 9, 3, 运营, 客服, 龙擎传媒, 上海, 大专, 15, 成长型, 移动互联网 · 电子商务
客服主管, 7, 1, 运营, 客服, 女娲网络科技, 杭州, 学历不限, 150, 成长型, O2O
客服主管, 12, 1, 运营, 客服, 加油宝, 深圳, 大专, 15, 成长型, 金融
客服主管, 4, 1, 运营, 客服, 仁多, 上海, 大专, 500, 初创型, 金融 · 文化娱乐
客服主管/组长, 6, 3, 运营, 客服, 亿人网络, 上海, 大专, 50, 初创型, 移动互联网 · 招聘
客服总监, 9, 不, 运营, 客服, 学多多, 上海, 本科, 15, 初创型, 移动互联网 · 教育
客服主管, 10, 3, 运营, 客服, 点点搜财, 杭州, 本科, 50, 成长型, 金融
客服主管, 4, 不, 运营, 客服, 玩具超人, 北京, 学历不限, 15, 成长型, 移动互联网 · 生活服务
客服主管, 9, 5, 运营, 客服, 金柚网, 武汉, 大专, 150, 成长型, 企业服务
客服主管, 6, 1, 运营, 客服, 大头文化, 深圳, 大专, 50, 成长型, 移动互联网 · 游戏
客服主管, 6, 3, 运营, 客服, 卖家云, 北京, 本科, 15, 成长型, 电子商务
客服主管, 5, 1, 运营, 客服, 合悦网络, 广州, 学历不限, 150, 初创型, 电子商务
客服主管, 4, 应届毕业, 运营, 客服, 信华点睛, 杭州, 大专, 50, 初创型, 企业服务 · O2O
客服主管, 7, 1, 运营, 客服, 至善金融, 上海, 本科, 500, 初创型, 金融
客服总监, 10, 1, 运营, 高端运营职位, 雷士照明, 珠海, 大专, 2000, 上市公, 电子商务 · O2O
客服总监, 15, 5, 运营, 高端运营职位, 走四方旅游网, 深圳, 大专, 50, 成长型, 旅游
客服主管, 8, 1, 运营, 客服, 前海九通, 深圳, 大专, 150, 成长型, 金融 · 移动互联网
客服主管, 4, 1, 运营, 客服, 长沙乐恩教育咨询有限公司, 长沙, 本科, 15, 成长型, 电子商务
客服总监, 15, 5, 运营, 高端运营职位, 中铭智, 深圳, 大专, 500, 初创型, 金融
客服主管, 5, 1, 运营, 客服, 玖那里, 上海, 大专, 150, 成长型, 金融
