职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
内容编辑, 6, 不, 运营, 编辑, 2345.com, 上海, 本科, 500, 上市公, 数据服务 · 移动互联网
内容编辑, 7, 不, 运营, 编辑, 紫色医疗, 北京, 学历不限, 50, 成长型, 移动互联网  · 医疗健康
内容编辑, 1, 不, 运营, 编辑, 小肚皮App, 北京, 学历不限, 15, 成长型, 移动互联网
内容编辑, 5, 不, 运营, 运营, 法本, 深圳, 学历不限, 500, 上市公, 企业服务
内容编辑, 6, 不, 运营, 编辑, 猪哼少, 杭州, 大专, 50, 成长型, 电子商务 · 其他
内容编辑, 6, 1, 运营, 编辑, 小肚皮App, 北京, 学历不限, 15, 成长型, 移动互联网
内容编辑, 5, 应届毕业, 运营, 编辑, 创新谷, 深圳, 本科, 150, 初创型, 移动互联网
内容编辑（男频）, 6, 不, 运营, 编辑, 掌维科技, 杭州, 大专, 15, 初创型, 移动互联网 · 文化娱乐
内容编辑, 8, 不, 运营, 编辑, 蓝色行星, 上海, 学历不限, 15, 成长型, 旅游 · 移动互联网
内容编辑, 6, 1, 运营, 编辑, 图普科技（深度学习图像识别云）, 广州, 本科, 15, 成长型, 移动互联网 · 数据服务
内容编辑, 4, 1, 运营, 编辑, 丝宝集团, 武汉, 大专, 2000, 成熟型, 生活服务 · 其他
内容编辑（急）, 15, 3, 运营, 编辑, 易居中国-易居营销集团, 上海, 本科, 2000, 上市公, 企业服务
内容编辑, 6, 1, 运营, 编辑, 返利网, 上海, 本科, 150, 成熟型, 电子商务
内容编辑（女频）, 6, 不, 运营, 编辑, 掌维科技, 杭州, 大专, 15, 初创型, 移动互联网 · 文化娱乐
内容编辑, 8, 1, 市场与销售, 市场/营销, 天星资本, 北京, 本科, 150, 成长型, 移动互联网 · 金融
内容编辑, 3, 不, 运营, 编辑, 时光流影, 合肥, 本科, 500, 上市公, 社交网络
内容编辑, 6, 3, 运营, 编辑, 千百浪信息科技, 东莞, 大专, 50, 初创型, 移动互联网 · 电子商务
内容编辑, 4, 应届毕业, 运营, 编辑, 亿超眼镜, 杭州, 大专, 50, 成长型, 电子商务 · O2O
内容编辑, 5, 1, 运营, 编辑, 时光流影, 合肥, 本科, 500, 上市公, 社交网络
